global,time,ep_pmp_sgas_cd
world,1998,0.54
world,2000,0.6
world,2002,0.58
world,2004,0.805
world,2006,0.98
world,2008,1.11
world,2010,1.22
world,2012,1.41
world,2014,1.34
world,2016,0.97
