global,time,it_mlt_main_p2
world,1966,5.15287
world,1967,5.11088
world,1968,5.0674
world,1969,5.02291
world,1971,6.08247
world,1972,6.02587
world,1973,5.96911
world,1974,5.91181
world,1975,5.996
world,1976,6.21607
world,1977,6.50535
world,1978,6.82819
world,1979,7.12579
world,1980,7.49048
world,1981,7.66252
world,1982,7.70348
world,1983,7.89229
world,1984,8.10233
world,1985,8.33305
world,1986,8.52762
world,1987,8.76992
world,1988,9.07149
world,1989,9.38779
world,1990,9.75657
world,1991,10.07213
world,1992,10.40859
world,1993,10.82493
world,1994,11.36904
world,1995,12.00969
world,1996,12.7013
world,1997,13.44607
world,1998,14.0408
world,1999,14.94999
world,2000,15.90746
world,2001,16.66204
world,2002,17.2294
world,2003,17.84269
world,2004,18.71709
world,2005,19.35154
world,2006,19.16944
world,2007,18.79923
world,2008,18.50066
world,2009,18.25647
world,2010,17.68027
world,2011,17.07855
world,2012,16.56205
world,2013,15.85375
world,2014,15.03866
world,2015,14.18724
world,2016,13.51921
world,2017,13.08259
world,2018,12.81968
world,2019,12.0496
world,2020,11.6141
