global,time,eg_elc_accs_ur_zs
world,1993,94.34137
world,1994,94.80712
world,1995,94.77892
world,1996,94.61679
world,1997,94.69093
world,1998,94.52865
world,1999,94.99738
world,2000,94.95934
world,2001,94.67116
world,2002,94.99192
world,2003,95.15735
world,2004,95.13188
world,2005,95.29577
world,2006,95.52455
world,2007,95.68142
world,2008,95.71244
world,2009,95.83345
world,2010,95.73636
world,2011,95.96317
world,2012,96.31363
world,2013,96.31941
world,2014,96.37215
world,2015,96.28311
world,2016,96.77507
world,2017,97.2913
world,2018,97.42136
world,2019,97.64522
world,2020,97.26845
