geo,time,sl_tlf_part_fe_zs
afg,2008,62.26
afg,2012,62.74
afg,2014,71.68
afg,2020,70.12
alb,2007,26.23
alb,2008,33.8
alb,2009,31.88
alb,2010,33.9
alb,2011,57.19
alb,2012,36.35
alb,2013,31.73
alb,2014,38.54
alb,2015,36.16
alb,2016,29.41
alb,2017,28.06
alb,2018,26.03
alb,2019,24.42
are,2017,1.66
are,2018,4.1
are,2019,3.94
arg,2004,52.88
arg,2005,51.38
arg,2006,50.63
arg,2008,47.71
arg,2009,49.16
arg,2010,48.35
arg,2011,46.96
arg,2012,48.77
arg,2013,48.6
arg,2014,50.05
arg,2017,51.28
arg,2018,52.05
arg,2019,53.23
arg,2020,60.24
arm,2008,34.63
arm,2009,53.1
arm,2010,54.25
arm,2011,51.42
arm,2012,45.1
arm,2013,46.32
arm,2014,40.65
arm,2015,47.73
arm,2016,46.38
arm,2017,42.94
arm,2018,34.61
arm,2019,29.33
arm,2020,33.95
aus,1991,54.33
aus,1992,53.5
aus,1993,55.5
aus,1994,54.72
aus,1995,55.13
aus,1996,56.85
aus,1997,55.5
aus,1998,55.38
aus,1999,55.36
aus,2000,54.88
aus,2001,57.76
aus,2002,57.72
aus,2003,56.89
aus,2004,57.7
aus,2005,56.51
aus,2006,57.74
aus,2007,59.43
aus,2008,56.28
aus,2009,57.79
aus,2010,57.87
aus,2011,57.12
aus,2012,60.4
aus,2013,59.48
aus,2014,57.8
aus,2015,59.12
aus,2016,57.24
aus,2017,59.2
aus,2018,59.33
aus,2019,56.97
aus,2020,58.59
aut,1995,31.14
aut,1996,30.74
aut,1997,29.24
aut,1998,39.87
aut,1999,40.31
aut,2000,41.3
aut,2001,41.04
aut,2002,42.37
aut,2003,42
aut,2004,49.27
aut,2005,52.82
aut,2006,53.26
aut,2007,53.89
aut,2008,53.46
aut,2009,56.98
aut,2010,57.31
aut,2011,57.05
aut,2012,58.63
aut,2013,58.78
aut,2014,59.69
aut,2015,60.81
aut,2016,60.83
aut,2017,61.44
aut,2018,61.01
aut,2019,60.71
aut,2020,65.53
aze,2000,29.86
aze,2001,30.84
aze,2002,29.9
aze,2003,28.61
aze,2004,28.56
aze,2005,28.77
aze,2006,28.55
aze,2007,28.81
aze,2008,28.85
aze,2009,27.83
aze,2010,28.54
aze,2011,20.68
aze,2012,22.35
aze,2013,22.87
aze,2015,23.33
aze,2016,23.47
aze,2017,23.73
aze,2018,23.91
aze,2019,24.1
aze,2020,24.4
bdi,2014,25.92
bel,1983,33.1
bel,1984,33.38
bel,1985,33.44
bel,1986,34.04
bel,1987,34.92
bel,1988,34.75
bel,1989,35.73
bel,1990,36.19
bel,1991,37.99
bel,1992,38.74
bel,1993,40.64
bel,1994,44.91
bel,1995,42.44
bel,1996,41.92
bel,1997,41.5
bel,1998,43.41
bel,1999,54.49
bel,2000,56.32
bel,2001,55.39
bel,2002,54.4
bel,2003,55.14
bel,2004,56.79
bel,2005,55.4
bel,2006,55.53
bel,2007,54.73
bel,2008,54.72
bel,2009,54.56
bel,2010,55.77
bel,2011,56.08
bel,2012,56.55
bel,2013,57.03
bel,2014,55.85
bel,2015,56.09
bel,2016,55.31
bel,2017,51.65
bel,2018,51.16
bel,2019,51.88
bel,2020,55.1
ben,2010,29.88
ben,2011,31.69
bgd,2006,67.67
bgd,2010,38.15
bgd,2013,29.47
bgd,2016,39.54
bgd,2017,40.69
bgr,2000,8.19
bgr,2001,8.68
bgr,2002,7.59
bgr,2003,14.28
bgr,2004,16.64
bgr,2005,11.58
bgr,2006,12.05
bgr,2007,10.92
bgr,2008,10.62
bgr,2009,14.37
bgr,2010,14.31
bgr,2011,12.86
bgr,2012,12.58
bgr,2013,12.7
bgr,2014,13.29
bgr,2015,13.6
bgr,2016,12.53
bgr,2017,13.7
bgr,2018,13.49
bgr,2019,13.21
bgr,2020,16.26
bih,2006,17.96
bih,2007,15.91
bih,2008,17.74
bih,2009,17.79
bih,2010,17.83
bih,2011,17.04
bih,2012,16.7
bih,2013,14.4
bih,2014,14.25
bih,2015,18.19
bih,2016,13.44
bih,2017,15.5
bih,2018,14.94
bih,2019,14.05
bih,2020,15.26
blr,2017,25.06
blr,2018,23.77
blz,2013,32.88
blz,2014,30.58
blz,2015,28.88
blz,2016,27.27
blz,2017,31.87
blz,2019,32.51
bmu,2009,15.2
bmu,2010,15.47
bol,1999,33.61
bol,2000,31.49
bol,2001,43.67
bol,2002,38.06
bol,2004,36.88
bol,2009,40.6
bra,2012,35.3
bra,2013,34.1
bra,2014,33.37
bra,2015,33.68
bra,2016,31.76
bra,2017,33.95
bra,2018,35.28
bra,2019,35.09
bra,2020,41.19
brb,2015,12.28
brb,2016,12.59
brb,2017,12.58
brb,2018,13.54
brb,2019,11.69
brn,2014,17.01
brn,2017,10.9
brn,2018,14.6
brn,2019,13.72
brn,2020,18.45
btn,2015,10.56
bwa,1996,14.14
bwa,2006,17.24
bwa,2010,19.06
can,1976,47.18
can,1977,46.66
can,1978,43.12
can,1979,42.55
can,1980,45.76
can,1981,49.54
can,1982,48.63
can,1983,47.62
can,1984,47.04
can,1985,47.55
can,1986,46.88
can,1987,49.62
can,1988,46.41
can,1989,42.54
can,1990,43.94
can,1991,47.36
can,1992,50.8
can,1993,49.58
can,1994,47.83
can,1995,48.88
can,1996,47.74
can,1997,47.7
can,1998,48.7
can,1999,47.2
can,2000,45.04
can,2001,48.1
can,2002,49.02
can,2003,52.01
can,2004,50.57
can,2005,48.85
can,2006,50.11
can,2007,48.69
can,2008,49.72
can,2009,52.33
can,2010,51.37
can,2011,50.02
can,2012,48.86
can,2013,49.75
can,2014,52.45
can,2015,50.11
can,2016,49.51
can,2017,50.17
can,2018,47.82
can,2019,50.87
can,2020,50.79
can,2021,47.68
che,1996,60.74
che,1997,60.45
che,1998,59.56
che,1999,59.01
che,2000,58.31
che,2001,57.11
che,2002,58.37
che,2003,58.62
che,2004,58.39
che,2005,58.64
che,2006,58.18
che,2007,59.61
che,2008,57.53
che,2009,58.86
che,2010,60.14
che,2011,60.2
che,2012,61.39
che,2013,61.98
che,2014,62.07
che,2015,61
