geo,time,gc_rev_gotr_cn
afg,2006,78766577456.6825
afg,2007,129348473016.578
afg,2008,421151625723.14496
afg,2009,397117336453.39203
afg,2010,540143050735.69
afg,2011,719137628070.76001
afg,2012,605328042089.57605
afg,2013,679941758945
afg,2014,593986733114.48303
afg,2015,566753146022.33301
afg,2016,513783524063.52301
afg,2017,487642076667.258
ago,1999,4415560301
ago,2000,22077782008
ago,2001,24415489198
ago,2002,73730579638
ago,2003,164862000000
ago,2004,189343816395
ago,2005,235719000000
ago,2006,892690321205
ago,2007,1127660000000
ago,2008,1037130000000
ago,2009,200856000000
ago,2010,1341080000000
ago,2011,2901820000000
ago,2012,2509880000000
ago,2013,2718990000000
ago,2014,2397175626327.4502
ago,2015,933847282252.37012
ago,2016,832326477541.55005
ago,2017,1280266669255.58008
ago,2018,2969345997617.14941
ago,2019,3240919326834.58008
alb,1995,10842000000
alb,1996,8360064000
alb,1997,13122281000
alb,1998,29850380000
alb,2002,24964890000
alb,2003,22122620000
alb,2004,18761133640
alb,2011,27010870000
alb,2012,25109430000
alb,2013,26513580000
alb,2014,28609380000
alb,2015,31329670000
alb,2016,36954330000
alb,2017,32445040000
alb,2018,30948770000
alb,2019,31070960000
are,1997,16021000000
are,1998,16100000000
are,1999,16644000000
are,2011,50707104801.18
are,2012,51772461285.66
are,2013,52218670384
are,2014,51239325806.74
are,2015,59170313923.41
are,2016,62458180360.52
are,2017,61974058512.76
are,2018,64865150391.8
are,2019,65603858761.18
arg,1990,703400000
arg,1991,2162600000
arg,1992,2089500000
arg,1993,3433800000
arg,1994,3259900000
arg,1995,2812000000
arg,1996,2621500000
arg,1997,3479300000
arg,1998,3491400000
arg,1999,4337000000
arg,2000,3507900000
arg,2001,3508600000
arg,2002,4661500000
arg,2003,7150766606.16
arg,2004,4392949072.04
arg,2005,3893100000
arg,2006,7412000000
arg,2007,7045500000
arg,2008,12895800000
arg,2009,31034900000
arg,2010,40238100000
arg,2011,30753500000
arg,2012,42806600000
arg,2013,76070300000
arg,2014,146434800000
arg,2015,173915660000
arg,2016,194400700000
arg,2017,174754700000
arg,2018,241643800000
arg,2019,547413487922.65002
arm,2004,43060894800
arm,2005,62739983888.1
arm,2006,78432227904
arm,2007,107285405069.60001
arm,2008,108183101671
arm,2009,101007992795
arm,2010,119056299949.89999
arm,2011,148373731727.79999
arm,2012,111425311985
arm,2013,87463875498
arm,2014,146573757720
arm,2015,133365696824
arm,2016,114199570208
arm,2017,114614818582.33299
arm,2018,109536767832
arm,2019,122930779166
aus,1972,1139000000
aus,1973,1212000000
aus,1974,1353000000
aus,1975,1566000000
aus,1976,1898000000
aus,1977,2338000000
aus,1978,2775000000
aus,1979,2903000000
aus,1980,3082000000
aus,1981,3320000000
aus,1982,3897000000
aus,1983,4741000000
aus,1984,5469000000
aus,1985,6124000000
aus,1986,7526000000
aus,1987,8448000000
aus,1988,8090000000
aus,1989,7658000000
aus,1990,7517000000
aus,1991,7236000000
aus,1992,8143000000
aus,1993,8389000000
aus,1994,9574000000
aus,1995,8500000000
aus,1996,8714000000
aus,1997,9195000000
aus,1998,8989000000
aus,1999,16807000000
aus,2000,19078000000
aus,2001,15770000000
aus,2002,18607000000
aus,2003,18654000000
aus,2004,20140000000
aus,2005,21215000000
aus,2006,24674000000
aus,2007,26007000000
aus,2008,28578000000
aus,2009,31675000000
aus,2010,37457000000
aus,2011,34603000000
aus,2012,35700000000
aus,2013,39290000000
aus,2014,40027000000
aus,2015,43348000000
aus,2016,43581000000
aus,2017,50067000000
aus,2018,52174000000
aus,2019,58441000000
aut,1972,670770259.36934
aut,1973,663502975.95256
aut,1974,762338030.42085
aut,1975,953467584.28232
aut,1976,1078464859.05104
aut,1977,1154044606.58561
aut,1978,1468717978.53244
aut,1979,1873505664.84742
aut,1980,2140941694.58514
aut,1981,2590786538.0842
aut,1982,2655465360.49359
aut,1983,2632210053.55988
aut,1984,2741946033.15335
aut,1985,3071153971.93375
aut,1986,3112577487.40943
aut,1987,3499196965.18245
aut,1988,3623467511.60949
aut,1989,4010813717.72418
aut,1990,4238279688.66958
aut,1991,4672863236.99338
aut,1992,5123434808.83411
aut,1993,5000617719.09043
aut,1994,5425027070.63072
aut,1995,6272060000
aut,1996,5714930000
aut,1997,4783659999.99999
aut,1998,4837140000
aut,1999,6021339999.99999
aut,2000,6585590000.00001
aut,2001,6974520000.00001
aut,2002,7607900000.00001
aut,2003,7485840000
aut,2004,8137629999.99998
aut,2005,10630020000
aut,2006,11278720000
aut,2007,11959840000
aut,2008,11833460000
aut,2009,13330550000
aut,2010,12708300000
aut,2011,13153100000
aut,2012,13499240000
aut,2013,13185210000
aut,2014,13046340000
aut,2015,13701700000
aut,2016,14974670000
aut,2017,13791240000
aut,2018,14581550000
aut,2019,15139040000
aze,1994,170600
aze,1995,945000
aze,1996,33599600
aze,1997,32899400
aze,1998,47571600
aze,1999,48733000
aze,2008,12242100000
aze,2009,8567300000
aze,2010,13616300000
aze,2011,16100600000
aze,2012,14188900000
aze,2013,14135100000
aze,2014,13413300000
aze,2015,8313500000
aze,2016,10384200000
aze,2017,13326600000
aze,2018,18853515000
aze,2019,21611300000
bdi,1973,2109000000
bdi,1974,2572000000
bdi,1975,2716000000
bdi,1976,4031000000
bdi,1977,2964000000
bdi,1978,2639000000
bdi,1979,2501000000
bdi,1980,3806000000
bdi,1981,5700000000
bdi,1982,3613000000
bdi,1983,3714000000
bdi,1984,4769000000
bdi,1985,4800000000
bdi,1991,21443000000
bdi,1992,23257000000
bdi,1993,24616000000
bdi,1994,14093000000
bdi,1995,19629000000
bdi,1996,13847000000
bdi,1997,13536000000
bdi,1998,15043410000
bdi,1999,16011000000
bel,1995,2338500000
bel,1996,2546600000
bel,1997,2729400000
bel,1998,2369800000
bel,1999,2482100000
bel,2000,2733699999.99999
bel,2001,3666599999.99998
bel,2002,3365700000
bel,2003,3202600000.00001
bel,2004,2921700000.00001
bel,2005,3754500000.00001
bel,2006,3885800000
bel,2007,3810400000
bel,2008,4703200000.00001
bel,2009,4402800000
bel,2010,5357300000
bel,2011,6244600000
bel,2012,6585699999.99999
bel,2013,6981500000
bel,2014,7146699999.99999
bel,2015,6389800000.00001
bel,2016,6820900000
bel,2017,6748400000.00001
bel,2018,8486000000
bel,2019,6945599999.99999
ben,1976,1143000000
ben,1977,16146000000
ben,1978,10842000000
ben,1979,14579000000
bfa,2002,105575933780
bfa,2003,164149479909
bfa,2004,143562545422
bfa,2005,159565270383
bfa,2006,198919869649
bfa,2007,245153219011
bfa,2008,186073702881
bfa,2009,276940940595
bfa,2010,314469000000
bfa,2011,351651963615
bfa,2012,385537000000
bfa,2013,449025000000
bfa,2014,380457101658.05798
bfa,2015,348694971143.94897
bfa,2016,335200000000
bfa,2017,304542040850.07703
bfa,2018,350160579146.94897
bfa,2019,412889207261.00403
bgd,2001,75499490000
bgd,2002,88374710000
bgd,2003,94067750000
bgd,2004,77216530000
