geo,time,pa_nus_prvt_pp
abw,1990,1.33251
abw,1991,1.34939
abw,1992,1.36045
abw,1993,1.39037
abw,1994,1.44055
abw,1995,1.44835
abw,1996,1.45248
abw,1997,1.46188
abw,1998,1.46645
abw,1999,1.46777
abw,2000,1.47725
abw,2001,1.47807
abw,2002,1.50323
abw,2003,1.52361
abw,2004,1.52141
abw,2005,1.52148
abw,2006,1.52712
abw,2007,1.56483
abw,2008,1.64194
abw,2009,1.61261
abw,2010,1.61956
abw,2011,1.63776
abw,2012,1.54337
abw,2013,1.5132
abw,2014,1.50941
abw,2015,1.52764
abw,2016,1.49679
abw,2017,1.48048
abw,2018,1.49758
abw,2019,1.53355
afg,2004,11.35937
afg,2005,12.38041
afg,2006,12.80722
afg,2007,13.53291
afg,2008,16.47561
afg,2009,15.40821
afg,2010,15.48984
afg,2011,16.78831
afg,2012,17.09001
afg,2013,17.65608
afg,2014,17.75274
afg,2015,17.19444
afg,2016,17.30205
afg,2017,17.36019
afg,2018,17.05237
afg,2019,17.13446
ago,1996,0.03039
ago,1997,0.09478
ago,1998,0.19346
ago,1999,0.6592
ago,2000,2.71006
ago,2001,6.65643
ago,2002,13.68801
ago,2003,26.53066
ago,2004,37.08969
ago,2005,44.10665
ago,2006,48.41334
ago,2007,52.83743
ago,2008,57.23213
ago,2009,65.32252
ago,2010,73.56792
ago,2011,80.9318
ago,2012,78.62737
ago,2013,79.5402
ago,2014,77.46864
ago,2015,77.78476
ago,2016,91.62646
ago,2017,107.26999
ago,2018,125.26587
ago,2019,144.05227
alb,1991,4.89141
alb,1992,15.47748
alb,1993,27.81313
alb,1994,33.22291
alb,1995,34.83478
alb,1996,38.14944
alb,1997,49.64694
alb,1998,58.09535
alb,1999,58.40702
alb,2000,57.36566
alb,2001,57.43794
alb,2002,57.85862
alb,2003,57.61262
alb,2004,56.7181
alb,2005,56.68406
alb,2006,57.18323
alb,2007,57.70043
alb,2008,57.65144
alb,2009,57.98166
alb,2010,56.75438
alb,2011,55.58782
alb,2012,53.86287
alb,2013,54.1704
alb,2014,54.25211
alb,2015,52.52506
alb,2016,52.88565
alb,2017,52.76549
alb,2018,52.63841
alb,2019,53.39246
alb,2020,54.48143
are,2007,2.24116
are,2008,2.42271
are,2009,2.46932
are,2010,2.45081
are,2011,2.39665
are,2012,2.3902
are,2013,2.46374
are,2014,2.72445
are,2015,2.83104
are,2016,2.85651
are,2017,2.83484
are,2018,2.85217
are,2019,2.7473
are,2020,2.65739
arg,2011,3.16116
arg,2012,3.66416
arg,2013,4.56208
arg,2014,6.35988
arg,2015,7.95026
arg,2016,10.81057
arg,2017,10.80794
arm,1993,1.10692
arm,1994,37.47453
arm,1995,100.58952
arm,1996,115.98118
arm,1997,129.15383
arm,1998,138.20928
arm,1999,136.12673
arm,2000,130.63864
arm,2001,131.04486
arm,2002,130.36635
arm,2003,133.49129
arm,2004,139.06097
arm,2005,135.35715
arm,2006,134.91972
arm,2007,136.95913
arm,2008,143.70011
arm,2009,149.12585
arm,2010,158.71591
arm,2011,165.62904
arm,2012,158.20796
arm,2013,179.03633
arm,2014,184.06044
arm,2015,185.82693
arm,2016,173.75081
arm,2017,167.31221
arm,2018,167.43903
arm,2019,166.83257
arm,2020,166.79607
arm,2021,170.75812
asm,2011,0.92117
atg,1998,2.3369
atg,1999,2.31251
atg,2000,2.25423
atg,2001,2.22303
atg,2002,2.24101
atg,2003,2.23495
atg,2004,2.22086
atg,2005,2.19307
atg,2006,2.16251
atg,2007,2.13231
atg,2008,2.163
atg,2009,2.15877
atg,2010,2.19552
atg,2011,2.2019
atg,2012,2.15847
atg,2013,2.24113
atg,2014,2.28768
atg,2015,2.36998
atg,2016,2.36066
atg,2017,2.46812
atg,2018,2.43835
atg,2019,2.42923
atg,2020,2.41465
atg,2021,2.35388
aus,1990,1.38581
aus,1991,1.39078
aus,1992,1.38035
aus,1993,1.37514
aus,1994,1.36856
aus,1995,1.37754
aus,1996,1.37437
aus,1997,1.37036
aus,1998,1.3783
aus,1999,1.37299
aus,2000,1.38441
aus,2001,1.40294
aus,2002,1.42345
aus,2003,1.45723
aus,2004,1.44325
aus,2005,1.46414
aus,2006,1.49722
aus,2007,1.50523
aus,2008,1.53068
aus,2009,1.5482
aus,2010,1.5546
aus,2011,1.52664
aus,2012,1.5462
aus,2013,1.51815
aus,2014,1.53022
aus,2015,1.54546
aus,2016,1.5333
aus,2017,1.56288
aus,2018,1.55936
aus,2019,1.58733
aus,2020,1.56785
aut,1990,0.93996
aut,1991,0.93832
aut,1992,0.94479
aut,1993,0.94992
aut,1994,0.95166
aut,1995,0.95276
aut,1996,0.94658
aut,1997,0.94504
aut,1998,0.93217
aut,1999,0.9279
aut,2000,0.90871
aut,2001,0.92562
aut,2002,0.91189
aut,2003,0.89936
aut,2004,0.89356
aut,2005,0.8876
aut,2006,0.87773
aut,2007,0.8783
aut,2008,0.87204
aut,2009,0.86379
aut,2010,0.85659
aut,2011,0.85084
aut,2012,0.85579
aut,2013,0.84541
aut,2014,0.84559
aut,2015,0.85046
aut,2016,0.83205
aut,2017,0.83748
aut,2018,0.82762
aut,2019,0.84493
aut,2020,0.81738
aze,1992,0.00018
aze,1993,0.0022
aze,1994,0.03786
aze,1995,0.18848
aze,1996,0.21936
aze,1997,0.22223
aze,1998,0.21714
aze,1999,0.19438
aze,2000,0.19142
aze,2001,0.18904
aze,2002,0.19124
aze,2003,0.19118
aze,2004,0.19868
aze,2005,0.21076
aze,2006,0.22118
aze,2007,0.25096
aze,2008,0.29207
aze,2009,0.29738
aze,2010,0.30934
aze,2011,0.32344
aze,2012,0.30154
aze,2013,0.32535
aze,2014,0.32324
aze,2015,0.35925
aze,2016,0.41666
aze,2017,0.48697
aze,2018,0.48614
aze,2019,0.48995
aze,2020,0.49734
aze,2021,0.50661
bdi,1990,81.71412
bdi,1991,85.44723
bdi,1992,84.44745
bdi,1993,89.96593
bdi,1994,100.70264
bdi,1995,116.82384
bdi,1996,143.50197
bdi,1997,183.84988
bdi,1998,203.67033
bdi,1999,206.05686
bdi,2000,248.02526
bdi,2001,263.63148
bdi,2002,255.97133
bdi,2003,276.93901
bdi,2004,291.77132
bdi,2005,319.59405
bdi,2006,318.10631
bdi,2007,335.30059
bdi,2008,401.715
bdi,2009,445.70244
bdi,2010,466.98434
bdi,2011,496.11664
bdi,2012,529.0473
bdi,2013,560.34467
bdi,2014,564.2934
bdi,2015,576.04175
bdi,2016,585.4079
bdi,2017,654.42157
bdi,2018,620.83711
bdi,2019,605.59866
bdi,2020,642.01538
bdi,2021,664.74503
bel,1990,0.97485
bel,1991,0.96985
bel,1992,0.962
bel,1993,0.96253
bel,1994,0.96416
bel,1995,0.95887
bel,1996,0.95486
bel,1997,0.95604
bel,1998,0.97244
bel,1999,0.96352
bel,2000,0.92494
bel,2001,0.92513
bel,2002,0.91093
bel,2003,0.92657
bel,2004,0.92146
bel,2005,0.92366
bel,2006,0.92197
bel,2007,0.92583
bel,2008,0.91694
bel,2009,0.90342
bel,2010,0.89407
bel,2011,0.88072
bel,2012,0.88312
bel,2013,0.87123
bel,2014,0.85989
bel,2015,0.86534
bel,2016,0.85402
bel,2017,0.85716
bel,2018,0.84618
bel,2019,0.85824
bel,2020,0.83006
ben,1992,136.87817
ben,1993,133.53963
ben,1994,180.29258
ben,1995,200.73599
ben,1996,204.6033
ben,1997,206.85971
ben,1998,215.41713
ben,1999,211.49341
ben,2000,213.10666
ben,2001,215.50687
ben,2002,217.42279
ben,2003,215.75847
ben,2004,211.96905
ben,2005,216.01145
ben,2006,217.17543
ben,2007,213.89285
ben,2008,222.35512
ben,2009,225.14809
ben,2010,226.40584
ben,2011,225.41248
ben,2012,226.48108
ben,2013,229.21733
ben,2014,224.44534
ben,2015,221.99667
ben,2016,215.95027
ben,2017,219.47627
ben,2018,215.62465
ben,2019,210.29348
ben,2020,214.01007
bfa,1990,183.74053
bfa,1991,180.08746
bfa,1992,171.31292
bfa,1993,167.32228
bfa,1994,204.12796
bfa,1995,213.36769
bfa,1996,219.93178
bfa,1997,219.89095
bfa,1998,227.5389
bfa,1999,220.27853
bfa,2000,212.4348
bfa,2001,216.9412
bfa,2002,218.20045
bfa,2003,217.69793
bfa,2004,211.17304
bfa,2005,217.34588
bfa,2006,215.46598
bfa,2007,209.00678
bfa,2008,222.73544
