geo,time,se_xpd_ctot_zs
abw,1998,99.25641
abw,1999,98.73862
abw,2000,85.74653
abw,2001,96.05523
abw,2002,88.90767
abw,2005,96.79394
abw,2007,100
abw,2008,100
abw,2009,92.7681
abw,2011,100
abw,2012,100
abw,2013,100
abw,2014,100
abw,2015,100
abw,2016,100
afg,2010,81.68142
afg,2011,82.62509
afg,2012,84.92229
afg,2013,81.148
afg,2014,80.69691
afg,2015,80.40733
ago,2006,75.65037
alb,2013,91.41316
alb,2015,91.94542
alb,2016,91.63761
alb,2017,91.70054
alb,2018,93.88437
alb,2019,86.84482
and,2006,93.63365
and,2008,97.61795
and,2010,98.3168
and,2011,98.8241
and,2013,99.41766
and,2014,98.90918
and,2015,98.66561
and,2016,99.18147
and,2017,99.27022
and,2018,99.45938
and,2019,99.24268
are,2019,73.76707
arg,1998,95.34345
arg,2001,98.5354
arg,2002,99.06062
arg,2003,99.18782
arg,2004,99.15782
arg,2006,97.51345
arg,2007,96.79376
arg,2008,96.14725
arg,2009,96.04967
arg,2010,95.7805
arg,2012,95.07554
arg,2013,94.14614
arg,2014,93.02701
arg,2015,89.22708
arg,2016,89.19338
arg,2017,89.09376
arg,2018,97.44067
arg,2019,98.22976
arm,2012,63.95477
arm,2013,77.35108
arm,2014,73.96835
arm,2015,100
arm,2016,90.70323
arm,2017,87.58868
arm,2020,90.7958
asm,2006,93.76539
atg,2002,96.14909
atg,2009,94.8438
aus,1995,91.87725
aus,2000,92.98924
aus,2014,91.62907
aus,2015,92.33827
aut,1998,92.4652
aut,1999,93.63762
aut,2000,95.10351
aut,2001,96.45975
aut,2002,95.87842
aut,2003,97.06689
aut,2004,95.2395
aut,2005,95.27511
aut,2006,95.88922
aut,2007,96.27258
aut,2008,96.22893
aut,2009,95.82597
aut,2010,95.08272
aut,2011,95.92864
aut,2012,96.02027
aut,2013,95.45086
aut,2014,95.01879
aut,2015,94.51021
aut,2016,93.75376
aut,2017,93.30567
aut,2018,92.89285
aze,2000,99.10027
aze,2001,98.77788
aze,2002,97.98237
aze,2003,98.03319
aze,2004,97.69517
aze,2005,98.35966
aze,2006,96.55868
aze,2007,94.68011
aze,2008,96.9865
aze,2009,97.71743
aze,2010,97.46343
aze,2011,97.24793
aze,2012,98.29945
aze,2013,95.6417
aze,2014,96.11437
aze,2015,97.81659
aze,2016,98.04771
aze,2017,98.70507
aze,2018,98.65656
aze,2019,98.13519
bdi,1999,93.86368
bdi,2001,94.62682
bdi,2002,90.35525
bdi,2004,73.44156
bdi,2008,89.1303
bdi,2009,87.00956
bdi,2010,92.14296
bdi,2011,95.61134
bdi,2012,98.09078
bel,2005,97.208
bel,2008,95.88856
bel,2009,96.26788
bel,2010,96.22295
bel,2011,96.38167
bel,2013,94.40839
bel,2014,95.17557
bel,2015,94.96034
bel,2016,94.44009
bel,2017,94.87132
bel,2018,94.55085
ben,1998,98.43086
ben,2000,81.36964
ben,2001,71.99984
ben,2003,75.86672
ben,2004,79.42737
ben,2005,86.29343
ben,2006,86.74727
ben,2007,94.30213
ben,2008,96.30974
ben,2009,94.27971
ben,2010,91.84848
ben,2012,89.42202
ben,2013,92.50105
ben,2014,93.41012
ben,2015,91.69015
bfa,2007,64.6684
bgd,2007,79.97683
bgd,2008,79.92145
bgd,2009,80.98143
bgd,2011,99.4854
bgd,2012,99.46163
bgd,2016,85.81731
bgd,2019,71.03983
bgr,2001,98.97932
bgr,2002,96.28614
bgr,2003,96.32324
bgr,2005,89.88954
bgr,2006,91.49953
bgr,2007,82.40759
bgr,2008,86.02793
bgr,2009,90.99804
bgr,2010,94.9313
bgr,2011,95.22863
bgr,2012,94.13839
bgr,2013,92.69834
bgr,2017,95.50574
bhr,2012,96.151
blr,2004,95.24961
blr,2005,95.24447
blr,2006,93.58729
blr,2007,93.74764
blr,2009,94.8802
blr,2010,89.07085
blr,2011,92.19555
blr,2012,88.855
blr,2013,90.94242
