geo,time,en_atm_co2e_sf_zs
abw,1960,0
abw,1961,0
abw,1962,0
abw,1963,0
abw,1964,0
abw,1965,0
abw,1966,0
abw,1967,0
abw,1968,0
abw,1969,0
abw,1970,0
abw,1971,0
abw,1972,0
abw,1973,0
abw,1974,0
abw,1975,0
abw,1976,0
abw,1977,0
abw,1978,0
abw,1979,0
abw,1980,0
abw,1981,0
abw,1982,0
abw,1983,0
abw,1984,0
abw,1985,0
abw,1986,0
abw,1987,0
abw,1988,0
abw,1989,0
afg,1960,30.97345
afg,1961,35.8209
afg,1962,43.08511
afg,1963,37.3057
afg,1964,35.80786
afg,1965,37.81818
afg,1966,39.26174
afg,1967,31.14286
afg,1968,27.24551
afg,1969,38.5214
afg,1970,26.09649
afg,1971,18.95551
afg,1972,12.44019
afg,1973,19.01566
afg,1974,15.86998
afg,1975,18.7931
afg,1976,21.40221
afg,1977,18.86503
afg,1978,26.65535
afg,1979,15.71195
afg,1980,17.91667
afg,1981,16.8207
afg,1982,18.32461
afg,1983,15.26163
afg,1984,13.8601
afg,1985,11.38976
afg,1986,13.53559
afg,1987,14.20188
afg,1988,12.78772
afg,1989,12.15324
afg,1990,9.41527
afg,1991,9.10058
afg,1992,1.5386
afg,1993,1.34816
afg,1994,1.12831
afg,1995,1.17344
afg,1996,0.62153
afg,1997,0.33336
afg,1998,0.34924
afg,1999,0.4472
afg,2000,0.47623
afg,2001,8.6016
afg,2002,5.00045
afg,2003,6.79074
afg,2004,8.11283
afg,2005,6.48433
afg,2006,8.31691
afg,2007,31.6978
afg,2008,24.55804
afg,2009,25.60788
afg,2010,26.51913
afg,2011,35.11467
afg,2012,35.09091
afg,2013,46.32227
afg,2014,56.06143
afg,2015,49.75004
afg,2016,65.351
ago,1960,22.66667
ago,1961,13.70968
ago,1962,7.76398
ago,1963,1.91083
ago,1964,6.28743
ago,1965,4.62963
ago,1966,5.66038
ago,1967,5.53506
ago,1968,6.14035
ago,1969,3.28947
ago,1970,1.3306
ago,1971,0.86022
ago,1972,0.16273
ago,1973,0.45079
ago,1974,0
ago,1975,0
ago,1976,0
ago,1977,0
ago,1978,0
ago,1979,0
ago,1980,0
ago,1981,0
ago,1982,0
ago,1983,0
ago,1984,0
ago,1985,0
ago,1986,0
ago,1987,0
ago,1988,0
ago,1989,0
ago,1990,0
ago,1991,0
ago,1992,0
ago,1993,0
ago,1994,0
ago,1995,0
ago,1996,0
ago,1997,0
ago,1998,0
ago,1999,0
ago,2000,0
ago,2001,0
ago,2002,0
ago,2003,0
ago,2004,0
ago,2005,0
ago,2006,0
ago,2007,0
ago,2008,0
ago,2009,0
ago,2010,0
ago,2011,0
ago,2012,0
ago,2013,0
ago,2014,0
ago,2015,0
ago,2016,0
alb,1960,16.12319
alb,1961,14.14791
alb,1962,14.73214
alb,1963,13.55634
alb,1964,16.54545
alb,1965,18.21248
alb,1966,18.67816
alb,1967,19.56224
alb,1968,19.21241
alb,1969,21.24294
alb,1970,23.8002
alb,1971,22.74642
alb,1972,19.16829
alb,1973,22.10672
alb,1974,27.8481
alb,1975,27.45411
alb,1976,25.7037
