geo,time,se_sec_tchr
abw,1999,395
abw,2000,405
abw,2001,427
abw,2002,449
abw,2003,461
abw,2004,479
abw,2005,502
abw,2006,518
abw,2007,543
abw,2008,555
abw,2009,553
abw,2010,532
abw,2011,528
abw,2012,555
afg,1970,5021
afg,1971,5953
afg,1972,7053
afg,1973,8061
afg,1974,7866
afg,1976,6999
afg,1990,7356
afg,1993,12448
afg,1994,17548
afg,2007,32817
afg,2015,82926
afg,2016,84619
afg,2017,87956
afg,2018,92139
ago,1971,3814
ago,1972,3987
ago,1973,4723
ago,1998,15967
ago,1999,16447
ago,2000,18848
ago,2001,21818
ago,2011,32279
ago,2015,72859
ago,2016,75997
alb,1997,23702
alb,2000,22250
alb,2001,22280
alb,2003,22424
alb,2008,24208
alb,2009,24069
alb,2010,24082
alb,2011,23298
alb,2012,23452
alb,2013,23471
alb,2014,23314
alb,2015,23329
alb,2016,24082
alb,2017,24165
alb,2018,24008
alb,2019,23937
alb,2020,23534
and,2002,409
and,2003,440
and,2004,460
and,2005,482
and,2013,543
and,2014,499
and,2015,544
and,2016,557
and,2017,546
and,2018,563
and,2019,566
and,2020,582
are,1971,363
are,1972,471
are,1973,713
are,1974,870
are,1975,999
are,1979,2161
are,1980,2582
are,1983,3588
are,1984,3735
are,1985,3925
are,1986,4237
are,1987,4724
are,1988,5008
are,1989,6875
are,1990,7614
are,1991,8565
are,1992,9430
are,1993,10537
are,1994,11637
are,1995,12577
are,2016,46237
are,2019,53167
are,2020,70510
arg,1970,134264
arg,1971,137256
arg,1972,141197
arg,1973,148483
arg,1974,155480
arg,1975,161859
arg,1976,169704
arg,1977,173714
arg,1978,173041
arg,1979,178681
arg,1983,193551
arg,1984,213961
arg,1985,230093
arg,1986,238211
arg,1987,265054
arg,1988,278196
arg,1994,238791
arg,1998,257798
arg,2000,311323
arg,2001,223367
arg,2002,229159
arg,2003,241612
arg,2004,254065
arg,2005,256884
arg,2006,272904
arg,2007,285764
arg,2008,323957
arm,1991,46434
arm,1994,32674
arm,1996,33889
arm,2018,29311
arm,2019,25093
arm,2020,23974
asm,1972,120
asm,1973,125
asm,1974,125
asm,1975,125
asm,1976,125
asm,1977,125
asm,1978,129
asm,1979,129
asm,1980,129
asm,1982,132
asm,1983,140
asm,1984,145
asm,1985,149
asm,1986,203
asm,1987,228
asm,1988,231
asm,1989,218
asm,1990,222
asm,1991,230
asm,1992,266
atg,1972,235
atg,1974,326
atg,1975,242
atg,1976,313
atg,1977,358
atg,1978,370
atg,2000,394
atg,2009,678
atg,2010,694
atg,2011,706
atg,2012,723
atg,2014,674
atg,2015,701
atg,2017,813
atg,2018,845
aus,1971,56786
aus,1972,60935
aus,1973,65211
aus,1974,68623
aus,1975,74041
aus,1976,77638
aus,1977,80980
aus,1978,82677
aus,1979,84529
aus,1980,85340
aus,1981,86364
aus,1984,103064
aus,1985,105955
aus,1986,101115
aus,1987,102436
aus,1988,103171
aus,1989,101321
aus,1990,103298
aus,1991,102753
aus,1992,104110
aut,1971,39613
aut,1973,40634
aut,1974,44057
aut,1975,46531
aut,1978,56151
aut,1979,56927
aut,1980,60124
aut,1981,68492
aut,1982,70358
aut,1983,71312
aut,1984,73251
aut,1985,72400
aut,1986,74014
aut,1987,75256
aut,1988,75056
aut,1989,75290
aut,1990,75674
aut,1991,76295
aut,1992,78069
aut,1993,80980
aut,1994,82696
aut,1995,83608
aut,1996,80168
aut,1997,79806
aut,1998,73029
aut,1999,72584
aut,2002,72392
aut,2003,72629
aut,2004,71954
aut,2005,71135
aut,2006,71548
aut,2007,71710
aut,2008,72856
aut,2009,74202
aut,2010,74576
aut,2011,74754
aut,2012,74426
aut,2013,73036
aut,2014,72563.64844
aut,2015,72162.28125
aut,2016,72960.5625
aut,2017,73673.57031
aut,2019,74044.02344
aze,2016,130300
aze,2017,127300
aze,2018,124211
aze,2019,123393
aze,2020,122048
bdi,1972,784
bdi,1973,626
bdi,1974,594
bdi,1976,731
bdi,1977,877
bdi,1978,919
bdi,1982,1155
bdi,1983,1269
bdi,1984,1512
bdi,1985,1644
bdi,1986,1849
bdi,1987,1908
bdi,1989,1868
bdi,1990,2153
bdi,1991,2026
bdi,1992,2211
bdi,1993,2562
bdi,2003,6855
bdi,2004,7176
bdi,2005,7498
bdi,2006,6770
bdi,2007,7501
bdi,2009,10895
bdi,2010,11275
bdi,2011,12968
bdi,2012,14141
bdi,2013,15504
bdi,2014,15673
bdi,2015,18558
bdi,2016,22512
bdi,2017,23729
bdi,2018,25372
bdi,2019,25710
bel,1972,71112
bel,1973,70438
bel,1974,71338
bel,1977,71170
bel,1987,103999
bel,1988,114628
bel,1989,106071
bel,1990,106795
bel,1991,106372
bel,1992,110599
bel,1993,128500
bel,1994,126977
bel,2013,127706
bel,2014,128413
bel,2015,129222
bel,2016,130790
bel,2017,132043
bel,2018,132355
bel,2019,131831
ben,1971,774
ben,1977,1509
ben,1987,3657
ben,1999,8988
ben,2000,9803
ben,2001,11887
ben,2003,13957
ben,2004,14410
ben,2013,88460
ben,2014,90439
ben,2015,93366
ben,2016,90341
ben,2020,48785
bfa,1971,474
bfa,1972,542
bfa,1973,517
bfa,1975,757
bfa,1976,818
bfa,1983,1451
bfa,1999,6215
bfa,2003,7559
bfa,2006,10802
bfa,2007,12498
bfa,2008,13964
bfa,2009,18251
bfa,2010,17780
bfa,2011,22809
bfa,2012,25684
bfa,2013,28335
bfa,2014,31078
bfa,2015,38322
bfa,2016,45254
bfa,2017,49818
bfa,2018,55407
bfa,2019,60400
bfa,2020,65024
bgd,1973,94132
bgd,1979,105182
bgd,1980,111927
bgd,1983,113950
bgd,1985,112700
bgd,1986,108508
bgd,1987,112519
bgd,1988,124760
bgd,1989,130394
bgd,1990,130949
bgd,1998,251522
bgd,1999,264945
bgd,2000,268774
bgd,2001,285109
bgd,2002,320779
bgd,2003,355594
bgd,2004,378276
bgd,2005,422578
bgd,2006,409262
bgd,2007,413746
bgd,2008,370800
bgd,2009,387273
bgd,2010,400052
bgd,2011,376914
bgd,2012,378049
bgd,2013,378209
bgd,2016,436223.96875
bgd,2017,450665.8125
bgd,2018,452193
bgd,2020,486733
bgr,1996,66768
bgr,1997,67088
bgr,1998,63443
bgr,1999,55981
bgr,2000,58714
bgr,2001,57166
bgr,2002,57405
bgr,2003,57461
bgr,2004,57609
bgr,2005,57253
bgr,2006,56409
bgr,2007,54813
bgr,2008,51700
bgr,2009,46279
bgr,2010,44034
bgr,2011,42557
bgr,2012,40885
bgr,2013,39843
bgr,2014,39224
bgr,2016,38546
bgr,2017,38210
bgr,2018,38785
bgr,2019,39185
bhr,1977,776
bhr,1978,844
bhr,1981,1184
bhr,1982,1430
bhr,1983,1656
bhr,1984,1812
bhr,1985,1911
bhr,1987,2061
bhr,1988,2270
bhr,1989,2486
bhr,1990,2623
bhr,1991,2742
bhr,1992,2927
bhr,1993,3132
bhr,1994,3166
bhr,1995,3125
bhr,2011,7881
bhr,2012,8646
bhr,2013,8894
bhr,2014,9138
bhr,2015,9374
bhr,2016,9770
bhr,2017,9632
bhr,2018,9671
bhr,2019,9784
bhr,2020,9914
bhs,1971,641
bhs,1973,712
bhs,1981,1018
bhs,1983,1316
bhs,1984,1334
bhs,1985,1344
bhs,1987,1555
bhs,1994,1775
bhs,1995,1379
bhs,1997,1352
bhs,1999,1706
bhs,2002,2135
bhs,2004,2177
bhs,2005,2365
bhs,2006,2559
bhs,2007,2788
bhs,2008,2716
bhs,2009,2780
bhs,2010,2837
bhs,2011,2974
bhs,2012,2309
bhs,2013,2433
bhs,2014,2534
bhs,2015,2185
bhs,2016,2414
bhs,2017,2185
bhs,2018,2154
bih,2013,27765
bih,2014,27940
bih,2015,27405
bih,2016,27028
bih,2017,27087
bih,2018,27153
bih,2019,27311
bih,2020,27634
blr,1972,62171
blr,1973,62793
blr,1974,63577
blr,1975,64353
blr,1976,70154
blr,1977,63054
blr,1978,60981
blr,1979,67182
blr,1980,64701
blr,1992,72200
blr,1993,75200
blr,1994,79000
blr,1995,81700
blr,2013,85401
blr,2014,80513
blr,2015,77028
blr,2016,77654
blr,2017,77110
blr,2018,75835
blz,1999,907
blz,2000,996
blz,2001,1066
blz,2003,1220
blz,2004,1528
blz,2005,1558
blz,2006,1741
blz,2007,1796
blz,2008,1835
blz,2009,1895
blz,2010,1947
blz,2011,2060
blz,2012,2142
blz,2013,2116
blz,2015,2322
blz,2016,2230
blz,2017,2401
blz,2018,2413
blz,2019,2445
blz,2020,2449
bmu,1971,301
bmu,1972,318
bmu,1973,330
bmu,1974,322
bmu,1975,325
bmu,1977,466
bmu,1978,404
bmu,2001,645
bmu,2002,651
bmu,2003,687
bmu,2004,700
bmu,2005,682
bmu,2006,747
bmu,2010,825
bmu,2011,670
bmu,2012,661
bmu,2013,785
bmu,2014,822
bmu,2015,638
bmu,2016,672
bol,1999,38782
bol,2013,57155
bol,2014,59213
bol,2015,60493
bol,2016,63414
bol,2017,65369
bol,2018,66702
bra,1970,308552
bra,2002,1401056
bra,2003,1469950
bra,2004,1570514
bra,2005,1611582
bra,2007,1262634
bra,2008,1375114
bra,2009,1377993
bra,2010,1412582
bra,2011,1431170
bra,2012,1448245
bra,2013,1441306
bra,2014,1451313
bra,2015,1428559
bra,2016,1417859
bra,2017,1382343
bra,2018,1380391
bra,2019,1367821
brb,1974,1179
brb,1976,1421
brb,1977,1432
brb,1978,1517
brb,1979,1453
brb,1981,1231
brb,1982,1231
brb,1983,1209
brb,1984,1368
brb,1985,1449
brb,1989,1481
brb,1990,1224
brb,1999,1230
brb,2000,1215
brb,2001,1210
brb,2002,1326
brb,2003,1381
brb,2004,1264
brb,2005,1348
brb,2006,1430
brb,2015,1172
brb,2016,1093
brb,2017,1097
brb,2018,1091
brb,2019,1092
brb,2020,1186
brn,1970,565
brn,1971,689
brn,1972,794
brn,1973,844
brn,1974,859
brn,1975,782
brn,1976,1021
brn,1977,1065
brn,1978,1138
brn,1979,1276
brn,1980,1413
brn,1981,1538
brn,1984,1801
brn,1985,1893
brn,1986,2022
brn,1991,2172
brn,1992,2248
brn,1993,2337
brn,1994,2413
brn,1995,2692
brn,1996,2961
brn,1998,3077
brn,1999,3125
brn,2000,3244
brn,2001,3377
brn,2002,3453
brn,2003,3765
brn,2004,4137
brn,2005,4350
brn,2006,4255
brn,2007,4274
brn,2008,4439
brn,2009,4601
brn,2011,5023
brn,2012,5192
brn,2013,5304
brn,2014,5359
brn,2015,5347
brn,2016,5323
brn,2017,5101
brn,2018,5331
brn,2019,5222
brn,2020,5780
btn,1983,394
btn,1984,581
btn,1999,692
btn,2005,1499
btn,2006,2062
btn,2008,2194
btn,2009,2739
btn,2010,2805
btn,2011,3056
btn,2012,3322
btn,2013,4991
btn,2014,5191
btn,2015,6119
btn,2016,6515
btn,2017,6853
btn,2018,7048
bwa,1970,353
bwa,1971,420
bwa,1972,478
bwa,1973,597
bwa,1974,727
bwa,1975,860
bwa,1976,920
bwa,1977,928
bwa,1978,1126
bwa,1980,1137
bwa,1981,1437
bwa,1984,1565
bwa,1985,1675
bwa,1986,2050
bwa,1987,2226
bwa,1988,2573
bwa,1989,3055
bwa,1990,3716
bwa,1991,4312
bwa,1992,4467
bwa,1993,5084
bwa,1994,5475
bwa,1995,6670
bwa,1998,8993
bwa,1999,9473
bwa,2000,9938
bwa,2001,10387
bwa,2002,10902
bwa,2003,11321
bwa,2004,12402
bwa,2005,12559
bwa,2006,12746
bwa,2007,12902
caf,1971,518
caf,1972,533
caf,1975,561
caf,1977,703
caf,1978,671
caf,1979,700
caf,1981,724
caf,1983,998
caf,1985,897
caf,1986,922
caf,1987,923
caf,1989,1052
caf,1990,1317
caf,2009,1166
caf,2010,1653
caf,2011,1886
caf,2012,1848
caf,2016,3433
caf,2017,4357
can,1976,144300
can,1983,129256
can,1984,130551
can,1985,150960
can,1986,151390
can,1987,153007
can,1988,156427
can,1989,156701
can,1990,158618
can,1991,164125
can,1992,166406
can,1993,134799
can,1994,135888
can,1995,133358
can,1996,133275
che,1979,39873
che,1980,41303
che,2012,64975
che,2013,66533
che,2014,64403
che,2016,62387
che,2017,61941
che,2018,62546
che,2019,62696
chl,1999,44975
chl,2000,47398
chl,2002,45981
chl,2004,63311
chl,2005,65813
chl,2006,66927
chl,2007,67970
chl,2008,68113
chl,2009,68200
chl,2010,69434
chl,2011,70903
chl,2012,72021
chl,2013,74823
chl,2014,77576.64062
chl,2015,79535.8125
chl,2016,81316
chl,2017,82797.0625
chl,2018,84497
chl,2019,87495.46094
chn,1970,983294
chn,1971,1212599
chn,1972,1369092
chn,1973,1703006
chn,1974,1752875
chn,1975,1848192
chn,1976,2164601
chn,1977,2809190
chn,1978,3273831
chn,1979,3281591
chn,1980,3190884
chn,1981,3171564
chn,1982,3008789
chn,1983,2870455
chn,1984,2854364
chn,1985,2883000
chn,1986,3039100
chn,1987,3201850
chn,1988,3365800
chn,1989,3501500
chn,1990,3546200
chn,1991,3631500
chn,1992,3696400
chn,1993,3776750
chn,1994,3836100
chn,1995,3910232
chn,1996,4099272
chn,1997,4217947
chn,2000,4763020
chn,2001,4572065
chn,2002,4792771
chn,2003,5138036
chn,2006,5766256
chn,2007,6221145
chn,2008,6343783
chn,2009,6388302
chn,2010,6417038
chn,2011,6431127
chn,2012,6550540
chn,2013,6229458
chn,2014,6211070
chn,2015,6234124
chn,2016,6219580
chn,2017,6266954
chn,2018,6359696
chn,2019,6474893
chn,2020,6589956
civ,1971,3279
civ,1999,20124
civ,2014,63602
civ,2016,66852
civ,2017,72134
civ,2018,74796
civ,2019,77178
civ,2020,87795
cmr,1972,3939
cmr,1973,4206
cmr,1974,4683
cmr,1975,5069
cmr,1976,4805
cmr,1977,6348
cmr,1978,6988
cmr,1979,7521
cmr,1980,8374
cmr,1981,8926
cmr,1982,9335
cmr,1983,9680
cmr,1984,10439
cmr,1985,12807
cmr,1986,11096
cmr,1987,13370
cmr,1988,17032
cmr,1989,18128
cmr,1990,17667
cmr,1991,19820
cmr,1998,25766
cmr,1999,28185
cmr,2000,29623
cmr,2001,43326
cmr,2004,45693
cmr,2005,48497
cmr,2006,43193
cmr,2007,44611
cmr,2008,42877
cmr,2011,65261
cmr,2012,79943
cmr,2013,92598
cmr,2014,97921
cmr,2015,106119
cmr,2016,114601
cod,1972,13087
cod,1973,13792
cod,1974,14483
cod,1979,35208
cod,1984,43459
cod,1987,49153
cod,1992,54394
cod,1993,59879
cod,1994,59325
cod,2007,179635
cod,2008,188808
cod,2009,212273
cod,2010,218320
cod,2011,248591
cod,2012,253929
cod,2013,281324
cod,2014,300719
cod,2015,324324
cod,2018,378274
cog,1971,1037
cog,1972,1191
cog,1973,1302
cog,1974,1681
cog,1975,2143
cog,1976,2413
cog,1978,3344
cog,1979,3706
cog,1981,5117
cog,1982,5207
cog,1984,5537
cog,1985,5537
cog,1986,6322
cog,1987,6827
cog,1988,6697
cog,1989,7226
cog,1990,6710
cog,1991,6851
cog,1992,7230
cog,1994,7861
cog,1996,7173
cog,2003,7261
cog,2004,6866
cog,2012,18165
cog,2018,25847
col,1970,43695
col,1971,45706
col,1972,47419
col,1973,62000
col,1974,66334
col,1975,70451
col,1976,75468
col,1977,79742
col,1978,80112
col,1979,83134
col,1980,85135
col,1981,87449
col,1982,90171
col,1983,90006
col,1984,93121
col,1985,95981
col,1986,107084
col,1987,109933
col,1988,112386
col,1989,114839
col,1991,119742
col,1992,130514
col,1993,134161
col,1994,140181
col,1995,143731
col,1996,169816
col,1999,200337
col,2000,185924
col,2001,177177
col,2002,177940
col,2004,164340
col,2005,164194
col,2006,164783
col,2007,185618
col,2009,187275
col,2010,187124
col,2011,200567
col,2012,193087
col,2013,192562
col,2014,193884
col,2015,181041
col,2016,182714
col,2017,183952
col,2019,187993
com,1971,63
com,1972,66
com,1973,113
com,1974,128
com,1981,449
com,2002,2598
com,2003,3399
com,2004,3111
com,2013,7784
com,2014,8150
com,2017,12693
com,2018,8870
cpv,1972,208
cpv,1980,176
cpv,1981,184
cpv,1982,210
cpv,1987,247
cpv,1988,268
cpv,1989,291
cpv,2001,1886
cpv,2002,1962
cpv,2003,2091
cpv,2004,2193
cpv,2005,2241
cpv,2006,2363
cpv,2007,3195
cpv,2008,3393
cpv,2009,3336
cpv,2010,3522
cpv,2011,3614
cpv,2012,3689
cpv,2013,3624
cpv,2014,3728
cpv,2015,3575
cpv,2016,3607
cpv,2017,3613
cpv,2018,3460
cpv,2019,3498
cri,1970,3691
cri,1972,4005
cri,1975,4929
cri,1976,5915
cri,1979,7324
cri,1980,7157
cri,1981,6955
cri,1982,7307
cri,1983,7107
cri,1985,6613
cri,1986,6469
cri,1987,6472
cri,1988,6701
cri,1989,6661
cri,1990,6889
cri,1991,7249
cri,1992,7641
cri,1993,8263
cri,1994,8845
cri,1995,9327
cri,1996,10157
cri,1997,10483
cri,1998,11991
cri,1999,13038
cri,2000,13568
cri,2001,14323
cri,2002,15410
cri,2006,21042
cri,2007,21097
cri,2008,24347
cri,2009,25643
cri,2010,26676
cri,2011,28111
cri,2013,32018
cri,2014,32051
cri,2015,32988
cri,2016,36355
cri,2017,35112
cri,2018,38355
cri,2019,37828
cri,2020,39609
cub,1971,21781
cub,1972,22310
cub,1973,23654
cub,1974,29260
cub,1975,35035
cub,1976,42306
cub,1977,57477
cub,1978,69722
cub,1980,84354
cub,1981,88017
cub,1982,91960
cub,1983,94193
cub,1984,95394
cub,1985,97348
cub,1986,100673
cub,1987,101022
cub,1988,104741
cub,1989,108078
cub,1990,108560
cub,1991,100118
cub,1992,95696
cub,1993,92813
cub,1994,85094
cub,1995,68960
cub,1996,74139
cub,1997,70628
cub,1998,63824
cub,1999,64852
cub,2000,66122
cub,2001,73627
cub,2002,77041
cub,2003,80372
cub,2004,84467
cub,2005,84827
cub,2006,88536
cub,2007,93311
cub,2008,89495
cub,2009,85957
cub,2010,85476
cub,2011,88316
cub,2012,93067
cub,2013,94786
cub,2014,93503
cub,2015,91289
cub,2016,88441
cub,2017,86096
cub,2018,82549
cub,2019,79696
cub,2020,82184
cym,1974,72
cym,1975,82
cym,1976,106
cym,1977,114
cym,1980,120
cym,1981,207
cym,1999,237
cym,2000,252
cym,2001,239
cym,2002,231
cym,2004,239
cym,2005,275
cym,2006,316
cym,2008,361
cym,2011,363
cym,2012,626
cym,2018,317
cym,2020,345.10001
cyp,1971,2011
cyp,1972,2091
cyp,1973,2478
cyp,1974,2590
cyp,1975,2242
cyp,1976,2451
cyp,1977,2621
cyp,1978,2718
cyp,1979,2853
cyp,1980,2957
cyp,1981,2953
cyp,1982,3047
cyp,1983,3093
cyp,1984,3137
cyp,1985,3195
cyp,1986,3138
cyp,1987,3119
cyp,1988,3407
cyp,1989,3524
cyp,1990,3610
cyp,1991,3735
cyp,1992,3952
