geo,time,tm_uvi_mrch_xd_wd
abw,2000,100
abw,2001,98.58973
abw,2002,97.54734
abw,2003,107.91401
abw,2004,131.23951
abw,2005,172.58923
abw,2006,199.26871
abw,2007,217.39026
abw,2008,265.40453
abw,2009,238.94704
abw,2010,258.79588
abw,2011,319.4503
abw,2012,321.61456
abw,2013,320.11794
abw,2014,320.02225
abw,2015,225.54852
abw,2016,205.69
abw,2017,226.0811
abw,2018,245.51731
abw,2019,240.63823
abw,2020,237.46947
afg,2000,100
afg,2001,95.34392
afg,2002,94.01178
afg,2003,99.46129
afg,2004,107.26187
afg,2005,115.4043
afg,2006,121.93179
afg,2007,132.32874
afg,2008,152.05181
afg,2009,139.08116
afg,2010,149.47075
afg,2011,171.06706
afg,2012,169.21523
afg,2013,166.47262
afg,2014,162.82748
afg,2015,145.37672
afg,2016,138.86896
afg,2017,145.1
afg,2018,154.17094
afg,2019,149.59548
afg,2020,146.71996
ago,1985,53
ago,1986,68
ago,1987,73
ago,1988,60
ago,1989,61
ago,1990,87
ago,1991,151
ago,1992,72
ago,1993,94
ago,1994,70
ago,1995,78
ago,1996,104
ago,1997,101
ago,1998,97
ago,1999,105
ago,2000,100
ago,2001,95.95925
ago,2002,96.39517
ago,2003,100.99734
ago,2004,106.56234
ago,2005,109.07779
ago,2006,115.0226
ago,2007,124.27117
ago,2008,136.49987
ago,2009,128.20812
ago,2010,134.65932
ago,2011,151.61731
ago,2012,151.00797
ago,2013,144.67241
ago,2014,143.91842
ago,2015,131.99395
ago,2016,126.29203
ago,2017,129.85507
ago,2018,135.74804
ago,2019,133.42021
ago,2020,134.69604
alb,2000,100
alb,2001,99.97112
alb,2002,99.38339
alb,2003,106.35735
alb,2004,115.13088
alb,2005,122.2339
alb,2006,129.37923
alb,2007,138.84259
alb,2008,159.02163
alb,2009,145.22901
alb,2010,154.1645
alb,2011,177.27548
alb,2012,172.03375
alb,2013,169.43721
alb,2014,168.40997
alb,2015,150.01408
alb,2016,145.15619
alb,2017,148.84672
alb,2018,157.26254
alb,2019,154.50418
alb,2020,153.78142
and,2000,100
and,2001,98.57466
and,2002,96.68605
and,2003,100.19372
and,2004,105.59459
are,2000,100
are,2001,98.41964
are,2002,97.72512
are,2003,101.04419
are,2004,107.83758
are,2005,112.62916
are,2006,121.14661
are,2007,129.46152
are,2008,141.44612
are,2009,137.32041
are,2010,144.2035
are,2011,161.76632
are,2012,160.50338
are,2013,153.41369
are,2014,150.65494
are,2015,140.56183
are,2016,138.31849
are,2017,141.56918
are,2018,147.83807
are,2019,146.93954
are,2020,151.23354
arg,1980,80
arg,1981,91
arg,1982,86
arg,1983,87
arg,1984,86
arg,1985,85
arg,1986,92
arg,1987,101
arg,1988,104
arg,1989,110
arg,1990,118
arg,1991,101
arg,1992,104
arg,1993,102
arg,1994,109
arg,1995,119
arg,1996,116
arg,1997,109
arg,1998,104
arg,1999,100
arg,2000,100
arg,2001,96.77419
arg,2002,91.79578
arg,2003,94.00559
arg,2004,101.3208
arg,2005,109.42342
arg,2006,115.44323
arg,2007,123.29185
arg,2008,138.96368
arg,2009,123.08865
arg,2010,128.62586
arg,2011,138.07468
arg,2012,135.89027
arg,2013,143.05309
arg,2014,142.44348
arg,2015,126.51765
arg,2016,113.48743
arg,2017,118.66904
arg,2018,124.02845
arg,2019,117.47523
arg,2020,113.48743
arm,2000,100
arm,2001,99.15227
arm,2002,95.47065
arm,2003,101.9711
arm,2004,110.66962
arm,2005,123.21475
arm,2006,134.65912
arm,2007,145.28105
arm,2008,166.52841
arm,2009,150.75319
arm,2010,159.21848
arm,2011,183.15053
arm,2012,183.78711
arm,2013,178.20068
arm,2014,175.31587
arm,2015,151.99358
arm,2016,141.00899
arm,2017,148.83164
arm,2018,159.35365
arm,2019,152.27016
arm,2020,147.50266
asm,2000,100
asm,2001,93.74176
asm,2002,91.24941
asm,2003,98.08248
asm,2004,102.35094
asm,2005,108.03338
asm,2006,112.90522
asm,2007,121.8551
asm,2008,154.62841
asm,2009,146.49617
asm,2010,157.34564
asm,2011,194.32341
asm,2012,195.00817
asm,2013,194.86985
asm,2014,192.2902
asm,2015,154.47346
asm,2016,140.70375
asm,2017,156.55303
asm,2018,174.26906
asm,2019,168.41054
asm,2020,156.18385
atg,2000,100
atg,2001,97.87442
atg,2002,96.32203
atg,2003,100.7602
atg,2004,107.79036
atg,2005,117.95187
atg,2006,128.38968
atg,2007,141.29894
atg,2008,167.86625
atg,2009,168.42295
atg,2010,190.71721
atg,2011,235.72293
atg,2012,240.02516
atg,2013,222.85231
atg,2014,221.21912
