geo,time,se_ter_enrl_tc_zs
abw,1999,9.45098
abw,2000,9.62195
abw,2001,9.57647
abw,2002,10.01258
abw,2003,9.89349
abw,2004,9.7931
abw,2005,9.23684
abw,2006,8.94872
abw,2007,10.05405
abw,2008,10.52582
abw,2009,9.50649
abw,2010,10.40179
abw,2011,10.98246
abw,2012,9.89057
abw,2013,10.35965
abw,2014,10.64655
abw,2015,13.55814
abw,2016,8.56835
afg,1970,9.75032
afg,1972,10.09979
afg,1973,9.08782
afg,1974,11.15682
afg,1979,15.86602
afg,1982,11.39907
afg,1987,12.34767
afg,1990,18.13189
afg,2003,15.52784
afg,2004,15.52386
afg,2009,28.48145
afg,2011,31.89532
afg,2014,23.89329
afg,2018,21.52832
ago,1988,10.08935
ago,1989,8.96472
ago,1990,8.53397
ago,1991,6.62677
ago,1992,8.04447
ago,1998,10.74356
ago,1999,9.85553
ago,2002,9.77899
ago,2006,37.8647
ago,2011,18.16075
ago,2015,25.5239
alb,1971,27.50432
alb,1972,24.86383
alb,1978,14.47783
alb,1981,13.20762
alb,1983,14.1129
alb,1984,14.46324
alb,1985,14.17111
alb,1986,14.98297
alb,1987,14.84626
alb,1988,14.63631
alb,1989,15.19048
alb,1990,14.44853
alb,1991,15.20543
alb,1992,15.51302
alb,1993,19.45476
alb,1994,17.01522
alb,1995,18.8371
alb,1996,13.90296
alb,1998,15.29046
alb,1999,12.19962
alb,2000,13.63405
alb,2001,13.48482
alb,2011,13.7911
alb,2016,16.64766
alb,2017,15.32851
alb,2018,14.06519
and,2002,3.70833
and,2003,4.02632
and,2004,3.94048
and,2006,4.95062
and,2008,5.27586
and,2012,3.12739
and,2013,5.02804
and,2014,4.88235
and,2015,4.55455
and,2016,3.85915
and,2017,3.90728
and,2018,4.42958
are,1978,9.26786
are,1979,13.35526
are,1980,13.75652
are,1981,11.1323
are,1982,12.8566
are,1984,19.26667
are,1985,16.80392
are,1986,17.46517
are,1987,19.00696
are,1988,16.75494
are,1989,16.01464
are,1990,13.69516
are,1991,12.12366
are,1992,9.61645
are,2009,18.57074
are,2011,19.12622
are,2012,18.39752
are,2013,17.6851
are,2014,17.46125
are,2015,17.80907
are,2016,16.96831
are,2017,18.41871
arg,1970,12.21845
arg,1971,11.93067
arg,1972,11.78657
arg,1973,10.87732
arg,1974,11.85968
arg,1975,13.20096
arg,1976,15.41762
arg,1977,12.62235
arg,1978,11.27321
arg,1979,11.23661
arg,1980,10.62254
arg,1981,11.07534
arg,1982,10.35542
arg,1983,10.35187
arg,1984,10.54858
arg,1985,11.96827
arg,1986,12.90108
arg,1987,12.73912
arg,1998,13.14669
arg,1999,15.76137
arg,2000,15.67528
arg,2001,14.77395
arg,2002,15.94887
arg,2004,14.94705
arg,2006,15.47501
arg,2009,16.77677
arm,2001,5.51525
arm,2002,6.24795
arm,2003,6.37635
arm,2004,6.46782
arm,2005,6.84661
arm,2006,7.50259
arm,2007,8.2608
arm,2008,8.79561
arm,2009,9.18954
arm,2010,9.22332
arm,2011,8.6038
arm,2012,7.37891
arm,2013,7.44905
arm,2014,7.10141
arm,2015,6.75418
arm,2016,7.15698
arm,2017,6.93556
arm,2018,6.92216
asm,1972,19.75
asm,1976,22.96667
asm,1978,22.28
asm,1979,21.5
asm,1980,21.4
asm,1981,21.68889
asm,1982,21
asm,1983,20.14
asm,1984,21.02174
asm,1985,21.2439
asm,1986,21.05556
asm,2007,15.30476
atg,2009,7.05442
atg,2010,6.76301
atg,2011,6.17341
atg,2012,8.18265
aus,1974,13.70305
aus,1975,13.79207
aus,1976,13.89587
aus,1977,14.03912
aus,1978,14.10798
aus,1979,14.34038
aus,1980,14.62528
aus,1981,15.21292
aus,1982,15.50314
aus,1983,15.97124
aus,1984,16.12386
aus,1985,16.33117
aus,1986,16.70826
aus,1987,16.4049
aus,1988,17.16614
aus,1989,17.62049
aus,1990,17.43369
aus,1991,18.64358
aus,1992,20.38354
aut,1971,8.56418
aut,1972,8.70034
aut,1973,8.68096
aut,1974,8.42732
aut,1975,8.01955
aut,1981,9.70992
aut,1982,9.94488
aut,1983,10.30641
aut,1984,10.81586
aut,1985,11.56035
aut,1986,12.07073
aut,1994,9.19634
aut,1995,9.21942
aut,1996,9.08052
aut,1997,9.13007
aut,2007,10.9478
aut,2008,10.23001
aut,2009,9.93713
aut,2010,8.26347
aut,2011,9.13457
aut,2012,8.19896
aut,2013,7.28747
aut,2014,7.16789
aut,2015,6.99524
aut,2016,7.37407
aut,2017,7.18354
aze,1981,15.55255
aze,1986,13.86609
aze,1989,9.14587
aze,1990,9.01603
aze,1991,11.86914
aze,1992,11.84313
aze,1993,9.95819
aze,1994,8.46538
aze,1995,7.77949
aze,2006,7.54696
aze,2007,7.3501
aze,2008,7.61973
aze,2009,6.97771
aze,2010,7.00329
aze,2011,7.08139
aze,2012,7.42693
aze,2013,7.35359
aze,2014,9.16601
aze,2015,9.70719
aze,2016,10.05152
aze,2017,10.02216
aze,2018,9.92033
bdi,1971,4.56863
bdi,1972,4.53704
bdi,1973,4.46296
bdi,1974,4.50909
bdi,1975,3.73023
bdi,1976,4.49327
bdi,1979,6.91935
bdi,1980,7.72294
bdi,1985,5.63982
bdi,1986,5.95931
bdi,1987,5.91126
bdi,1988,6.84696
bdi,1989,6.616
bdi,1991,8.23853
bdi,1992,7.10575
bdi,1993,7.65468
bdi,1999,13.29024
bdi,2000,11.70229
bdi,2001,12.40434
bdi,2002,17.34539
bdi,2004,23.47683
bdi,2005,16.0942
bdi,2009,16.3349
bdi,2010,16.40639
bdi,2011,15.72018
bdi,2012,20.2122
bdi,2013,14.67375
bdi,2014,25.23399
bdi,2016,22.20748
bdi,2017,19.79602
bel,1987,12.9671
bel,1989,9.37574
bel,1990,9.58198
bel,1991,9.84561
bel,1993,9.43245
bel,1994,9.78699
bel,2005,15.11395
bel,2008,15.08892
bel,2009,15.50875
bel,2010,15.57842
bel,2011,16.20987
bel,2012,16.55331
bel,2013,16.34012
bel,2014,17.3383
bel,2015,17.63425
bel,2016,16.66678
bel,2017,16.95452
ben,1971,9.42424
ben,1972,11.19231
ben,1973,12.08889
ben,1974,16.05882
ben,1975,13.28671
ben,1976,13.84314
ben,1981,7.42989
ben,1982,7.07347
ben,1983,7.72937
ben,1984,8.45906
ben,1985,8.35812
ben,1986,9.33368
ben,1987,7.99099
ben,1991,11.56702
ben,1992,7.69471
ben,1993,11.1704
ben,1994,11.06165
ben,1999,29.37538
ben,2000,29.37746
ben,2001,29.39791
ben,2008,18.31441
ben,2009,19.89906
ben,2010,17.76118
ben,2011,17.25623
ben,2017,29.48773
bfa,1971,6.1
bfa,1972,5.13333
bfa,1973,5.48
bfa,1974,10.9
bfa,1975,5.12745
bfa,1976,6.42771
bfa,1978,13.13978
bfa,1979,11.08621
bfa,1983,10.6782
bfa,1984,10.22823
bfa,1991,14.01809
bfa,1993,16.11152
bfa,1994,15.43783
bfa,1995,21.53075
bfa,1996,29.80317
bfa,1997,25.31534
bfa,1999,12.77878
bfa,2002,19.25031
bfa,2005,14.08367
bfa,2007,17.74072
bfa,2008,18.6098
bfa,2009,18.92127
bfa,2010,17.71063
bfa,2011,17.27499
bfa,2012,18.76709
bfa,2013,19.61859
bfa,2014,19.73162
bfa,2015,18.34496
bfa,2016,19.2185
bfa,2017,19.47238
bfa,2018,17.32014
bgd,1970,16.33148
bgd,1976,11.74583
bgd,1977,13.86392
bgd,1978,9.78814
bgd,1979,18.88069
bgd,1980,19.3258
bgd,1981,19.10693
bgd,1982,19.83159
bgd,1983,26.32223
bgd,1984,28.71523
bgd,1985,28.48415
bgd,1986,26.74049
bgd,1987,21.65938
bgd,1988,17.79545
bgd,1990,19.3482
bgd,1999,20.48241
bgd,2000,19.75483
bgd,2001,22.49314
bgd,2002,20.55115
bgd,2003,19.1203
bgd,2004,16.68625
bgd,2005,17.43121
bgd,2006,17.80003
bgd,2007,18.80327
bgd,2008,21.02576
bgd,2009,26.94853
bgd,2011,25.95656
bgd,2012,23.08715
bgd,2014,22.87295
bgd,2016,28.96697
bgd,2017,30.34408
bgd,2018,37.11937
bgr,1971,12.96823
bgr,1972,13.09606
bgr,1973,13.40465
bgr,1974,12.59936
bgr,1975,11.78334
bgr,1976,10.51455
bgr,1977,9.28765
bgr,1978,9.73214
bgr,1979,7.51239
bgr,1980,7.26461
bgr,1981,7.03296
bgr,1982,7.02983
bgr,1983,6.72826
bgr,1984,6.95872
bgr,1985,6.99377
bgr,1986,7.46099
bgr,1987,7.20583
bgr,1988,8.03858
bgr,1989,7.86441
bgr,1990,7.60703
bgr,1991,7.96514
bgr,1992,7.76129
bgr,1993,8.89366
bgr,1994,9.74934
bgr,1995,9.18802
bgr,1996,9.87947
bgr,1997,9.98962
bgr,1999,11.04881
bgr,2000,10.61418
bgr,2001,11.49453
bgr,2002,10.2497
bgr,2003,12.06622
bgr,2004,10.90852
bgr,2005,11.27424
bgr,2006,10.91473
bgr,2007,12.06192
bgr,2008,12.36964
bgr,2009,13.1546
bgr,2010,13.76581
bgr,2011,13.81562
bgr,2012,12.41538
bgr,2013,12.10603
bgr,2014,12.31071
bgr,2016,11.79911
bgr,2017,11.24677
bhr,1971,9.03125
bhr,1972,9.45455
bhr,1973,9.51351
bhr,1974,14.23256
bhr,1975,9.98507
bhr,1976,8.89873
bhr,1977,12.13861
bhr,1980,10.512
bhr,1981,12
bhr,1982,10.2087
bhr,1985,9.08798
bhr,1986,9.63134
bhr,1987,6.57396
bhr,1988,9.42967
bhr,1991,12.33034
bhr,1992,11.81322
bhr,1993,13.33849
bhr,1994,11.71908
