geo,time,px_rex_reer
arm,1994,32.67399
arm,1995,52.12343
arm,1996,70.85729
arm,1997,69.85434
arm,1998,74.25131
arm,1999,72.78205
arm,2000,74.01209
arm,2001,73.03507
arm,2002,73.66496
arm,2003,67.93739
arm,2004,71.63444
arm,2005,80.13081
arm,2006,86.97133
arm,2007,99.47694
arm,2008,107.81145
arm,2009,99.33615
arm,2010,100
arm,2011,99.12794
arm,2012,94.35196
arm,2013,96.02081
arm,2014,100.11335
arm,2015,103.12012
arm,2016,102.49864
arm,2017,100.19398
arm,2018,100.47825
arm,2019,103.08998
arm,2020,100.9439
arm,2021,96.27035
atg,1979,128.01615
atg,1980,132.34327
atg,1981,145.10977
atg,1982,149.89139
atg,1983,154.1723
atg,1984,162.38196
atg,1985,160.80648
atg,1986,141.43211
atg,1987,131.94723
atg,1988,132.86091
atg,1989,136.20841
atg,1990,131.43241
atg,1991,133.10599
atg,1992,131.07359
atg,1993,139.03685
atg,1994,117.05071
atg,1995,113.4386
atg,1996,115.40329
atg,1997,115.39505
atg,1998,119.52527
atg,1999,117.0042
atg,2000,114.67654
atg,2001,116.9863
atg,2002,117.76311
atg,2003,114.07662
atg,2004,110.93598
atg,2005,108.34011
atg,2006,106.15581
atg,2007,98.21827
atg,2008,95.37434
atg,2009,99.83667
atg,2010,100
atg,2011,96.66742
atg,2012,100.74642
atg,2013,99.9244
atg,2014,99.79765
atg,2015,108.85506
atg,2016,110.63969
atg,2017,111.06418
atg,2018,108.01705
atg,2019,110.76337
atg,2020,109.5473
atg,2021,103.67567
aus,1980,92.31692
aus,1981,100.25635
aus,1982,100.6493
aus,1983,98.6013
aus,1984,101.72024
aus,1985,85.60858
aus,1986,74.87958
aus,1987,74.72569
aus,1988,82.67023
aus,1989,88.70845
aus,1990,86.52571
aus,1991,85.13911
aus,1992,76.92402
aus,1993,71.6079
aus,1994,75.1884
aus,1995,73.49828
aus,1996,80.37619
aus,1997,79.96744
aus,1998,73.25881
aus,1999,73.51237
aus,2000,70.4479
aus,2001,67.56838
aus,2002,70.85599
aus,2003,79.36728
aus,2004,85.42195
aus,2005,87.9662
aus,2006,87.24029
aus,2007,92.33574
aus,2008,90.37455
aus,2009,87.59291
aus,2010,100
aus,2011,106.96485
aus,2012,109.02814
aus,2013,103.45508
aus,2014,98.32583
aus,2015,89.85553
aus,2016,90.93061
aus,2017,93.68862
aus,2018,89.94543
aus,2019,86.00712
aus,2020,85.35864
aus,2021,90.53203
aut,1979,97.74931
aut,1980,97.82745
aut,1981,94.62977
aut,1982,95.8979
aut,1983,95.90997
aut,1984,96.75987
aut,1985,96.42015
