global,time,bx_klt_dinv_cd_wd
world,1970,12357585832.7816
world,1971,14020855076.024
world,1972,14768702552.8485
world,1973,20097490761.7814
world,1974,24129828713.0084
world,1975,25843473882.8538
world,1976,20577011011.7995
world,1977,27094427076.41949
world,1978,33742874310.36629
world,1979,41951228840.0561
world,1980,53413886835.9676
world,1981,69598655387.7699
world,1982,64847077910.5752
world,1983,53073373423.8395
world,1984,59791128735.9578
world,1985,44960850724.2348
world,1986,81768788974.51109
world,1987,139519097546.27301
world,1988,165895489458.42801
world,1989,200156890860.733
world,1990,239415229505.09399
world,1991,174938104195.52399
world,1992,186259575568.67096
world,1993,233727690595.87
world,1994,278764576770.72498
world,1995,361954964385.84497
world,1996,417895948199.43103
world,1997,534152124654.56494
world,1998,795657692502.85986
world,1999,1203494873802.19995
world,2000,1569111553085.87988
world,2001,895499686765.78784
world,2002,755583230739.08704
world,2003,737264813225.28894
world,2004,1010422036327.29004
world,2005,1563481433718.93994
world,2006,2203987487520.08984
world,2007,3133858993931.70947
world,2008,2475530815524.47998
world,2009,1447379603132.82007
world,2010,1927683638822.95996
world,2011,2373333900010.2998
world,2012,2082069897260.71997
world,2013,2169745788313.13989
world,2014,1932812089989.29004
world,2015,2722424757125.45996
world,2016,2736426800919.7002
world,2017,2204262024429.97021
world,2018,931693168798.89282
world,2019,1514225221530.68994
world,2020,1227749358770.28003
