geo,time,nv_srv_totl_kn
aut,2008,204791570000
aut,2009,202640880000
aut,2010,205632440000
aut,2011,211362670000
aut,2012,212000510000
aut,2013,212037140000
aut,2014,213977120000
aut,2015,216478680000
aut,2016,219755870000
aut,2017,223776520000
aut,2018,229257640000
aut,2019,233933340000
aut,2020,216848300000
aze,1992,2198589032.56614
aze,1993,1926733354.25461
aze,1994,1836408631.11451
aze,1995,1617279306.04527
aze,1996,1522182477.89132
aze,1997,1562730150.01433
aze,1998,1596925985.17811
aze,1999,1834490483.12482
aze,2000,1950236540.50234
aze,2001,2183798185.46462
aze,2002,2315069238.85016
aze,2003,2489213637.66593
aze,2004,2694073269.02875
aze,2005,2871600000
aze,2006,3382516300
aze,2007,3820769936.62658
aze,2008,4353134590.3612
aze,2009,4733085783.63974
aze,2010,5169367791.57715
aze,2011,5532311810.15123
aze,2012,6031646962.71848
aze,2013,6585144709.59101
aze,2014,7186035171.01106
aze,2015,7582724392.24014
aze,2016,7667972676.32861
aze,2017,8011376150.32456
aze,2018,8427067043.59795
aze,2019,8943995131.31494
aze,2020,8594400663.1445
bdi,1997,563033060200
bdi,1998,554080834500
bdi,1999,579513145000
bdi,2000,543408596300
bdi,2001,509553415900
bdi,2002,477807464400
bdi,2003,448039334200
bdi,2004,420125803500
bdi,2005,410980000000
bdi,2006,441710000000
bdi,2007,515807000000
bdi,2008,549869000000
bdi,2009,579369000000
bdi,2010,612833000000
bdi,2011,655601000000
bdi,2012,701250000000
bdi,2013,721083000000
bdi,2014,784400000000
bdi,2015,787427700000
bdi,2016,793140127700
bdi,2017,797527665400
bdi,2018,803449982000
bdi,2019,811422814200
bdi,2020,797125955200
bel,1995,195509000000
bel,1996,196447900000
bel,1997,202258600000
bel,1998,206191200000
bel,1999,214182600000
bel,2000,220158400000
bel,2001,224469700000
bel,2002,229066600000
bel,2003,232273900000
bel,2004,238364500000
bel,2005,244372400000
bel,2006,251523400000
bel,2007,260165300000
bel,2008,264456800000
bel,2009,261533900000
bel,2010,267469500000
bel,2011,273287200000
bel,2012,277530300000
