geo,time,sh_anm_chld_zs
afg,2000,51.5
afg,2001,49.8
afg,2002,48.3
afg,2003,47.1
afg,2004,46.2
afg,2005,45.5
afg,2006,44.9
afg,2007,44.5
afg,2008,44.2
afg,2009,43.9
afg,2010,43.7
afg,2011,43.5
afg,2012,43.5
afg,2013,43.5
afg,2014,43.6
afg,2015,43.7
afg,2016,43.9
afg,2017,44.2
afg,2018,44.5
afg,2019,44.9
ago,2000,72.8
ago,2001,71.5
ago,2002,70.3
ago,2003,68.9
ago,2004,67.5
ago,2005,66.2
ago,2006,64.9
ago,2007,63.7
ago,2008,62.6
ago,2009,61.7
ago,2010,61
ago,2011,60.6
ago,2012,60.5
ago,2013,60.7
ago,2014,61.1
ago,2015,61.4
ago,2016,61.9
ago,2017,62.1
ago,2018,62.3
ago,2019,62.4
alb,2000,34.9
alb,2001,33.4
alb,2002,32.1
alb,2003,30.9
alb,2004,29.6
alb,2005,28.3
alb,2006,27.1
alb,2007,25.9
alb,2008,24.8
alb,2009,23.8
alb,2010,23
alb,2011,22.9
alb,2012,23.1
alb,2013,23.6
alb,2014,24.4
alb,2015,25.5
alb,2016,26.9
alb,2017,28.4
alb,2018,29.6
alb,2019,30.9
and,2000,13.1
and,2001,12.9
and,2002,12.7
and,2003,12.6
and,2004,12.6
and,2005,12.5
and,2006,12.5
and,2007,12.5
and,2008,12.4
and,2009,12.4
and,2010,12.4
and,2011,12.5
and,2012,12.5
and,2013,12.6
and,2014,12.8
and,2015,12.9
and,2016,13.2
and,2017,13.4
and,2018,13.7
and,2019,14.1
are,2000,19.6
are,2001,19.2
are,2002,19.1
are,2003,19.1
are,2004,18.9
are,2005,18.7
are,2006,18.9
are,2007,19.3
are,2008,19.4
are,2009,19.4
are,2010,19.3
are,2011,19.4
are,2012,19.5
are,2013,19.4
are,2014,19.3
are,2015,19.3
are,2016,19.4
are,2017,19.6
are,2018,20
are,2019,20.4
arg,2000,21.7
arg,2001,21.1
arg,2002,20.7
arg,2003,20.4
arg,2004,20.1
arg,2005,19.9
arg,2006,19.6
arg,2007,19.4
arg,2008,19.2
arg,2009,19.1
