geo,time,sh_hiv_artc_zs
afg,2000,0
afg,2001,0
afg,2002,0
afg,2003,0
afg,2004,0
afg,2005,0
afg,2006,0
afg,2007,0
afg,2008,0
afg,2009,1
afg,2010,1
afg,2011,2
afg,2012,3
afg,2013,3
afg,2014,4
afg,2015,5
afg,2016,7
afg,2017,9
afg,2018,9
afg,2019,10
afg,2020,9
ago,2000,0
ago,2001,0
ago,2002,0
ago,2003,0
ago,2004,0
ago,2005,0
ago,2006,2
ago,2007,3
ago,2008,5
ago,2009,7
ago,2010,9
ago,2011,10
ago,2012,12
ago,2013,17
ago,2014,21
ago,2015,23
ago,2016,22
ago,2017,24
ago,2018,27
ago,2019,28
ago,2020,33
alb,2000,0
alb,2001,0
alb,2002,0
alb,2003,0
alb,2004,5
alb,2005,11
alb,2006,12
alb,2007,14
alb,2008,18
alb,2009,20
alb,2010,21
alb,2011,24
alb,2012,29
alb,2013,37
alb,2014,37
alb,2015,40
alb,2016,43
alb,2017,45
alb,2018,44
alb,2019,44
alb,2020,47
are,2000,0
are,2001,43
are,2002,80
are,2003,98
are,2004,98
are,2005,98
are,2006,98
are,2007,98
are,2008,98
are,2009,98
are,2010,98
are,2011,98
are,2012,98
are,2013,98
are,2014,84
are,2015,73
are,2016,58
are,2017,57
are,2018,52
are,2019,48
are,2020,85
arg,2000,21
arg,2001,25
arg,2002,28
arg,2003,31
arg,2004,34
arg,2005,34
arg,2006,35
arg,2007,39
arg,2008,41
arg,2009,44
arg,2010,47
arg,2011,49
arg,2012,52
arg,2013,54
arg,2014,56
arg,2015,58
arg,2016,60
arg,2017,61
arg,2018,63
arg,2019,65
arg,2020,65
arm,2000,0
arm,2001,0
arm,2002,0
arm,2003,0
arm,2004,0
arm,2005,1
arm,2006,1
arm,2007,2
arm,2008,2
arm,2009,4
arm,2010,6
arm,2011,8
arm,2012,12
arm,2013,15
arm,2014,19
arm,2015,24
arm,2016,29
arm,2017,37
arm,2018,43
arm,2019,48
arm,2020,48
aus,2000,44
aus,2001,45
aus,2002,44
aus,2003,45
aus,2004,46
aus,2005,49
aus,2006,53
aus,2007,53
aus,2008,52
aus,2009,53
aus,2010,58
aus,2011,61
aus,2012,63
aus,2013,71
aus,2014,74
aus,2015,76
aus,2016,78
aus,2017,80
aus,2018,81
aus,2019,82
aus,2020,85
aze,2000,0
aze,2001,0
aze,2002,0
aze,2003,0
aze,2004,0
aze,2005,0
aze,2006,0
aze,2007,1
aze,2008,2
aze,2009,4
aze,2010,7
aze,2011,11
aze,2012,15
aze,2013,20
aze,2014,20
aze,2015,26
aze,2016,31
aze,2017,39
aze,2018,46
aze,2019,52
aze,2020,57
bdi,2000,0
bdi,2001,0
bdi,2002,1
bdi,2003,1
bdi,2004,3
bdi,2005,6
bdi,2006,7
bdi,2007,11
bdi,2008,14
bdi,2009,18
bdi,2010,24
bdi,2011,28
bdi,2012,32
bdi,2013,36
bdi,2014,42
bdi,2015,48
bdi,2016,60
bdi,2017,71
bdi,2018,78
bdi,2019,86
bdi,2020,88
ben,2000,0
ben,2001,0
ben,2002,0
ben,2003,0
ben,2004,0
ben,2005,0
ben,2006,0
ben,2007,0
ben,2008,19
ben,2009,24
ben,2010,29
ben,2011,37
ben,2012,39
ben,2013,34
ben,2014,39
ben,2015,45
ben,2016,51
ben,2017,51
ben,2018,58
ben,2019,65
ben,2020,70
bfa,2000,0
bfa,2001,0
bfa,2002,0
bfa,2003,1
bfa,2004,3
bfa,2005,6
bfa,2006,10
bfa,2007,12
bfa,2008,17
bfa,2009,22
bfa,2010,26
bfa,2011,30
bfa,2012,33
bfa,2013,36
bfa,2014,41
bfa,2015,48
bfa,2016,54
bfa,2017,62
bfa,2018,59
bfa,2019,69
bfa,2020,72
bhs,2000,1
bhs,2001,3
bhs,2002,3
bhs,2003,18
bhs,2004,22
bhs,2005,26
bhs,2006,33
bhs,2007,32
bhs,2008,37
bhs,2009,41
bhs,2010,29
bhs,2011,29
bhs,2012,35
bhs,2013,42
