global,time,ny_gdp_defl_kd_zg
world,1969,4.15033
world,1971,5.35822
world,1972,6.36319
world,1973,11.84943
world,1974,16.3796
world,1975,11.72219
world,1976,9.92709
world,1977,9.75034
world,1978,8.79501
world,1979,11.79759
world,1980,13.35481
world,1981,10.44207
world,1982,8.30132
world,1983,7.61105
world,1984,8.01309
world,1985,5.58863
world,1986,5.08564
world,1987,6.48815
world,1988,6.35024
world,1989,6.98603
world,1990,7.79029
world,1991,8.11891
world,1992,6.63928
world,1993,7.02348
world,1994,9.80413
world,1995,8.32097
world,1996,6.58172
world,1997,4.91515
world,1998,4.82383
world,1999,4.21081
world,2000,4.68031
world,2001,3.8609
world,2002,3.49445
world,2003,3.93355
world,2004,5.58156
world,2005,5.83723
world,2006,5.65888
world,2007,5.78906
world,2008,7.89762
world,2009,2.26138
world,2010,4.36794
world,2011,5.6534
world,2012,3.61666
world,2013,2.27617
world,2014,2.00348
world,2015,2.21938
world,2016,1.71666
world,2017,2.96114
world,2018,2.70327
world,2019,2.38135
world,2020,1.79208
