global,time,sh_sta_pois_p5
world,2000,1.52072
world,2001,1.53843
world,2002,1.51513
world,2003,1.49696
world,2004,1.49845
world,2005,1.47042
world,2006,1.4467
world,2007,1.4191
world,2008,1.43356
world,2009,1.35989
world,2010,1.35575
world,2011,1.31632
world,2012,1.2803
world,2013,1.23808
world,2014,1.21037
world,2015,1.18494
world,2016,1.16989
world,2017,1.15076
world,2018,1.12199
world,2019,1.1018
