global,time,se_sec_prog_ma_zs
world,1986,78.65822
world,1987,79.36064
world,1988,78.02166
world,1989,78.74144
world,1990,80.59867
world,1991,81.97291
world,1992,83.64376
world,1993,83.45929
world,1994,84.79596
world,1995,87.03998
world,1996,87.61133
world,1997,87.50401
world,1998,87.56153
world,1999,88.1567
world,2000,88.32428
world,2001,89.59834
world,2002,89.11169
world,2003,90.07434
world,2004,90.15044
world,2005,90.83426
world,2006,91.71657
world,2007,91.67171
world,2008,91.65536
world,2010,91.21799
world,2011,91.72354
world,2012,90.84775
world,2013,90.62181
world,2014,90.75678
world,2015,91.30774
world,2016,91.04049
world,2017,91.46274
