geo,time,ne_con_prvt_pc_kd_zg
ago,2003,4.62455
ago,2004,0.43154
ago,2005,1.37941
ago,2006,2.62727
ago,2007,2.15021
ago,2008,4.22985
ago,2009,6.30669
ago,2010,0.16841
ago,2011,6.31376
ago,2012,5.96203
ago,2013,4.48851
ago,2014,8.80117
ago,2015,-0.52164
ago,2016,2.37636
ago,2017,-0.46234
ago,2018,-6.52607
ago,2019,-4.73929
ago,2020,-7.00189
alb,1997,-17.45576
alb,1998,-4.75458
alb,1999,3.65622
alb,2000,6.87561
alb,2001,4.97925
alb,2002,7.49038
alb,2003,10.79391
alb,2004,4.12638
alb,2005,6.93846
alb,2006,7.58464
alb,2007,13.5869
alb,2008,10.97485
alb,2009,1.3961
alb,2010,2.17658
alb,2011,2.04544
alb,2012,0.29448
alb,2013,2.02358
alb,2014,3.02931
alb,2015,1.49334
alb,2016,2.29857
alb,2017,2.52368
alb,2018,3.59439
are,2002,0.82986
are,2003,-4.41116
are,2004,1.65479
are,2005,-8.95957
are,2006,-0.23493
are,2007,-3.51266
are,2008,-2.62111
are,2009,-35.53984
are,2010,-32.6318
are,2011,5.98447
are,2012,-12.71166
are,2013,4.5647
are,2014,12.12181
are,2015,-19.50342
are,2016,0.56814
are,2017,7.92258
are,2018,4.51504
are,2019,11.76623
arg,1994,4.73475
arg,1995,-5.54591
arg,1996,4.28237
arg,1997,7.72027
arg,1998,2.31012
arg,1999,-3.08325
arg,2000,-1.74701
arg,2001,-6.76509
arg,2002,-15.27721
arg,2003,7.01559
arg,2004,8.35005
arg,2005,6.28545
arg,2006,9.83523
arg,2007,8.25211
arg,2008,6.18544
arg,2009,-6.33853
arg,2010,10.35495
arg,2011,8.11488
arg,2012,-0.03274
arg,2013,2.48564
arg,2014,-5.40401
arg,2015,2.54478
arg,2016,-1.82368
arg,2017,3.08376
arg,2018,-3.21459
arg,2019,-7.51145
arg,2020,-13.91706
arm,1995,11.91196
arm,1996,5.70602
arm,1997,9.22234
arm,1998,5.62043
arm,1999,1.388
arm,2000,8.89151
arm,2001,7.86231
arm,2002,8.87609
arm,2003,7.83079
arm,2004,9.52546
arm,2005,9.80119
arm,2006,9.13244
arm,2007,14.21508
arm,2008,6.26856
arm,2009,-3.82089
arm,2010,4.18892
arm,2011,2.42766
arm,2012,8.79013
arm,2013,1.19455
arm,2014,1.06103
arm,2015,-7.92065
arm,2016,-2.4125
arm,2017,13.66018
arm,2018,4.54768
arm,2019,11.44233
arm,2020,-14.24671
asm,2003,1.7095
asm,2004,4.01739
asm,2005,-1.11534
asm,2006,-0.98262
asm,2007,-0.50889
asm,2008,-1.30028
asm,2009,-1.67357
asm,2010,-3.2101
asm,2011,-4.50589
asm,2012,-2.40166
asm,2013,4.67165
asm,2014,2.36405
asm,2015,1.52481
asm,2016,1.21322
asm,2017,-0.43001
asm,2018,1.37129
asm,2019,3.07261
aus,1961,0.2014
aus,1962,0.03592
aus,1963,3.45149
aus,1964,4.96117
aus,1965,2.96458
aus,1966,0.61353
aus,1967,3.79752
aus,1968,3.12714
aus,1969,3.14182
aus,1970,4.03877
aus,1971,0.42771
aus,1972,1.71921
aus,1973,3.08108
aus,1974,3.62216
aus,1975,3.59378
aus,1976,-0.24969
aus,1977,4.14736
aus,1978,0.7998
aus,1979,0.39272
aus,1980,0.5526
aus,1981,1.61377
aus,1982,3.83507
aus,1983,1.13741
aus,1984,-0.08908
aus,1985,-0.48032
aus,1986,3.45932
aus,1987,0.48073
aus,1988,1.50201
aus,1989,2.87772
aus,1990,2.77551
aus,1991,-0.31172
aus,1992,1.09988
aus,1993,0.87693
aus,1994,1.07311
aus,1995,3.17094
aus,1996,2.05467
aus,1997,1.82622
aus,1998,3.861
aus,1999,4.53037
aus,2000,3.02215
aus,2001,1.79852
aus,2002,1.84695
aus,2003,2.75576
aus,2004,3.82827
aus,2005,3.17422
aus,2006,1.73449
aus,2007,4.78474
aus,2008,2.83452
aus,2009,-1.48137
aus,2010,1.65957
aus,2011,2.55038
aus,2012,1.1909
aus,2013,0.03256
aus,2014,0.92199
aus,2015,0.88412
aus,2016,1.14641
aus,2017,0.55582
aus,2018,1.26955
aus,2019,0.22398
aus,2020,-4.18254
aut,1971,6.24301
aut,1972,5.46542
aut,1973,4.78964
aut,1974,2.81696
aut,1975,3.52158
aut,1976,4.72928
aut,1977,6.38903
aut,1978,-1.62592
aut,1979,4.92544
aut,1980,2.51981
aut,1981,1.01745
aut,1982,1.85003
aut,1983,5.60477
aut,1984,-2.12144
aut,1985,1.76309
aut,1986,2.12804
aut,1987,2.35302
aut,1988,2.26301
aut,1989,3.12253
aut,1990,3.44358
aut,1991,1.97178
aut,1992,2.34669
aut,1993,-0.71618
aut,1994,1.65104
aut,1995,0.69813
aut,1996,2.80005
aut,1997,0.30635
aut,1998,2.79242
aut,1999,2.21846
aut,2000,2.86877
aut,2001,0.89397
aut,2002,0.18786
aut,2003,1.24843
aut,2004,1.68804
aut,2005,1.55421
aut,2006,1.58849
aut,2007,0.77653
aut,2008,0.63081
aut,2009,0.58682
aut,2010,0.7519
aut,2011,1.00404
aut,2012,0.06465
aut,2013,-0.66621
aut,2014,-0.47718
aut,2015,-0.63223
aut,2016,0.45316
aut,2017,1.21293
aut,2018,0.59728
aut,2019,0.40127
aut,2020,-9.61897
bdi,1998,7.52916
bdi,1999,-3.79169
bdi,2000,-2.89359
bdi,2001,-1.48917
bdi,2002,5.34726
bdi,2003,-6.12874
bdi,2004,0.75493
bdi,2005,9.107
bdi,2006,6.90092
bdi,2007,-4.65199
bdi,2008,0.1068
bdi,2009,-2.93042
bdi,2010,-3.44989
bdi,2011,4.45248
bdi,2012,0.71954
bdi,2013,7.12197
bdi,2014,0.56606
bdi,2015,-5.09374
bdi,2016,-4.77375
bdi,2017,-2.97824
bdi,2018,0.2736
bdi,2019,-0.1729
bdi,2020,-2.60497
bel,1971,4.72823
bel,1972,5.5054
bel,1973,7.81019
bel,1974,2.48148
bel,1975,0.5647
bel,1976,4.89649
bel,1977,2.50461
bel,1978,2.40074
bel,1979,5.03699
bel,1980,-0.92205
bel,1981,0.42058
bel,1982,2.46635
bel,1983,-0.14226
bel,1984,0.37053
bel,1985,2.67785
bel,1986,2.68229
bel,1987,1.64863
bel,1988,2.99008
bel,1989,2.93315
bel,1990,2.86728
bel,1991,2.63819
bel,1992,1.49554
bel,1993,-0.83647
bel,1994,2.07985
bel,1995,1.36353
bel,1996,1.76435
bel,1997,1.28768
bel,1998,2.91908
bel,1999,1.87886
bel,2000,2.56782
bel,2001,0.59666
bel,2002,0.1616
bel,2003,0.29708
bel,2004,0.62773
bel,2005,0.88781
bel,2006,1.1058
bel,2007,1.34534
bel,2008,0.57728
bel,2009,-0.22153
bel,2010,2.07221
bel,2011,-0.43834
bel,2012,0.84014
bel,2013,1.19116
bel,2014,0.10662
bel,2015,0.99817
bel,2016,1.0571
bel,2017,1.49418
bel,2018,1.40905
bel,2019,0.90971
bel,2020,-9.27395
ben,1961,0.24705
ben,1962,-2.63061
ben,1963,6.67203
ben,1964,7.10729
ben,1965,5.3251
ben,1966,8.14298
ben,1967,0.42655
ben,1968,1.37008
ben,1969,-1.84029
ben,1970,-0.60651
ben,1971,-1.23242
ben,1972,1.62625
ben,1973,1.50292
ben,1974,-1.76224
ben,1975,-4.31842
ben,1976,-2.55417
ben,1977,9.3248
ben,1978,0.0812
ben,1979,2.47032
ben,1980,2.62427
ben,1981,6.17699
ben,1982,-14.08574
ben,1983,-4.40903
ben,1984,5.09154
ben,1985,8.05934
ben,1986,-4.42028
ben,1987,-4.92861
ben,1988,8.15626
ben,1989,-10.12484
ben,1990,-8.43854
ben,1991,5.85028
ben,1992,2.20876
ben,1993,1.66816
ben,1994,-8.50219
ben,1995,0.85091
ben,1996,2.45675
ben,1997,1.88677
ben,1998,2.37562
ben,1999,2.25437
ben,2000,4.37118
ben,2001,1.27762
ben,2002,1.19263
ben,2003,-0.36611
ben,2004,0.96196
ben,2005,-0.89009
ben,2006,1.38295
ben,2007,0.84163
ben,2008,1.43297
ben,2009,-0.01616
ben,2010,-0.77528
ben,2011,0.87718
ben,2012,-0.89762
ben,2013,1.18462
ben,2014,0.84001
ben,2015,2.37376
ben,2016,-0.84206
ben,2017,0.69263
ben,2018,0.70778
ben,2019,0.72756
ben,2020,0.48774
bfa,1966,-0.28138
bfa,1967,11.96704
bfa,1968,0.16439
bfa,1969,0.60989
bfa,1970,-7.49126
bfa,1971,0.24581
bfa,1972,-5.99377
bfa,1973,-2.64112
bfa,1974,4.13611
bfa,1975,4.51762
bfa,1976,4.65448
bfa,1977,9.13152
bfa,1978,-2.76831
bfa,1979,0.3839
bfa,1980,4.98772
bfa,1981,1.71295
bfa,1982,-0.75982
bfa,1983,-2.07689
bfa,1984,-8.73453
bfa,1985,1.96932
bfa,1986,11.21503
bfa,1987,-7.59748
bfa,1988,2.88702
bfa,1989,-4.39491
bfa,1990,-5.52036
bfa,1991,2.48434
bfa,1992,-1.96513
bfa,1993,3.80487
bfa,1994,-22.17402
bfa,1995,13.7792
bfa,1996,15.11323
bfa,1997,-0.36389
bfa,1998,10.11027
bfa,1999,13.6491
bfa,2000,-2.31509
bfa,2001,-1.57604
bfa,2002,2.38442
bfa,2003,2.14623
bfa,2004,3.51205
bfa,2005,2.38947
bfa,2006,1.19881
bfa,2007,-1.36175
bfa,2008,4.05038
bfa,2009,-1.976
bfa,2010,2.29428
bfa,2011,2.52388
bfa,2012,6.23848
bfa,2013,3.21208
bfa,2014,-1.6315
bfa,2015,0.69122
bfa,2016,1.25789
bfa,2017,0.59167
bfa,2018,0.99952
bfa,2019,2.80708
bgd,1961,5.97115
bgd,1962,-4.43366
bgd,1963,1.99742
bgd,1964,7.42502
bgd,1965,-2.49983
bgd,1966,-1.4574
bgd,1967,-3.64013
