geo,time,bm_gsr_nfsv_cd
abw,1986,50558659.21788
abw,1987,62793296.08939
abw,1988,85251396.64804
abw,1989,100167597.76536
abw,1990,134916201.11732
abw,1991,147821229.05028
abw,1992,159832402.23464
abw,1993,169106145.2514
abw,1994,228659217.8771
abw,1995,1091005586.59218
abw,1996,1790391061.45251
abw,1997,1875139664.80447
abw,1998,1104525139.6648
abw,1999,667195530.72626
abw,2000,647804469.27374
abw,2001,613134078.21229
abw,2002,612463687.15084
abw,2003,727407821.22905
abw,2004,645329608.93855
abw,2005,711667278.1247
abw,2006,755192026.68679
abw,2007,785418994.41341
abw,2008,793910614.52514
abw,2009,692569832.40224
abw,2010,679329608.93855
abw,2011,843351955.30726
abw,2012,824469273.74302
abw,2013,892554869.8324
abw,2014,912039156.42458
abw,2015,880534320.67039
abw,2016,872420357.07006
abw,2017,914191723.6462
abw,2018,1038615624.11025
abw,2019,1035623647.16074
abw,2020,806098792.2502
afg,1979,144600000
afg,1980,143800000
afg,1981,163100000
afg,1982,140400000
afg,1983,150600000
afg,1984,196200000
afg,1985,154100000
afg,1986,181300000
afg,1987,156300000
afg,1988,120000000
afg,1989,103400000
afg,2008,752648599.81529
afg,2009,851205292.69466
afg,2010,1083164710.51563
afg,2011,1557205638.42848
afg,2012,1779846559.49386
afg,2013,1528557315.68663
afg,2014,1498617913.4493
afg,2015,1216087290.92444
afg,2016,1118283290.09971
afg,2017,1240241386.03068
afg,2018,1366859712.92591
afg,2019,1212629755.16204
afg,2020,1105211971.86586
ago,1985,641000000
ago,1986,587000000
ago,1987,423000000
ago,1988,1134000000
ago,1989,1175000000
ago,1990,1807300000
ago,1991,1839100000
ago,1992,2042382000
ago,1993,1561900000
ago,1994,1562900000
ago,1995,2051400000
ago,1996,2423290000
ago,1997,2605420000
ago,1998,2635180000
ago,1999,2594560000
ago,2000,2699470000
ago,2001,3518130000
ago,2002,3321997946.91
ago,2003,3321133958
ago,2004,4802728155.7
ago,2005,6790983179.28576
ago,2006,7511184833.276
ago,2007,12643245650.4
ago,2008,22139344808.87
ago,2009,19169414983.27
ago,2010,18754364334.22
ago,2011,23669885103.084
ago,2012,22144345920.1945
ago,2013,23062085372.0344
ago,2014,24957647236.60929
ago,2015,17276227851.2152
ago,2016,12616539042.2615
ago,2017,13793293931.8148
ago,2018,10089508253.0586
ago,2019,8172270254.26751
ago,2020,5602547199.51556
alb,1980,17500000
alb,1981,19400000
alb,1982,22100000
alb,1983,22100000
alb,1984,19100000
alb,1985,17900000
alb,1986,19700000
alb,1987,20000000
alb,1988,26200000
alb,1989,27900000
alb,1990,29100000
alb,1991,33400000
alb,1992,89100000
alb,1993,161900000
alb,1994,132500000
alb,1995,156500000
alb,1996,189400000
alb,1997,115212500
alb,1998,129250000
alb,1999,163100000
alb,2000,429300000
alb,2001,444100000
alb,2002,590210000
alb,2003,802615530.41525
alb,2004,1054819876.27422
alb,2005,1382890403.97114
alb,2006,1573356056.7158
alb,2007,1924437205.62995
alb,2008,2371894665.37615
alb,2009,2232379898.5757
alb,2010,2004806425.17749
alb,2011,2248279417.93114
alb,2012,1870592892.85239
alb,2013,1979736340.46228
alb,2014,2068770732.57878
alb,2015,1666903818.87572
alb,2016,1770873914.70567
alb,2017,2016609074.16891
alb,2018,2309306038.81557
alb,2019,2393721347.2868
alb,2020,1342861970.10294
and,2019,558338907.26108
arg,1976,742000000
arg,1977,967000000
arg,1978,1544000000
arg,1979,2814000000
arg,1980,3788000000
arg,1981,3434000000
arg,1982,2018000000
arg,1983,2224000000
