geo,time,ic_bus_dfrn_xq
afg,2015,39.25519
afg,2016,38.93563
afg,2017,37.13062
afg,2018,44.20343
afg,2019,44.06497
ago,2015,37.57368
ago,2016,37.65132
ago,2017,39.00774
ago,2018,41.20205
ago,2019,41.28838
alb,2015,58.07559
alb,2016,64.16093
alb,2017,66.8377
alb,2018,66.99561
alb,2019,67.74847
are,2015,76.28546
are,2016,77.43435
are,2017,79.30036
are,2018,81.58883
are,2019,80.75261
arg,2015,56.73295
arg,2016,57.2443
arg,2017,57.31005
arg,2018,58.18388
arg,2019,58.96151
arm,2015,69.1418
arm,2016,70.63154
arm,2017,71.49433
arm,2018,73.19187
arm,2019,74.49401
atg,2015,59.23927
atg,2016,58.80632
atg,2017,59.79669
atg,2018,59.85514
atg,2019,60.28342
aus,2015,80.38389
aus,2016,80.22369
aus,2017,80.76007
aus,2018,80.70552
aus,2019,81.21506
aut,2015,78.81665
aut,2016,78.85646
aut,2017,78.70694
aut,2018,78.73995
aut,2019,78.74549
aze,2015,65.7606
aze,2016,64.56339
aze,2017,67.13946
aze,2018,73.8979
aze,2019,78.50823
bdi,2015,45.57052
bdi,2016,45.68405
bdi,2017,45.91224
bdi,2018,46.47561
bdi,2019,46.77393
bel,2015,72.42806
bel,2016,72.4092
bel,2017,72.18146
bel,2018,74.74503
bel,2019,74.98904
ben,2015,48.65854
ben,2016,49.72104
ben,2017,51.57576
ben,2018,51.71272
ben,2019,52.40404
bfa,2015,50.6503
bfa,2016,50.92322
bfa,2017,51.15106
bfa,2018,51.26807
bfa,2019,51.40019
bgd,2015,40.90786
bgd,2016,41.01625
bgd,2017,41.5632
bgd,2018,42.46602
bgd,2019,45.04865
bgr,2015,72.46018
bgr,2016,71.59242
bgr,2017,71.69407
bgr,2018,71.80724
bgr,2019,71.97405
bhr,2015,66.6415
bhr,2016,68.7147
bhr,2017,69.09366
bhr,2018,70.13951
bhr,2019,76.02665
bhs,2015,57.10881
bhs,2016,56.94715
bhs,2017,58.61968
bhs,2018,59.38844
bhs,2019,59.87155
bih,2015,64.1284
bih,2016,64.83564
bih,2017,65.24652
bih,2018,65.37254
bih,2019,65.44253
blr,2015,68.72922
blr,2016,72.62337
blr,2017,73.57749
