global,time,sh_anm_chld_zs
world,2000,48
world,2001,47.2
world,2002,46.5
world,2003,46
world,2004,45.5
world,2005,44.9
world,2006,44.3
world,2007,43.7
world,2008,43
world,2009,42.4
world,2010,41.8
world,2011,41.3
world,2012,40.8
world,2013,40.5
world,2014,40.2
world,2015,40
world,2016,39.9
world,2017,39.8
world,2018,39.8
world,2019,39.8
