geo,time,ic_tax_gift_zs
afg,2008,28.8
afg,2014,34
ago,2006,14.8
ago,2010,34.2
alb,2005,82
alb,2007,22.4
alb,2013,18.4
alb,2019,34.6
arg,2006,4.3
arg,2010,8.7
arg,2017,6
arm,2002,34
arm,2005,70.5
arm,2009,13.3
arm,2013,6.1
arm,2020,0.1
atg,2010,6.1
aze,2002,57.9
aze,2005,68.4
aze,2009,43.2
aze,2013,12.4
aze,2019,9.7
bdi,2006,22.6
bdi,2014,20
bel,2020,0.2
ben,2009,22.5
ben,2016,11
bfa,2006,19.5
bfa,2009,6.7
bgd,2007,54.4
bgd,2013,41
bgr,2002,55.6
bgr,2005,42.6
bgr,2007,6.1
bgr,2009,6.6
bgr,2013,4.8
bgr,2019,9.4
bhs,2010,10.9
bih,2002,62.9
bih,2005,67.6
bih,2009,1.5
bih,2013,7.6
bih,2019,14.4
blr,2002,32.8
blr,2005,26.4
blr,2008,6.3
blr,2013,3
blr,2018,3.7
blz,2010,6.7
bol,2006,19.6
bol,2010,3.4
bol,2017,8.7
bra,2009,8.3
brb,2010,1.6
btn,2009,2.5
btn,2015,0.3
bwa,2006,4.5
bwa,2010,8.4
caf,2011,16.8
chl,2006,7.6
chl,2010,0.4
chn,2012,10.9
civ,2009,13.6
civ,2016,22.9
cmr,2006,65.4
cmr,2009,30.8
cmr,2016,20.4
cod,2006,64.4
cod,2010,54.4
cod,2013,53.9
cog,2009,37.1
col,2006,1.1
col,2010,1.5
col,2017,9.1
cpv,2006,10.4
cpv,2009,1.1
cri,2005,0
cri,2010,7.6
cyp,2019,0
cze,2002,37.1
cze,2005,36
cze,2009,0.2
cze,2013,0.7
cze,2019,0
deu,2005,14.8
dji,2013,3.4
dma,2010,5.6
dnk,2020,0
dom,2010,15.3
dom,2016,11.9
dza,2007,15
ecu,2006,11.3
ecu,2010,0.4
ecu,2017,3.5
egy,2007,23.8
egy,2008,5.3
egy,2013,9.4
egy,2016,13.2
egy,2020,4.6
eri,2009,0
esp,2005,14.3
est,2002,19.8
est,2005,13.7
est,2009,0
est,2013,0
est,2019,0
eth,2006,4.3
eth,2011,3.8
eth,2015,17.4
fin,2020,1.1
fji,2009,4.5
fsm,2009,0
gab,2009,22.8
geo,2002,82.5
geo,2005,39.8
geo,2008,8.4
geo,2013,0.2
geo,2019,1
gha,2007,18.1
gha,2013,11.4
gin,2006,57.3
gin,2016,6.9
gmb,2006,13.6
gmb,2018,5.6
gnb,2006,22.7
grc,2005,55.9
grc,2018,1.7
grd,2010,1.9
gtm,2006,3.8
gtm,2010,3.9
gtm,2017,0.3
guy,2010,4.6
hnd,2006,6.1
hnd,2010,2.8
hnd,2016,3.9
hrv,2002,43.1
hrv,2005,20.1
hrv,2007,6
hrv,2013,0
hrv,2019,12.6
hun,2002,29.1
hun,2005,24.2
hun,2009,0.7
hun,2013,0
hun,2019,2.5
idn,2009,14
idn,2015,21.6
ind,2006,52.3
ind,2014,15.3
irl,2005,11
irl,2020,1.5
irq,2011,29.2
isr,2013,0
ita,2019,4.2
jam,2010,14.3
jor,2006,0.9
jor,2013,14.4
jor,2019,0.6
kaz,2002,58.5
