geo,time,bm_gsr_fcty_cd
abw,1986,13631284.9162
abw,1987,21173184.35754
abw,1988,27932960.89385
abw,1989,24692737.43017
abw,1990,22569832.40223
abw,1991,25698324.02235
abw,1992,21787709.49721
abw,1993,24581005.58659
abw,1994,22290502.7933
abw,1995,24581005.58659
abw,1996,31005586.59218
abw,1997,37932960.89385
abw,1998,40111731.84358
abw,1999,80927374.30168
abw,2000,77016759.77654
abw,2001,107083798.88268
abw,2002,167910614.52514
abw,2003,85882681.56425
abw,2004,109927374.30168
abw,2005,520907143.47423
abw,2006,168072403.66105
abw,2007,475363128.49162
abw,2008,188547486.03352
abw,2009,148212290.50279
abw,2010,186145251.39665
abw,2011,286089385.47486
abw,2012,151284916.20112
abw,2013,202335032.40224
abw,2014,148178862.01117
abw,2015,173714397.76536
abw,2016,187419238.75584
abw,2017,228874437.38991
abw,2018,273904459.42659
abw,2019,248040850.24776
abw,2020,141518637.3612
afg,1979,23500000
afg,1980,6900000
afg,1981,20100000
afg,1982,20100000
afg,1983,21400000
afg,1984,18500000
afg,1985,8600000
afg,1986,34600000
afg,1987,11300000
afg,1988,11500000
afg,1989,7900000
afg,2008,141829535.07034
afg,2009,126929969.40543
afg,2010,152661677.20594
afg,2011,153098323.82887
afg,2012,119919353.05556
afg,2013,129703264.76979
afg,2014,194477369.94082
afg,2015,107022062.67212
afg,2016,60287573.27438
afg,2017,51221119.68407
afg,2018,98700313.92832
afg,2019,45904588.44321
afg,2020,51173780.87949
ago,1985,214000000
ago,1986,233000000
ago,1987,294000000
ago,1988,615000000
ago,1989,779000000
ago,1990,775900000
ago,1991,1057100000
ago,1992,797980000
ago,1993,827400000
ago,1994,747700000
ago,1995,783189000
ago,1996,1516694000
ago,1997,1033130000
ago,1998,1003260000
ago,1999,1396170000
ago,2000,1715230000
ago,2001,1583960000
ago,2002,1652348440.12
ago,2003,1738741030
ago,2004,2521573434.91
ago,2005,4056639374.76
ago,2006,6322915885.87
ago,2007,8221584725.35
ago,2008,14139846902.32
ago,2009,6954474705.39
ago,2010,8220896306.1
ago,2011,9907138917.70557
ago,2012,10681574057.505
ago,2013,10718338712.245
ago,2014,9495465304.01089
ago,2015,6073893027.17818
ago,2016,5614472885.94859
ago,2017,7745044711.90253
ago,2018,8278016396.12752
ago,2019,8208899954.13351
ago,2020,5459945937.3517
alb,1980,3900000
alb,1981,1500000
alb,1982,1300000
alb,1983,1100000
alb,1984,1100000
alb,1985,900000
alb,1986,700000
alb,1987,700000
alb,1988,700000
alb,1989,500000
alb,1990,1900000
alb,1991,25900000
alb,1992,37700000
alb,1993,31000000
alb,1994,41300000
alb,1995,28400000
alb,1996,11900000
alb,1997,11800000
alb,1998,8720000
alb,1999,10200000
alb,2000,9300000
alb,2001,13600000
alb,2002,20580000
alb,2003,24364467.58
alb,2004,28322843.71874
alb,2005,52612420.53217
alb,2006,69098334.81977
alb,2007,85110000
alb,2008,417989572.36139
alb,2009,569771073.09719
alb,2010,498413958.11977
alb,2011,298685948.69095
alb,2012,332993806.73666
alb,2013,150410576.82815
alb,2014,323735322.54979
alb,2015,281323751.62698
alb,2016,259402243.46206
alb,2017,427158384.51687
alb,2018,479878373.41804
alb,2019,671672557.08496
alb,2020,636379070.76383
and,2019,264874383.32142
arg,1976,551000000
arg,1977,877000000
arg,1978,1016000000
arg,1979,1644000000
arg,1980,2817000000
arg,1981,4630000000
arg,1982,5265000000
arg,1983,5873000000
arg,1984,5999000000
arg,1985,5576000000
arg,1986,4796000000
arg,1987,4724000000
arg,1988,5338000000
arg,1989,6698000000
arg,1990,6254000000
arg,1991,6006000000
arg,1992,4758134249.37144
arg,1993,5604229372.76498
arg,1994,7038830277.09462
arg,1995,9004452701.31583
arg,1996,9908585425.36007
arg,1997,11632292308.6842
arg,1998,13538178245.1786
arg,1999,13565489185.857
arg,2000,14967920796.6479
arg,2001,13084672153.2346
arg,2002,10529850000
arg,2003,11079580000
arg,2004,13003580000
arg,2005,11617170000
arg,2006,13407223307.093
arg,2007,14219334366.1691
arg,2008,14659184830.225
arg,2009,13850035701.2867
arg,2010,17312724976.1533
arg,2011,18308929678.4412
arg,2012,16009326438.1728
arg,2013,15591532590.5618
arg,2014,14175617200.8221
arg,2015,14463961154.9902
arg,2016,15016681690.7825
arg,2017,20396923714.3583
arg,2018,24927107103.1558
