geo,time,ne_rsb_gnfs_kn
ago,2002,59008000000
ago,2003,22982008700
ago,2004,46964495800
ago,2005,99128788700
ago,2006,146805776000
ago,2007,211334644300
ago,2008,197313916800
ago,2009,179664524100
ago,2010,228553300400
ago,2011,136254953200
ago,2012,172761533800
ago,2013,139875420000
ago,2014,174871779700
ago,2015,199914234200
ago,2016,189693123300
ago,2017,164061000000
ago,2018,224083000000
ago,2019,228155000000
ago,2020,259667000000
alb,2010,-255174970000
alb,2011,-269268790000
alb,2012,-225389296512.95901
alb,2013,-215653783695.98999
alb,2014,-236546904784.47296
alb,2015,-215085503468.23999
alb,2016,-212949993929.82999
alb,2017,-209791189394.311
alb,2018,-206912743512.71097
alb,2019,-209902262294.694
alb,2020,-197583560000
are,2010,219312000000
are,2011,235253687100
are,2012,345710575300
are,2013,350397423800
are,2014,282897708800
are,2015,407342585300
are,2016,428344400400
are,2017,364269326100
are,2018,411825992900
are,2019,327691303800
arg,2004,33970641400
arg,2005,35928388700
arg,2006,32785309500
arg,2007,23403882400
arg,2008,7457936700
arg,2009,19708268100
arg,2010,-2369563100
arg,2011,-30623456700
arg,2012,-28174048700
arg,2013,-40735474500
arg,2014,-29332670500
arg,2015,-41125203000
arg,2016,-44205385900
arg,2017,-69553879900
arg,2018,-58990778100
arg,2019,-6491708300
arg,2020,-4468722700.00002
asm,2012,-163000000
asm,2013,-192000000
asm,2014,-250000000
asm,2015,-240000000
asm,2016,-221000000
asm,2017,-251000000
asm,2018,-191000000
asm,2019,-180000000
asm,2020,-219000000
aus,2019,53243000000
aus,2020,77812000000
aut,1970,-3138047000
aut,1971,-3311143000
aut,1972,-4140901000
aut,1973,-5504300000
aut,1974,-4940041000
aut,1975,-4092383000
aut,1976,-6510001000
aut,1977,-8860291000
aut,1978,-5802004000
aut,1979,-6038970000
aut,1980,-7131458000
aut,1981,-4987474000
aut,1982,-3384080000
aut,1983,-4565236000
aut,1984,-4185379000
aut,1985,-2909629000
aut,1986,-3052263000
aut,1987,-3354326000
aut,1988,-4236694000
aut,1989,-4467850000
aut,1990,-4486445000
aut,1991,-6065505000
aut,1992,-6702270000
aut,1993,-4319508000
aut,1994,-7696736000
aut,1995,-7283640000
aut,1996,-7253010000
aut,1997,-4968310000
aut,1998,-3514660000
aut,1999,-1533570000
aut,2000,1494190000
aut,2001,2198340000
aut,2002,6780440000
aut,2003,3464020000
aut,2004,4563860000
aut,2005,6391560000
aut,2006,9161610000
aut,2007,12577410000
aut,2008,14656360000
aut,2009,8850120000
aut,2010,11546030000
aut,2011,12203370000
aut,2012,13184130000
aut,2013,13184170000
aut,2014,13455000000
aut,2015,12912870000
aut,2016,12045800000
aut,2017,11946550000
aut,2018,12185510000
aut,2019,15412020000
aut,2020,10998530000
aze,2005,1257300000
aze,2006,2985972200
aze,2007,7208371400
aze,2008,7220991700
aze,2009,9097479500
aze,2010,13380465400
aze,2011,10908361600
aze,2012,11148345600
aze,2013,10228344500
aze,2014,9380507800
bdi,2005,-274271388000
bdi,2006,-366812928000
bdi,2007,-345216978000
bdi,2008,-385489006400
bdi,2009,-338509216500
bdi,2010,-348315696400
bdi,2011,-400009871700
bdi,2012,-411243457100
bdi,2013,-524325237000
bdi,2014,-507264247600
bdi,2015,-909841259400
bdi,2016,-694961154900
bdi,2017,-820682757600
bdi,2018,-546666776600
bdi,2019,-639614846600
bdi,2020,-734953950100
bel,1970,-533558000
bel,1971,-111793000
bel,1972,674679000
bel,1973,-1856498000
bel,1974,-2421419000
bel,1975,-1640052000
bel,1976,-1532091000
bel,1977,-3523734000
bel,1978,-3902805000
bel,1979,-5745328000
bel,1980,-4191645000
bel,1981,224945000
bel,1982,1426371000
bel,1983,4746298000
bel,1984,5120195000
bel,1985,5070491000
bel,1986,3547536000
bel,1987,2046487000
bel,1988,1454626000
bel,1989,-132768000
bel,1990,-496677000
