global,time,ny_gdp_pcap_pp_cd
world,1990,5558.11979
world,1991,5764.07504
world,1992,5933.6019
world,1993,6096.05821
world,1994,6326.49855
world,1995,6581.46569
world,1996,6874.05992
world,1997,7164.9984
world,1998,7302.44171
world,1999,7559.16147
world,2000,8016.70519
world,2001,8292.8706
world,2002,8581.66697
world,2003,8949.54365
world,2004,9554.33061
world,2005,10164.32443
world,2006,10991.47753
world,2007,11752.49907
world,2008,12289.47023
world,2009,12252.00734
world,2010,12896.39025
world,2011,13581.44979
world,2012,14112.19679
world,2013,14628.03424
world,2014,14997.66821
world,2015,15139.83168
world,2016,15563.7996
world,2017,16210.5539
world,2018,17010.03117
world,2019,17547.82281
world,2020,17131.00889
