global,time,sl_emp_vuln_fe_zs
world,1991,53.8244
world,1992,53.63695
world,1993,53.4806
world,1994,53.34694
world,1995,53.16456
world,1996,52.88059
world,1997,52.73258
world,1998,52.79234
world,1999,52.80159
world,2000,52.50993
world,2001,52.21603
world,2002,52.0043
world,2003,51.79295
world,2004,51.35444
world,2005,50.83216
world,2006,50.10588
world,2007,49.48562
world,2008,48.9182
world,2009,48.73908
world,2010,48.24963
world,2011,47.54117
world,2012,46.73085
world,2013,46.31356
world,2014,45.81955
world,2015,45.42481
world,2016,45.04049
world,2017,44.71032
world,2018,44.30261
world,2019,43.9811
