global,time,iq_cpa_macr_xq
world,2005,3.75
world,2006,3.76282
world,2007,3.73333
world,2008,3.65333
world,2009,3.68182
world,2010,3.67532
world,2011,3.64103
world,2012,3.63125
world,2013,3.58642
world,2014,3.53947
world,2015,3.48026
world,2016,3.42466
world,2017,3.40541
world,2018,3.42466
world,2019,3.48
world,2020,3.44521
