global,time,sl_emp_totl_sp_zs
world,1991,62.27948
world,1992,62.12686
world,1993,61.74629
world,1994,61.53377
world,1995,61.28722
world,1996,61.09303
world,1997,60.99804
world,1998,60.77102
world,1999,60.68811
world,2000,60.69451
world,2001,60.43758
world,2002,60.10015
world,2003,59.90461
world,2004,59.91938
world,2005,59.90462
world,2006,59.81392
world,2007,59.74926
world,2008,59.45429
world,2009,58.74933
world,2010,58.46456
world,2011,58.35909
world,2012,58.12251
world,2013,57.87661
world,2014,57.75749
world,2015,57.61917
world,2016,57.43392
world,2017,57.3313
world,2018,57.27926
world,2019,57.27754
world,2020,54.75893
world,2021,55.35047
