geo,time,se_prm_tenr
abw,1999,98.01382
abw,2000,98.24184
abw,2001,96.62665
abw,2002,95.40839
abw,2003,93.97484
abw,2004,94.77636
abw,2005,97.97892
abw,2006,98.6602
abw,2007,98.91579
abw,2008,99.10333
abw,2009,96.0174
abw,2010,98.91975
abw,2014,99.29199
afg,1974,26.82221
afg,1993,26.766
ago,1982,45.19862
ago,1983,42.53922
ago,1998,45.34669
ago,2008,82.44691
ago,2009,81.2593
ago,2010,81.90919
ago,2011,81.59927
alb,1999,96.79354
alb,2000,95.38335
alb,2001,93.86551
alb,2003,91.69871
alb,2004,90.92345
alb,2008,86.78701
alb,2009,85.34118
alb,2010,85.95611
alb,2011,86.99052
alb,2012,89.53195
alb,2013,95.41897
alb,2014,97.59204
alb,2015,97.79873
alb,2016,97.65542
alb,2017,97.77841
alb,2018,97.44221
are,1978,79.68499
are,1980,76.15229
are,1981,73.20257
are,1982,78.237
are,1983,73.66271
are,1984,73.48471
are,1985,73.12173
are,1986,73.86725
are,1987,84.85019
are,1988,88.24281
are,1989,93.00106
are,1990,96.9068
are,1991,97.42814
are,1992,93.98811
are,1993,90.43338
are,1994,88.41546
are,1995,88.89034
are,1996,86.05468
are,1997,82.45285
are,1998,82.99068
are,2007,93.69753
are,2012,93.23711
are,2014,97.65242
are,2015,99.89207
are,2016,99.40189
are,2017,98.74312
arg,1970,95.12735
arg,1974,96.62253
arg,1975,96.32775
arg,1987,95.45755
arg,1991,96.1759
arg,1997,100
arg,1998,99.7343
arg,1999,99.62729
arg,2000,99.35688
arg,2001,99.43632
arg,2002,99.45558
arg,2003,99.42561
arg,2004,99.13676
arg,2005,99.34854
arg,2006,99.52115
arg,2007,99.65259
arg,2008,99.52275
arg,2009,99.51247
arg,2010,99.13102
arg,2011,99.21521
arg,2012,99.26778
arg,2013,99.44548
arg,2014,99.7727
arg,2015,99.83682
arg,2016,99.4496
arg,2017,99.48052
arm,2002,87.1312
arm,2003,85.53043
arm,2005,88.61333
arm,2006,92.21765
arm,2007,97.07957
arm,2011,95.15386
arm,2012,96.41176
arm,2013,96.5881
arm,2014,94.12688
arm,2015,93.03258
arm,2016,92.49744
arm,2017,92.31421
arm,2018,90.843
atg,2007,97.35554
atg,2008,97.58825
atg,2010,96.3281
atg,2011,95.97518
atg,2012,94.87391
atg,2014,93.73436
atg,2015,97.63492
atg,2017,97.55055
atg,2018,99.3101
aus,1971,96.54105
aus,1973,95.15404
aus,1974,94.52301
aus,1975,97.27922
aus,1976,98.30379
aus,1977,99.97696
aus,1978,99.98407
aus,1979,99.97685
aus,1980,99.95414
aus,1981,99.90612
aus,1982,99.093
aus,1983,98.11419
aus,1984,96.30331
aus,1985,96.34697
aus,1986,97.0215
aus,1987,97.57306
aus,1988,98.24894
aus,1989,98.36512
aus,1990,97.97447
aus,1991,97.38874
aus,1992,97.15609
aus,1993,96.73898
aus,1994,96.43436
aus,1995,94.99609
aus,1996,95.40056
aus,1997,94.98368
aus,1998,94.91501
aus,1999,94.54912
aus,2000,94.48531
aus,2001,93.95538
aus,2002,94.02894
aus,2003,95.01722
aus,2004,95.375
aus,2005,95.675
aus,2006,95.78078
aus,2007,96.55403
aus,2008,96.67832
aus,2009,96.81221
aus,2010,97.10396
aus,2011,97.67766
aus,2012,97.98651
aus,2013,97.48417
aus,2014,97.13516
aus,2015,97.10963
aus,2016,96.7724
aus,2017,96.4991
aut,1971,90.95584
aut,1972,90.16531
aut,1973,88.81081
aut,1974,87.91742
aut,1975,87.62543
aut,1976,87.04474
aut,1989,94.2875
aut,1999,90.24
aut,2000,91.24983
aut,2001,90.30978
aut,2002,88.3725
aut,2003,87.47428
aut,2004,87.70214
aut,2005,87.84051
aut,2006,88.24742
aut,2007,88.19702
aut,2008,87.79193
aut,2009,87.46642
aut,2010,87.39116
aut,2011,87.19339
aut,2012,88.42921
aut,2013,88.4241
aut,2014,88.73989
aut,2015,88.62591
aut,2016,88.8771
aut,2017,88.64471
aze,1991,96.17142
aze,1992,96.14938
aze,1993,91.32005
aze,1994,83.26495
aze,1995,84.66302
aze,1996,93.50836
aze,1997,90.12694
aze,1998,88.72601
aze,1999,92.1411
aze,2000,88.23962
aze,2001,85.4634
aze,2002,84.91034
aze,2003,83.3463
aze,2004,84.28326
aze,2005,83.95354
aze,2006,83.77201
aze,2007,83.45841
aze,2008,83.98751
aze,2009,85.5189
aze,2010,84.72605
aze,2011,87.26808
aze,2012,89.29003
aze,2013,93.67068
aze,2014,94.8121
aze,2015,94.26275
aze,2016,94.96529
aze,2017,97.93103
aze,2018,92.61575
bdi,1973,18.59082
bdi,1978,17.14554
bdi,1980,18.70052
bdi,1981,20.57046
bdi,1982,23.85651
bdi,1983,29.98929
bdi,1984,34.70884
bdi,1985,38.96946
bdi,1986,41.46913
bdi,1987,46.5633
bdi,1988,49.16317
bdi,1993,49.06123
bdi,2000,41.44158
bdi,2001,50.27606
bdi,2002,49.53727
bdi,2003,52.98084
bdi,2004,54.62652
bdi,2005,57.85952
bdi,2006,74.51539
bdi,2007,81.83971
bdi,2008,92.44863
bdi,2009,90.75957
bdi,2010,95.49752
bdi,2017,95.54934
bdi,2018,93.4166
bel,1977,96.29779
