geo,time,ny_gdp_mktp_pp_kd
abw,1990,2301801382.40968
abw,1991,2485090891.60987
abw,1992,2631272708.76339
abw,1993,2823558022.0961
abw,1994,3055199978.5086
abw,1995,3133020318.66048
abw,1996,3170171303.01453
abw,1997,3393569279.62489
abw,1998,3461168699.56895
abw,1999,3504019425.42137
abw,2000,3770906155.29224
abw,2001,3658862852.58389
abw,2002,3539084620.13974
abw,2003,3609000909.43814
abw,2004,3894529306.87018
abw,2005,3941822498.1459
abw,2006,3983235582.05039
abw,2007,4054942823.50401
abw,2008,4051264664.08933
abw,2009,3625081808.90544
abw,2010,3491496478.93603
abw,2011,3611815359.20855
abw,2012,3562338436.47966
abw,2013,3711893680.18288
abw,2014,3723029361.22343
abw,2015,3935242067.42296
abw,2016,4017882134.53394
abw,2017,4098239741.2414
afg,2002,26890054382.385
afg,2003,29265058689.4061
afg,2004,29678901146.3632
afg,2005,33011757107.8906
afg,2006,34780330056.488
afg,2007,39589169629.9389
afg,2008,41143038133.026
afg,2009,49943751386.6576
afg,2010,57116893447.1231
afg,2011,57360414055.1093
afg,2012,64675178730.6937
afg,2013,68297470348.55769
afg,2014,70158264544.68401
afg,2015,71176481723.29111
afg,2016,72785293847.6716
afg,2017,74711922906.37379
afg,2018,75600418108.83031
afg,2019,78557606648.6734
afg,2020,76710638229.71318
ago,1990,68524299956.2213
ago,1991,69203621977.5983
ago,1992,65163320249.051
ago,1993,49534929134.6161
ago,1994,50198381863.7314
ago,1995,57728139157.7801
ago,1996,65547051778.05
ago,1997,70315126122.15109
ago,1998,73613711665.7012
ago,1999,75219587217.02438
ago,2000,77517262957.10201
ago,2001,80777637917.87971
ago,2002,91816456696.4398
ago,2003,94561631036.5231
ago,2004,104918835770.19099
ago,2005,120686998750.23199
ago,2006,134623551003.14301
ago,2007,153484335057.56299
ago,2008,170622608225.526
ago,2009,172087766086.56799
ago,2010,179666395220.52899
ago,2011,185904369961.67401
ago,2012,201784670079.69296
ago,2013,211782181648.306
ago,2014,221995647525.41501
ago,2015,224090335322.84399
ago,2016,218308693423.99799
ago,2017,217987314775.76199
ago,2018,213619656135.168
ago,2019,212285293091.61496
ago,2020,200821914034.72198
alb,1990,15864251786.5536
alb,1991,11421921528.611
alb,1992,10601015359.5691
alb,1993,11614410061.5713
alb,1994,12578739034.3302
alb,1995,14254520575.9467
alb,1996,15551681869.046
alb,1997,13853440683.9803
alb,1998,15076619668.2046
alb,1999,17020117105.4776
alb,2000,18202371302.719
alb,2001,19711950862.0733
alb,2002,20606188274.839
alb,2003,21745429719.722
alb,2004,22944617954.3711
alb,2005,24212634883.0314
alb,2006,25641824164.3
alb,2007,27176041050.5387
alb,2008,29214255387.8492
alb,2009,30194186045.6543
alb,2010,31313465847.3792
alb,2011,32110520731.1146
alb,2012,32565604774.3405
alb,2013,32891917846.3074
alb,2014,33475568105.9092
alb,2015,34218299363.5357
alb,2016,35352629377.8478
alb,2017,36696816738.7391
alb,2018,38171793796.7109
alb,2019,38978524114.1681
alb,2020,37436768379.5007
are,1990,203786719175.15701
are,1991,205539451954.67599
are,1992,212414633291.89001
are,1993,215093587426.62399
are,1994,229926760738.22101
are,1995,245304001445.89401
are,1996,259527718628.31696
are,1997,280784073367.27301
are,1998,281603946993.51398
are,1999,289776695167.02197
are,2000,321225302770.54199
are,2001,325719517895.22498
are,2002,333645761686.12299
are,2003,363008393120.37506
are,2004,397735361035.81506
are,2005,417045974401.75293
are,2006,458072120506.09894
are,2007,472658924099.828
are,2008,487745423101.48895
are,2009,462173311464.89203
are,2010,469581256610.72998
are,2011,502116234355.81097
are,2012,524630081825.24799
are,2013,551140048310.71399
are,2014,575445794342.38599
are,2015,604565278498.98401
are,2016,622606812822.46704
are,2017,637384703409.74304
are,2018,644968661262.19299
are,2019,666972016655.95898
are,2020,626056612941.54797
arg,1990,461383067200.95398
arg,1991,503521692862.146
arg,1992,543487677674.49103
arg,1993,588091597641.28894
arg,1994,622413803601.14404
arg,1995,604704826243.56494
arg,1996,638124986359.86682
arg,1997,689883602459.33118
arg,1998,716445355021.61597
arg,1999,692190405307.75098
arg,2000,686729030353.61902
arg,2001,656452248351.55396
arg,2002,584935157747.95398
arg,2003,636626116266.93799
arg,2004,694110738086.54297
arg,2005,755551060091.0979
arg,2006,816351398559.73584
arg,2007,889885482455.56494
arg,2008,925990210832.67285
arg,2009,871185248000
arg,2010,959396223037.20898
arg,2011,1016997908810.96997
arg,2012,1006559234253.78003
arg,2013,1030770242883.06995
arg,2014,1004870951838
arg,2015,1032315583600.75
arg,2016,1010840035079.43994
arg,2017,1039330591568.54004
arg,2018,1012127189427.81006
arg,2019,991622158178.86206
arg,2020,893498478523.547
arm,1990,18327906064.5098
arm,1991,16183541332.9899
arm,1992,9418820611.43951
arm,1993,8589964511.29035
arm,1994,9053822833.63031
arm,1995,9678536466.07655
arm,1996,10246221416.4922
arm,1997,10586506596.0205
arm,1998,11359321576.2289
arm,1999,11734179188.3105
arm,2000,12426495760.7871
arm,2001,13619439353.7327
arm,2002,15417205348.1442
arm,2003,17575614097.1234
arm,2004,19421053577.114
arm,2005,22120580024.1606
arm,2006,25040496587.2317
arm,2007,28471044620.0698
arm,2008,30435546698.97689
arm,2009,26144134614.2082
arm,2010,26719305575.777
arm,2011,27975112937.4842
arm,2012,29989321069.253
arm,2013,30978968664.5384
arm,2014,32094211536.6445
arm,2015,33121226305.4854
arm,2016,33187468758.0387
arm,2017,35676528915.4363
arm,2018,37531708418.9153
arm,2019,40384118258.2046
arm,2020,37395693507.0975
atg,1990,966678464.21067
atg,1991,987718980.81919
atg,1992,999161460.17293
atg,1993,1051915973.37331
atg,1994,1122149321.88767
atg,1995,1073228241.63905
atg,1996,1144109168.5706
atg,1997,1206710342.88236
atg,1998,1263801318.69785
atg,1999,1310658242.74168
atg,2000,1391964025.79995
atg,2001,1328657453.56947
atg,2002,1342308637.88184
atg,2003,1423874608.69703
atg,2004,1505989864.77679
atg,2005,1603485108.26482
atg,2006,1807258377.52402
atg,2007,1975611420.14299
atg,2008,1975328104.58546
atg,2009,1739025583.76277
atg,2010,1602675635.24333
atg,2011,1571285427.86007
atg,2012,1624282782.9669
atg,2013,1614522851.10782
atg,2014,1675805740.78459
atg,2015,1739910222.13625
atg,2016,1835543677.67486
atg,2017,1893259104.10693
atg,2018,2023584260.56643
atg,2019,2121975706.32825
atg,2020,1693498508.25424
aus,1990,529298229226.87799
aus,1991,527207039795.93799
aus,1992,529388519108.70898
aus,1993,550741760462.86499
aus,1994,572663891212.33496
aus,1995,594618854646.10596
aus,1996,617537962482.36804
aus,1997,641673142433.35999
aus,1998,671280015502.87
aus,1999,704418927725.96594
aus,2000,731978809208.78784
aus,2001,746898738633.03796
aus,2002,776883187572.02283
aus,2003,801046780422.89294
aus,2004,834734377312.50098
aus,2005,861114807751.54382
aus,2006,884596491005.36804
aus,2007,917932399334.27808
aus,2008,950766977829.80286
aus,2009,968516200684.01794
aus,2010,989555637343.97791
aus,2011,1013995151022.54004
aus,2012,1053717016448.22998
aus,2013,1081115891498.42004
aus,2014,1108824151458.37012
aus,2015,1132910082382.90991
aus,2016,1163970433130.57007
aus,2017,1190694343959.23999
aus,2018,1224878850897.80005
aus,2019,1250762371287.88989
aus,2020,1250714385056.97998
aut,1990,287877610666.84802
aut,1991,297785286478.44293
aut,1992,304019494756.94702
aut,1993,305621097436.388
aut,1994,312962480111.46094
aut,1995,321312267538.71698
aut,1996,328861608034.19501
aut,1997,335746652652.37799
aut,1998,347771169942.14001
aut,1999,360139064725.604
aut,2000,372296358893.84998
