geo,time,ag_lnd_prcp_mm
afg,1962,327
afg,1967,327
afg,1972,327
afg,1977,327
afg,1982,327
afg,1987,327
afg,1992,327
afg,1997,327
afg,2002,327
afg,2007,327
afg,2012,327
afg,2017,327
ago,1962,1010
ago,1967,1010
ago,1972,1010
ago,1977,1010
ago,1982,1010
ago,1987,1010
ago,1992,1010
ago,1997,1010
ago,2002,1010
ago,2007,1010
ago,2012,1010
ago,2017,1010
alb,1962,1485
alb,1967,1485
alb,1972,1485
alb,1977,1485
alb,1982,1485
alb,1987,1485
alb,1992,1485
alb,1997,1485
alb,2002,1485
alb,2007,1485
alb,2012,1485
alb,2017,1485
are,1962,78
are,1967,78
are,1972,78
are,1977,78
are,1982,78
are,1987,78
are,1992,78
are,1997,78
are,2002,78
are,2007,78
are,2012,78
are,2017,78
arg,1962,591
arg,1967,591
arg,1972,591
arg,1977,591
arg,1982,591
arg,1987,591
arg,1992,591
arg,1997,591
arg,2002,591
arg,2007,591
arg,2012,591
arg,2017,591
arm,1992,562
arm,1997,562
arm,2002,562
arm,2007,562
arm,2012,562
arm,2017,562
atg,1962,1030
atg,1967,1030
atg,1972,1030
atg,1977,1030
atg,1982,1030
atg,1987,1030
atg,1992,1030
atg,1997,1030
atg,2002,1030
atg,2007,1030
atg,2012,1030
atg,2017,1030
aus,1962,534
aus,1967,534
aus,1972,534
aus,1977,534
aus,1982,534
aus,1987,534
aus,1992,534
aus,1997,534
aus,2002,534
aus,2007,534
aus,2012,534
aus,2017,534
aut,1962,1110
aut,1967,1110
aut,1972,1110
aut,1977,1110
aut,1982,1110
aut,1987,1110
aut,1992,1110
aut,1997,1110
aut,2002,1110
aut,2007,1110
aut,2012,1110
aut,2017,1110
aze,1992,447
aze,1997,447
aze,2002,447
aze,2007,447
aze,2012,447
aze,2017,447
bdi,1962,1274
bdi,1967,1274
bdi,1972,1274
bdi,1977,1274
bdi,1982,1274
bdi,1987,1274
bdi,1992,1274
bdi,1997,1274
bdi,2002,1274
bdi,2007,1274
bdi,2012,1274
bdi,2017,1274
bel,1962,847
bel,1967,847
bel,1972,847
bel,1977,847
bel,1982,847
bel,1987,847
bel,1992,847
bel,1997,847
bel,2002,847
bel,2007,847
bel,2012,847
bel,2017,847
ben,1962,1039
ben,1967,1039
ben,1972,1039
ben,1977,1039
ben,1982,1039
ben,1987,1039
ben,1992,1039
ben,1997,1039
ben,2002,1039
ben,2007,1039
ben,2012,1039
ben,2017,1039
bfa,1962,748
bfa,1967,748
bfa,1972,748
bfa,1977,748
bfa,1982,748
bfa,1987,748
bfa,1992,748
bfa,1997,748
bfa,2002,748
bfa,2007,748
bfa,2012,748
bfa,2017,748
bgd,1962,2666
bgd,1967,2666
bgd,1972,2666
bgd,1977,2666
bgd,1982,2666
bgd,1987,2666
bgd,1992,2666
bgd,1997,2666
bgd,2002,2666
bgd,2007,2666
bgd,2012,2666
bgd,2017,2666
bgr,1962,608
bgr,1967,608
bgr,1972,608
bgr,1977,608
bgr,1982,608
bgr,1987,608
bgr,1992,608
bgr,1997,608
bgr,2002,608
bgr,2007,608
bgr,2012,608
bgr,2017,608
bhr,1962,83
bhr,1967,83
bhr,1972,83
bhr,1977,83
bhr,1982,83
bhr,1987,83
bhr,1992,83
bhr,1997,83
bhr,2002,83
bhr,2007,83
bhr,2012,83
bhr,2017,83
bhs,1962,1292
bhs,1967,1292
bhs,1972,1292
bhs,1977,1292
bhs,1982,1292
bhs,1987,1292
bhs,1992,1292
bhs,1997,1292
bhs,2002,1292
bhs,2007,1292
bhs,2012,1292
bhs,2017,1292
bih,1992,1028
bih,1997,1028
bih,2002,1028
bih,2007,1028
bih,2012,1028
bih,2017,1028
blr,1992,618
blr,1997,618
blr,2002,618
blr,2007,618
blr,2012,618
blr,2017,618
blz,1962,1705
blz,1967,1705
blz,1972,1705
blz,1977,1705
blz,1982,1705
blz,1987,1705
blz,1992,1705
blz,1997,1705
blz,2002,1705
blz,2007,1705
blz,2012,1705
blz,2017,1705
bol,1962,1146
bol,1967,1146
bol,1972,1146
bol,1977,1146
bol,1982,1146
bol,1987,1146
bol,1992,1146
bol,1997,1146
bol,2002,1146
bol,2007,1146
bol,2012,1146
bol,2017,1146
bra,1962,1761
bra,1967,1761
bra,1972,1761
bra,1977,1761
bra,1982,1761
bra,1987,1761
bra,1992,1761
bra,1997,1761
bra,2002,1761
bra,2007,1761
bra,2012,1761
bra,2017,1761
brb,1962,1422
brb,1967,1422
brb,1972,1422
brb,1977,1422
brb,1982,1422
brb,1987,1422
brb,1992,1422
brb,1997,1422
brb,2002,1422
brb,2007,1422
brb,2012,1422
brb,2017,1422
brn,1962,2722
brn,1967,2722
brn,1972,2722
brn,1977,2722
brn,1982,2722
brn,1987,2722
brn,1992,2722
brn,1997,2722
brn,2002,2722
brn,2007,2722
brn,2012,2722
brn,2017,2722
btn,1962,2200
btn,1967,2200
btn,1972,2200
btn,1977,2200
btn,1982,2200
btn,1987,2200
btn,1992,2200
btn,1997,2200
btn,2002,2200
btn,2007,2200
btn,2012,2200
btn,2017,2200
bwa,1962,416
bwa,1967,416
bwa,1972,416
bwa,1977,416
bwa,1982,416
bwa,1987,416
bwa,1992,416
bwa,1997,416
bwa,2002,416
bwa,2007,416
bwa,2012,416
bwa,2017,416
caf,1962,1343
caf,1967,1343
caf,1972,1343
caf,1977,1343
caf,1982,1343
caf,1987,1343
caf,1992,1343
caf,1997,1343
caf,2002,1343
