geo,time,fx_own_totl_40_zs
afg,2011,1.12538
afg,2014,6.07046
afg,2017,13.8025
ago,2014,12.54354
alb,2011,17.51858
alb,2014,23.8901
alb,2017,22.75103
are,2011,52.89773
are,2014,77.69296
are,2017,82.99037
arg,2011,19.67492
arg,2014,44.6275
arg,2017,38.06128
arm,2011,15.03569
arm,2014,11.09293
arm,2017,34.41927
aus,2011,97.95354
aus,2014,100
aus,2017,99.28784
aut,2011,94.72293
aut,2014,96.27384
aut,2017,97.9066
aze,2011,8.15484
aze,2014,24.79335
aze,2017,18.13518
bdi,2011,3.13241
bdi,2014,1.3383
bel,2011,93.81187
bel,2014,98.60555
bel,2017,98.85674
ben,2011,3.57839
ben,2014,10.01332
ben,2017,31.85289
bfa,2011,6.52725
bfa,2014,6.42888
bfa,2017,26.74181
bgd,2011,19.06376
bgd,2014,23.03399
bgd,2017,40.07873
bgr,2011,36.84069
bgr,2014,49.36286
bgr,2017,54.54768
bhr,2011,66.14768
bhr,2014,81.03026
bhr,2017,75.82198
bih,2011,42.75931
bih,2014,40.77423
bih,2017,47.50243
blr,2011,50.41993
blr,2014,66.55757
blr,2017,74.41339
blz,2014,37.38006
bol,2011,14.34994
bol,2014,25.91746
bol,2017,42.82783
bra,2011,37.52705
bra,2014,57.22805
bra,2017,56.62524
btn,2014,24.90005
bwa,2011,14.21894
bwa,2014,31.96887
bwa,2017,34.66673
caf,2011,1.36335
caf,2017,9.20241
can,2011,93.29092
can,2014,98.40809
can,2017,99.77783
che,2014,98.86733
che,2017,97.43823
chl,2011,30.44932
chl,2014,53.80359
chl,2017,66.87199
chn,2011,46.62636
chn,2014,72.57639
chn,2017,68.35026
civ,2014,24.17595
civ,2017,34.16769
cmr,2011,12.94568
cmr,2014,2.30355
cmr,2017,24.98013
cod,2011,1.13089
cod,2014,10.78113
cod,2017,17.39028
cog,2011,4.47982
cog,2014,7.01794
cog,2017,18.15818
col,2011,13.83921
col,2014,24.39454
col,2017,35.01957
com,2011,10.59564
cri,2011,35.47662
cri,2014,56.73711
cri,2017,58.03123
cyp,2011,77.83727
cyp,2014,88.00475
cyp,2017,83.80718
cze,2011,73.66454
cze,2014,77.13926
cze,2017,70.64437
deu,2011,98.13175
deu,2014,96.9911
deu,2017,98.12227
dnk,2011,99.80156
dnk,2014,100
dnk,2017,100
dom,2011,21.70211
dom,2014,41.29369
dom,2017,42.11519
dza,2011,23.0946
dza,2014,36.97107
dza,2017,34.9708
ecu,2011,22.75388
ecu,2014,31.04022
ecu,2017,33.39508
egy,2011,4.66409
egy,2014,5.45779
egy,2017,20.32022
esp,2011,91.88154
esp,2014,96.63521
esp,2017,93.08876
est,2011,94.34816
est,2014,97.20758
est,2017,96.21382
eth,2014,15.00822
eth,2017,22.41228
fin,2011,99.92288
fin,2014,100
fin,2017,99.46335
fra,2011,95.67548
fra,2014,94.48116
fra,2017,93.46918
gab,2011,8.50595
gab,2014,17.55413
gab,2017,49.82904
gbr,2011,96.6492
gbr,2014,98.08373
gbr,2017,94.47351
geo,2011,22.06307
geo,2014,28.38016
geo,2017,46.1205
gha,2011,18.38887
gha,2014,33.5196
gha,2017,48.34406
gin,2011,1.70358
gin,2014,2.30657
gin,2017,19.90277
grc,2011,69.74509
grc,2014,82.35474
grc,2017,81.51775
gtm,2011,11.74432
gtm,2014,29.08364
gtm,2017,30.41929
hkg,2014,94.03635
hkg,2017,92.37355
hnd,2011,8.1062
hnd,2014,20.85501
hnd,2017,33.10072
hrv,2011,81.35492
hrv,2014,78.91113
hrv,2017,80.99702
hti,2014,13.30821
hti,2017,17.87977
hun,2011,67.83187
hun,2014,66.57468
hun,2017,67.66965
idn,2011,10.97314
idn,2014,22.13401
idn,2017,36.59576
ind,2011,26.97145
ind,2014,43.61068
ind,2017,77.08295
irl,2011,93.08043
irl,2014,92.2543
irl,2017,92.9394
irn,2011,67.51244
irn,2014,89.89886
irn,2017,93.24585
irq,2011,6.69749
irq,2014,8.42861
irq,2017,18.69329
isr,2011,84.43175
