global,time,dt_nfl_wfpg_cd
world,1969,64800003.05176
world,1970,107680000.30518
world,1971,144779998.7793
world,1972,125520004.27246
world,1973,183160003.66211
world,1974,223050003.05176
world,1975,416779998.7793
world,1976,288070007.32422
world,1977,367839996.33789
world,1978,411769989.01367
world,1979,527500000
world,1980,543059997.55859
world,1981,542830017.08984
world,1982,594669982.91016
world,1983,630150024.41406
world,1984,679780029.29688
world,1985,777630004.88281
world,1986,649849975.58594
world,1987,720320007.32422
world,1988,878500000
world,1989,762299987.79297
world,1990,956919982.91016
world,1991,1339890014.64844
world,1992,1576520019.53125
world,1993,1487020019.53125
world,1994,1394150024.41406
world,1995,1096109985.35156
world,1996,371850006.10352
world,1997,279500000
world,1998,269820007.32422
world,1999,354200012.20703
world,2000,356299987.79297
world,2001,379179992.67578
world,2002,350609985.35156
world,2003,319059997.55859
world,2004,252619995.11719
world,2005,554520019.53125
world,2006,473790008.54492
world,2007,232759994.50684
world,2008,316309997.55859
world,2009,290350006.10352
world,2010,243830001.83105
world,2011,337140014.64844
world,2012,354517089.84375
world,2013,363885467.5293
world,2014,309607177.73438
world,2015,286751525.87891
world,2016,306983886.71875
world,2017,285915557.86133
world,2018,185668487.54883
world,2019,307261230.46875
