global,time,sl_gdp_pcap_em_kd
world,1991,23044.1005
world,1992,23032.16914
world,1993,23107.24022
world,1994,23390.40361
world,1995,23771.36363
world,1996,24274.07085
world,1997,24794.21898
world,1998,25047.77179
world,1999,25487.96567
world,2000,26192.96056
world,2001,26435.98018
world,2002,26801.34668
world,2003,27367.02434
world,2004,28224.90988
world,2005,29005.39613
world,2006,30038.77546
world,2007,31126.52455
world,2008,31625.94511
world,2009,31311.81974
world,2010,32574.08164
world,2011,33425.56029
world,2012,34114.41307
world,2013,34877.05794
world,2014,35636.46647
world,2015,36426.43441
world,2016,37234.03846
world,2017,38190.4471
world,2018,39086.91451
world,2019,39690.76641
world,2020,39682.0797
