global,time,sl_uem_1524_ma_zs
world,1991,10.44712
world,1992,10.84737
world,1993,11.46528
world,1994,11.97796
world,1995,12.34752
world,1996,12.61539
world,1997,12.65518
world,1998,13.10991
world,1999,13.40645
world,2000,13.24255
world,2001,13.46667
world,2002,13.85175
world,2003,14.03105
world,2004,13.69178
world,2005,13.72253
world,2006,13.30659
world,2007,12.99979
world,2008,13.03414
world,2009,14.13116
world,2010,14.09444
world,2011,14.1342
world,2012,14.37622
world,2013,14.54178
world,2014,14.44017
world,2015,14.70775
world,2016,14.96183
world,2017,14.9185
world,2018,14.80548
world,2019,14.80057
world,2020,16.76589
