geo,time,per_sa_allsa_ben_q1_tot
afg,2007,6.74643
ago,2018,5.02259
alb,2008,14.97274
alb,2012,27.64554
arg,2006,20.87181
arg,2010,39.98876
arg,2011,20.00001
arg,2012,20.80126
arg,2013,46.38195
arg,2014,50.84334
arg,2016,51.76831
arg,2017,49.35356
arg,2018,49.26539
arg,2019,48.60963
arm,2008,34.05066
arm,2009,32.27869
arm,2010,32.42662
arm,2011,31.83411
arm,2012,31.12901
arm,2013,31.28004
arm,2014,32.34606
arm,2015,33.2009
arm,2016,31.61472
arm,2017,37.48004
arm,2018,35.93214
aze,2015,17.38057
bfa,2003,2.71297
bfa,2014,1.86528
bfa,2018,0.21993
bgd,2005,29.18065
bgd,2010,21.63273
bgd,2016,24.28528
bgr,2007,28.143
bih,2007,13.29677
bih,2015,16.49808
blr,2008,29.54261
blr,2009,27.62864
blr,2010,29.2037
blr,2012,28.5771
blr,2013,23.79585
blr,2014,26.39435
blr,2015,24.52679
blr,2016,27.14157
blr,2017,24.75969
blr,2018,24.02059
blr,2019,28.13258
blz,2009,18.73226
bol,2006,8.13985
bol,2007,9.12914
bol,2008,24.21121
bol,2009,24.45232
bol,2011,25.44047
bol,2012,26.64408
bol,2014,24.62972
bol,2015,25.21998
bol,2016,20.63052
bol,2017,25.08541
bra,2009,16.36536
bra,2011,15.32906
bra,2012,15.55113
bra,2015,31.58199
bra,2016,33.55302
bra,2017,33.77344
bra,2018,33.13304
bra,2019,31.49196
btn,2007,15.2898
bwa,2009,12.81843
bwa,2015,7.4987
chl,2006,28.66899
chl,2009,24.20706
chl,2011,23.6517
chl,2013,21.5461
chl,2015,27.79891
chl,2017,18.54184
chn,2013,24.24217
civ,2008,1.4016
civ,2015,1.19849
cmr,2007,0.8132
cmr,2014,0
cod,2012,3.49705
cog,2005,19.67811
col,2010,23.5052
col,2011,19.46601
col,2012,21.27126
col,2014,33.05472
col,2015,34.07274
col,2016,36.0082
col,2017,35.4191
col,2018,35.44333
col,2019,35.49166
cpv,2007,14.80088
cri,2008,27.52445
cri,2010,25.08695
cri,2011,24.71326
cri,2012,26.92116
cri,2014,30.31111
cri,2015,29.85858
cri,2016,29.86716
cri,2017,32.3887
cri,2018,30.26827
cri,2019,31.74389
dji,2012,53.8215
dma,2002,2.44124
dom,2007,32.6272
dom,2008,30.63276
dom,2009,25.73177
dom,2010,25.48142
dom,2011,25.07848
dom,2012,22.0661
dom,2013,19.96449
dom,2014,22.53875
dom,2015,26.19439
dom,2016,21.35346
dom,2017,21.45739
dom,2018,20.57561
dom,2019,19.01454
ecu,2008,29.62879
ecu,2010,27.91339
ecu,2011,31.21425
ecu,2012,31.79005
ecu,2014,26.89161
ecu,2015,28.42423
ecu,2016,35.72576
ecu,2017,31.26113
ecu,2018,32.38116
ecu,2019,27.80691
egy,2008,17.57751
eth,2015,11.66872
eth,2018,17.28096
fji,2008,13.6856
fji,2013,17.18671
fsm,2000,3.58499
gab,2005,4.70824
gab,2017,5.80307
geo,2011,20.41223
geo,2016,18.16945
