geo,time,sh_mmr_dths
afg,2000,15000
afg,2001,15000
afg,2002,14000
afg,2003,14000
afg,2004,13000
afg,2005,13000
afg,2006,13000
afg,2007,13000
afg,2008,12000
afg,2009,12000
afg,2010,11000
afg,2011,11000
afg,2012,10000
afg,2013,9600
afg,2014,9300
afg,2015,8400
afg,2016,8100
afg,2017,7700
ago,2000,6600
ago,2001,6300
ago,2002,5800
ago,2003,5500
ago,2004,5200
ago,2005,4800
ago,2006,4500
ago,2007,4300
ago,2008,4000
ago,2009,3700
ago,2010,3500
ago,2011,3300
ago,2012,3100
ago,2013,3100
ago,2014,3000
ago,2015,3000
ago,2016,3000
ago,2017,3000
alb,2000,12
alb,2001,11
alb,2002,10
alb,2003,9
alb,2004,7
alb,2005,9
alb,2006,7
alb,2007,7
alb,2008,7
alb,2009,7
alb,2010,7
alb,2011,8
alb,2012,6
alb,2013,6
alb,2014,6
alb,2015,5
alb,2016,5
alb,2017,5
are,2000,3
are,2001,3
are,2002,3
are,2003,3
are,2004,3
are,2005,3
are,2006,3
are,2007,3
are,2008,3
are,2009,3
are,2010,4
are,2011,4
are,2012,4
are,2013,3
are,2014,3
are,2015,3
are,2016,3
are,2017,3
arg,2000,480
arg,2001,480
arg,2002,470
arg,2003,470
arg,2004,440
arg,2005,430
arg,2006,420
arg,2007,410
arg,2008,390
arg,2009,410
arg,2010,380
arg,2011,360
arg,2012,350
arg,2013,330
arg,2014,320
arg,2015,310
arg,2016,300
arg,2017,290
arm,2000,17
arm,2001,17
arm,2002,16
arm,2003,15
arm,2004,15
arm,2005,15
arm,2006,16
arm,2007,14
arm,2008,16
arm,2009,14
arm,2010,14
arm,2011,13
arm,2012,13
arm,2013,11
arm,2014,12
arm,2015,12
arm,2016,11
arm,2017,11
atg,2000,1
atg,2001,1
atg,2002,1
atg,2003,1
atg,2004,1
atg,2005,1
atg,2006,1
atg,2007,1
atg,2008,1
atg,2009,1
atg,2010,1
atg,2011,1
atg,2012,1
atg,2013,1
atg,2014,1
atg,2015,1
atg,2016,1
atg,2017,1
aus,2000,17
aus,2001,15
aus,2002,14
aus,2003,14
aus,2004,14
aus,2005,14
aus,2006,14
aus,2007,15
aus,2008,15
aus,2009,16
aus,2010,16
aus,2011,18
aus,2012,18
aus,2013,19
aus,2014,20
aus,2015,20
aus,2016,21
aus,2017,20
aut,2000,5
aut,2001,5
aut,2002,5
aut,2003,5
aut,2004,4
aut,2005,4
aut,2006,4
aut,2007,4
aut,2008,4
aut,2009,4
aut,2010,4
aut,2011,4
aut,2012,4
aut,2013,4
aut,2014,4
aut,2015,4
aut,2016,4
aut,2017,4
aze,2000,66
aze,2001,61
aze,2002,58
aze,2003,60
aze,2004,53
aze,2005,57
aze,2006,50
aze,2007,49
aze,2008,49
aze,2009,50
aze,2010,51
aze,2011,51
aze,2012,51
aze,2013,50
aze,2014,49
aze,2015,48
aze,2016,46
aze,2017,44
bdi,2000,2800
bdi,2001,2700
bdi,2002,2700
bdi,2003,2700
bdi,2004,2600
bdi,2005,2600
bdi,2006,2600
bdi,2007,2600
bdi,2008,2600
bdi,2009,2500
bdi,2010,2500
bdi,2011,2400
bdi,2012,2400
bdi,2013,2400
bdi,2014,2400
bdi,2015,2400
bdi,2016,2400
bdi,2017,2400
bel,2000,9
bel,2001,9
bel,2002,8
bel,2003,8
bel,2004,8
bel,2005,8
bel,2006,8
bel,2007,9
bel,2008,8
bel,2009,8
bel,2010,8
bel,2011,8
bel,2012,7
bel,2013,7
bel,2014,7
bel,2015,7
bel,2016,7
bel,2017,6
ben,2000,1500
ben,2001,1500
ben,2002,1600
ben,2003,1600
ben,2004,1600
ben,2005,1600
ben,2006,1600
ben,2007,1700
ben,2008,1700
ben,2009,1700
ben,2010,1700
ben,2011,1700
ben,2012,1700
ben,2013,1700
ben,2014,1700
ben,2015,1700
ben,2016,1600
ben,2017,1600
bfa,2000,2800
bfa,2001,2800
bfa,2002,2700
bfa,2003,2700
bfa,2004,2700
bfa,2005,2600
bfa,2006,2600
bfa,2007,2600
bfa,2008,2600
bfa,2009,2600
bfa,2010,2500
bfa,2011,2500
bfa,2012,2500
bfa,2013,2500
bfa,2014,2500
bfa,2015,2500
bfa,2016,2400
bfa,2017,2400
bgd,2000,15000
bgd,2001,15000
bgd,2002,14000
bgd,2003,14000
bgd,2004,13000
bgd,2005,11000
bgd,2006,10000
bgd,2007,9600
bgd,2008,9000
bgd,2009,8500
bgd,2010,8100
bgd,2011,7700
bgd,2012,7300
bgd,2013,6900
bgd,2014,6500
bgd,2015,6000
bgd,2016,5500
bgd,2017,5100
bgr,2000,13
bgr,2001,12
bgr,2002,11
bgr,2003,11
bgr,2004,11
bgr,2005,11
bgr,2006,11
bgr,2007,10
bgr,2008,9
bgr,2009,9
bgr,2010,9
bgr,2011,8
bgr,2012,7
bgr,2013,7
bgr,2014,7
bgr,2015,7
bgr,2016,7
bgr,2017,6
bhr,2000,4
bhr,2001,3
bhr,2002,4
bhr,2003,3
bhr,2004,3
bhr,2005,3
bhr,2006,4
bhr,2007,3
bhr,2008,3
bhr,2009,4
bhr,2010,4
bhr,2011,3
bhr,2012,4
bhr,2013,4
bhr,2014,3
bhr,2015,3
bhr,2016,3
bhr,2017,3
bhs,2000,4
bhs,2001,4
bhs,2002,4
bhs,2003,4
bhs,2004,4
bhs,2005,4
bhs,2006,4
bhs,2007,4
bhs,2008,4
bhs,2009,4
bhs,2010,4
bhs,2011,4
bhs,2012,4
bhs,2013,4
bhs,2014,4
bhs,2015,4
bhs,2016,4
bhs,2017,4
bih,2000,7
bih,2001,6
bih,2002,5
bih,2003,5
bih,2004,5
bih,2005,5
bih,2006,4
bih,2007,4
bih,2008,4
bih,2009,4
bih,2010,4
bih,2011,3
bih,2012,3
bih,2013,3
bih,2014,3
bih,2015,3
bih,2016,3
bih,2017,3
blr,2000,19
blr,2001,16
blr,2002,16
blr,2003,14
blr,2004,12
blr,2005,11
blr,2006,9
blr,2007,8
blr,2008,7
blr,2009,6
blr,2010,6
blr,2011,5
blr,2012,4
blr,2013,4
blr,2014,3
blr,2015,3
blr,2016,3
blr,2017,3
blz,2000,7
blz,2001,7
blz,2002,6
blz,2003,6
blz,2004,6
blz,2005,5
blz,2006,5
blz,2007,5
blz,2008,4
blz,2009,4
blz,2010,4
blz,2011,4
blz,2012,4
blz,2013,4
blz,2014,4
blz,2015,3
blz,2016,3
blz,2017,3
bol,2000,850
bol,2001,820
bol,2002,790
bol,2003,760
bol,2004,720
bol,2005,690
bol,2006,660
bol,2007,620
bol,2008,590
bol,2009,560
bol,2010,530
bol,2011,510
bol,2012,480
bol,2013,460
bol,2014,440
bol,2015,420
bol,2016,400
bol,2017,380
bra,2000,2400
bra,2001,2300
bra,2002,2300
bra,2003,2300
bra,2004,2300
bra,2005,2300
bra,2006,2300
bra,2007,2200
bra,2008,2100
bra,2009,2100
bra,2010,1900
bra,2011,1800
bra,2012,1800
bra,2013,1800
bra,2014,1800
bra,2015,1900
bra,2016,1800
bra,2017,1700
brb,2000,2
brb,2001,2
brb,2002,2
brb,2003,2
brb,2004,2
brb,2005,2
brb,2006,1
brb,2007,1
brb,2008,1
brb,2009,1
brb,2010,1
brb,2011,1
brb,2012,1
brb,2013,1
brb,2014,1
brb,2015,1
brb,2016,1
brb,2017,1
brn,2000,2
brn,2001,2
brn,2002,2
brn,2003,2
brn,2004,2
brn,2005,2
brn,2006,2
brn,2007,2
brn,2008,2
brn,2009,2
brn,2010,2
brn,2011,2
brn,2012,2
brn,2013,2
brn,2014,2
brn,2015,2
brn,2016,2
brn,2017,2
btn,2000,68
btn,2001,60
btn,2002,56
btn,2003,52
btn,2004,49
btn,2005,45
btn,2006,42
btn,2007,39
btn,2008,36
btn,2009,35
btn,2010,33
btn,2011,31
btn,2012,30
btn,2013,29
btn,2014,28
btn,2015,26
btn,2016,25
btn,2017,24
bwa,2000,130
bwa,2001,130
bwa,2002,140
bwa,2003,140
bwa,2004,140
bwa,2005,120
bwa,2006,120
bwa,2007,110
bwa,2008,110
bwa,2009,100
bwa,2010,99
bwa,2011,98
bwa,2012,95
bwa,2013,92
bwa,2014,91
bwa,2015,88
bwa,2016,85
bwa,2017,81
caf,2000,1900
caf,2001,2000
caf,2002,2000
caf,2003,2000
caf,2004,2000
caf,2005,2000
caf,2006,1900
caf,2007,1900
caf,2008,1800
caf,2009,1800
caf,2010,1700
caf,2011,1700
caf,2012,1600
caf,2013,1700
caf,2014,1600
caf,2015,1500
caf,2016,1500
caf,2017,1400
can,2000,31
can,2001,32
can,2002,33
can,2003,35
can,2004,35
can,2005,39
can,2006,40
can,2007,41
can,2008,44
can,2009,44
can,2010,42
can,2011,43
can,2012,44
can,2013,42
can,2014,41
can,2015,41
can,2016,40
can,2017,40
che,2000,5
che,2001,5
che,2002,5
che,2003,5
che,2004,5
che,2005,5
che,2006,5
che,2007,5
che,2008,5
che,2009,5
che,2010,5
che,2011,5
che,2012,5
che,2013,5
che,2014,5
che,2015,5
che,2016,5
che,2017,4
chl,2000,79
chl,2001,79
chl,2002,69
chl,2003,66
chl,2004,66
chl,2005,60
chl,2006,60
chl,2007,57
chl,2008,53
chl,2009,52
chl,2010,51
chl,2011,44
chl,2012,41
chl,2013,39
