geo,time,ne_gdi_totl_kd
abw,2015,638178551.30841
ago,2000,6772800726.04059
ago,2001,14563640940.8677
ago,2002,15581446282.1326
ago,2003,17757551068.3593
ago,2004,20801195322.7816
ago,2005,23338109106.7232
ago,2006,24327644932.2462
ago,2007,27278588262.9484
ago,2008,34489707812.4044
ago,2009,35754178982.1351
ago,2010,32517051642.1843
ago,2011,35951234956.1066
ago,2012,38527571725.9249
ago,2013,39161899026.0911
ago,2014,40513644088.3704
ago,2015,39741120210.0271
ago,2016,31976927680.33789
ago,2017,32936235513.8967
ago,2018,31110947378.1422
ago,2019,30815933396.2997
ago,2020,30374823732.5562
alb,1997,416633798.32671
alb,1998,874034296.28778
alb,1999,1202208886.63522
alb,2000,1998124667.40261
alb,2001,2487274360.45731
alb,2002,2632003945.00706
alb,2003,2427920527.32469
alb,2004,2572135138.07151
alb,2005,2769333387.21548
alb,2006,2852946266.33063
alb,2007,2887642359.93564
alb,2008,3352804841.82255
alb,2009,3395756252.05441
alb,2010,3142084129.88975
alb,2011,3338695918.35965
alb,2012,3074533415.00374
alb,2013,3019883063.89002
alb,2014,2849393565.23403
alb,2015,2939976357.89292
alb,2016,2949052847.01619
alb,2017,3078038100.50223
alb,2018,3096510557.80591
alb,2019,3151545219.97067
are,2001,31412663211.7627
are,2002,33160022571.0961
are,2003,35449255086.4887
are,2004,36473438946.557
are,2005,43120319544.7672
are,2006,49527497527.3519
are,2007,69059337438.7283
are,2008,69076189256.5096
are,2009,75250056729.8474
are,2010,68355039785.1965
are,2011,67227847331.9975
are,2012,66542890362.4089
are,2013,65621559330.0489
are,2014,80815986013.08438
are,2015,91822890156.56911
are,2016,95287856272.80579
are,2017,104682171727.175
are,2018,92598285590.638
are,2019,79227149783.9249
are,2020,82318794274.18571
arg,1960,29433023837.4831
arg,1961,32281366923.6046
arg,1962,29433023837.4831
arg,1963,24211014003.1397
arg,1964,31094538441.1063
arg,1965,32281366923.60469
arg,1966,31094573232.7009
arg,1967,32281488602.4678
arg,1968,35129893689.7789
arg,1969,43200298767.0631
arg,1970,44163994201.277
arg,1971,48991927532.0759
arg,1972,49490266250.9832
arg,1973,47164202352.9523
arg,1974,47686429445.3688
arg,1975,48540998138.93649
arg,1976,51911387022.083
arg,1977,62759021166.2643
arg,1978,52765955715.6507
arg,1979,58154183585.2038
arg,1980,62868748841.5169
arg,1981,53453563949.5083
arg,1982,42793381597.0395
arg,1983,42964345046.766
arg,1984,41188032061.1362
arg,1985,35378578810.1589
arg,1986,39284648676.98409
arg,1987,44366479385.9563
arg,1988,42804898715.4426
arg,1989,33558372773.325
arg,1990,27903757037.4357
arg,1991,36258610274.8512
arg,1992,48094677583.604
arg,1993,55002965429.062
arg,1994,61952880204.7193
arg,1995,54124858891.2047
arg,1996,61216972753.7914
arg,1997,71374562333.29491
arg,1998,74871471352.9671
arg,1999,62201968787.8538
arg,2000,59833373722.1354
arg,2001,52693129269.7639
arg,2002,32883416849.5726
arg,2003,46099764656.8876
arg,2004,59751476384.421
arg,2005,68592502942.9073
arg,2006,73302412020.67091
arg,2007,88204836540.46561
arg,2008,94099958646.00209
arg,2009,72389645451.0118
arg,2010,95946771647.2003
arg,2011,111387236082.203
arg,2012,98928498895.75751
arg,2013,103547495760.09399
arg,2014,97103185691.36382
arg,2015,101527895313.53
arg,2016,96366224812.49921
arg,2017,111257073625.26801
arg,2018,100301480488.22301
arg,2019,83545749974.55891
arg,2020,74181308541.75941
arm,1994,1005194383.28231
arm,1995,895007228.15794
arm,1996,921017071.67023
arm,1997,1059703448.96171
arm,1998,1038328086.70026
arm,1999,1008368530.11293
arm,2000,900572388.85552
arm,2001,891439623.34037
arm,2002,1221513050.11344
arm,2003,1823114110.31253
arm,2004,1920687910.16258
arm,2005,2407429501.322
arm,2006,3190895170.74373
arm,2007,4115703058.81064
arm,2008,5068037873.6903
arm,2009,3107954981.50693
arm,2010,3013623426.8643
arm,2011,2772146148.09427
arm,2012,2452605289.13316
arm,2013,2276017708.31557
arm,2014,2260085584.35737
arm,2015,2187762845.65793
arm,2016,1997427478.08569
arm,2017,2203162508.32852
arm,2018,2963253573.70185
arm,2019,2539508312.66248
arm,2020,2371900764.02677
atg,2015,319849629.62963
aus,2015,354962975289.12598
aut,1970,36740449802.6203
aut,1971,37856158213.22649
aut,1972,41565254259.0215
aut,1973,45459920773.825
aut,1974,45957063543.266
aut,1975,40321252872.8722
aut,1976,45322462112.2925
aut,1977,50132708650.0558
aut,1978,45203677662.2222
aut,1979,52590048924.109
aut,1980,51984470131.3285
aut,1981,48849055492.2215
aut,1982,45453695296.9957
aut,1983,44024772506.8789
aut,1984,46319187470.0211
aut,1985,49292665374.2027
aut,1986,49364313278.62769
aut,1987,51015787711.9105
aut,1988,56301869933.5632
aut,1989,60157381738.4566
aut,1990,63545461310.09409
aut,1991,66595725272.8972
aut,1992,66050487338.6734
aut,1993,64208853491.0664
aut,1994,68047347587.24329
aut,1995,72419182310.91789
aut,1996,72972174630.7343
aut,1997,74260918233.71089
aut,1998,76369369960.2812
aut,1999,78979820794.21478
aut,2000,80958415132.06641
aut,2001,80268020735.87502
aut,2002,77194192938.3007
aut,2003,80782324341.1953
aut,2004,82126898632.82809
aut,2005,83411814416.332
aut,2006,85268195909.2812
aut,2007,91628722647.62498
aut,2008,91133558139.66788
aut,2009,81695109501.1835
aut,2010,81549541409.9335
aut,2011,88730508550.37889
aut,2012,88107317349.9726
aut,2013,87459994244.1953
aut,2014,88075208046.91789
aut,2015,90930239902.46089
aut,2016,94991589648.33591
aut,2017,99244263797.07027
aut,2018,105285073300.85201
aut,2019,105100849780.492
aut,2020,100217461933.953
aze,2015,14814952176.4591
bdi,1997,130197449.10754
bdi,1998,146842040.83827
bdi,1999,128696125.11658
bdi,2000,275844011.77975
bdi,2001,280437370.01668
bdi,2002,287036780.15738
bdi,2003,294125182.03474
bdi,2004,350945546.7894
bdi,2005,356333634.34304
bdi,2006,385944214.11254
bdi,2007,358699607.5044
bdi,2008,326882313.86082
bdi,2009,371885489.6094
bdi,2010,434922332.95224
bdi,2011,429583727.7171
bdi,2012,440721259.13645
bdi,2013,440137716.17111
bdi,2014,397905626.25632
bdi,2015,378041365.01706
bdi,2016,274758334.40283
bdi,2017,267578544.2178
bdi,2018,335696288.86812
bdi,2019,386387331.09824
bdi,2020,372248503.6233
bel,1970,39764675716.9062
bel,1971,38950738169.8566
bel,1972,38919424387.54449
bel,1973,43525763536.7558
bel,1974,48004040489.1055
bel,1975,41598159082.8187
bel,1976,45045887176.9691
bel,1977,45386151480.7531
bel,1978,46423650327.6992
bel,1979,46572825445.3566
bel,1980,53643761082.9258
bel,1981,43823900745.5957
bel,1982,40525122537.9859
bel,1983,36023311707.7133
bel,1984,40592775086.4918
bel,1985,39311795854.7238
bel,1986,41500195751.65391
bel,1987,45334309490.9387
bel,1988,53887897189.866
bel,1989,59741281119.0855
bel,1990,64323979877.1363
bel,1991,61991450927.1754
bel,1992,63125359787.2394
bel,1993,61259042606.3547
bel,1994,63565099688.2582
bel,1995,66180002997.4219
bel,1996,66454940291.7187
bel,1997,71558255783.4375
bel,1998,72657339252.89059
bel,1999,75426572476.6015
bel,2000,80849538632.10931
bel,2001,78663465383.71089
bel,2002,74955251400.664
bel,2003,75182368689.37502
bel,2004,83165868693.86708
bel,2005,89953313802.26558
bel,2006,93274973494.2187
bel,2007,101414692913.711
bel,2008,103479385451.875
bel,2009,94441737249.99988
bel,2010,96538938515.8593
bel,2011,104019052521.875
bel,2012,102090164361.52299
bel,2013,98225065255.74208
bel,2014,103540297709.57001
bel,2015,109240420185.15601
bel,2016,114869090030.586
bel,2017,116503291567.187
bel,2018,121943455172.5
bel,2019,124520742666.133
bel,2020,115381574034.76601
ben,1960,127129500.0359
ben,1961,126014896.52186
ben,1962,123785012.30634
ben,1963,134936288.49946
ben,1964,121554270.57858
ben,1965,114874247.8574
ben,1966,119336120.07765
ben,1967,161716251.09189
ben,1968,176215887.958
ben,1969,185138043.73065
ben,1970,172868641.87318
ben,1971,167658126.57168
ben,1972,242857840.74205
ben,1973,245987469.06244
ben,1974,360351066.68831
ben,1975,360635645.05752
ben,1976,367463901.86439
ben,1977,338161256.7207
ben,1978,319290331.91749
ben,1979,457077342.84306
ben,1980,624734472.61939
ben,1981,710935592.886
ben,1982,1017313502.52431
ben,1983,595778862.85426
ben,1984,439795954.71238
ben,1985,319574914.16465
ben,1986,473275231.8699
ben,1987,439035079.59965
ben,1988,461861855.53572
ben,1989,354244992.07737
ben,1990,517954095.62096
ben,1991,566456728.10602
ben,1992,552704850.22539
ben,1993,584761906.43724
ben,1994,589042468.54384
ben,1995,813660330.47046
