geo,time,eg_elc_ngas_zs
ago,1971,0
ago,1972,0
ago,1973,0
ago,1974,0
ago,1975,0
ago,1976,0
ago,1977,0
ago,1978,0
ago,1979,0
ago,1980,0
ago,1981,0
ago,1982,0
ago,1983,0
ago,1984,0
ago,1985,0
ago,1986,0
ago,1987,0
ago,1988,0
ago,1989,0
ago,1990,0
ago,1991,0
ago,1992,0
ago,1993,0
ago,1994,0
ago,1995,0
ago,1996,0
ago,1997,0
ago,1998,0
ago,1999,0
ago,2000,0
ago,2001,0
ago,2002,0
ago,2003,0
ago,2004,0
ago,2005,0
ago,2006,0
ago,2007,0
ago,2008,0
ago,2009,0
ago,2010,0
ago,2011,0
ago,2012,0
ago,2013,0
ago,2014,0
ago,2015,0
alb,1971,0
alb,1972,0
alb,1973,0
alb,1974,0
alb,1975,0
alb,1976,0
alb,1977,0
alb,1978,0
alb,1979,0
alb,1980,0
alb,1981,0
alb,1982,0
alb,1983,0
alb,1984,0
alb,1985,0
alb,1986,0
alb,1987,0
alb,1988,0
alb,1989,0
alb,1990,0
alb,1991,0
alb,1992,0
alb,1993,0
alb,1994,0
alb,1995,0
alb,1996,0
alb,1997,0
alb,1998,0
alb,1999,0
alb,2000,0
alb,2001,0
alb,2002,0
alb,2003,0
alb,2004,0
alb,2005,0
alb,2006,0
alb,2007,0
alb,2008,0
alb,2009,0
alb,2010,0
alb,2011,0
alb,2012,0
alb,2013,0
alb,2014,0
alb,2015,0
are,1971,100
are,1972,100
are,1973,100
are,1974,100
are,1975,100
are,1976,100
are,1977,96.2775
are,1978,96.28055
are,1979,96.29333
are,1980,96.28925
are,1981,96.27217
are,1982,96.28716
are,1983,96.28242
are,1984,96.28182
are,1985,96.29167
are,1986,96.27751
are,1987,96.28762
are,1988,96.28032
are,1989,96.29772
are,1990,96.29391
are,1991,96.29416
are,1992,96.29729
are,1993,96.29084
are,1994,96.29255
are,1995,96.89376
are,1996,96.63179
are,1997,95.8662
are,1998,96.34943
are,1999,96.61154
are,2000,96.91067
are,2001,97.20189
are,2002,97.23621
are,2003,97.25581
are,2004,97.66488
are,2005,97.86484
are,2006,97.96759
are,2007,98.13681
are,2008,98.29469
are,2009,98.41123
are,2010,98.52141
are,2011,98.59992
are,2012,98.62086
are,2013,98.59634
are,2014,98.47762
are,2015,98.52551
arg,1971,22.92584
arg,1972,23.18818
arg,1973,24.54147
arg,1974,23.30233
arg,1975,24.88157
arg,1976,25.66852
arg,1977,24.79869
arg,1978,19.89891
arg,1979,19.70192
arg,1980,22.02186
arg,1981,22.42591
arg,1982,25.65813
arg,1983,24.42155
arg,1984,24.56523
arg,1985,27.44726
arg,1986,27.07793
arg,1987,24.08002
arg,1988,40.33419
arg,1989,48.14595
arg,1990,39.16437
arg,1991,39.16416
arg,1992,37.25595
arg,1993,35.6941
arg,1994,33.9281
arg,1995,39.55383
arg,1996,46.51006
arg,1997,44.15475
arg,1998,45.94931
arg,1999,56.49645
arg,2000,54.6474
arg,2001,47.71126
arg,2002,47.68451
arg,2003,51.71031
arg,2004,54.80158
arg,2005,52.44618
arg,2006,46.29032
arg,2007,51.04687
arg,2008,54.21861
arg,2009,51.22991
arg,2010,49.98204
arg,2011,44.8188
arg,2012,48.31413
arg,2013,47.23536
arg,2014,48.19968
arg,2015,49.48226
arm,1990,16.4061
arm,1991,28.05801
arm,1992,22.87872
arm,1993,23.12947
arm,1994,26.65253
arm,1995,52.38266
arm,1996,35.25909
arm,1997,49.97512
arm,1998,49.50735
arm,1999,42.66224
arm,2000,45.18295
arm,2001,48.56397
arm,2002,28.61026
arm,2003,27.64952
arm,2004,30.36484
arm,2005,28.93779
arm,2006,24.8443
arm,2007,25.24585
arm,2008,26.16984
arm,2009,20.34914
arm,2010,22.15375
arm,2011,32.16689
arm,2012,42.29716
arm,2013,41.15435
arm,2014,42.43871
arm,2015,35.91486
aus,1960,0
aus,1961,0
aus,1962,0.01222
aus,1963,0.01826
aus,1964,0.02301
aus,1965,0.02092
aus,1966,0.02224
aus,1967,0.02055
aus,1968,0.01676
aus,1969,0.01973
aus,1970,0.86673
aus,1971,3.26892
aus,1972,3.48128
aus,1973,4.27101
aus,1974,5.21817
aus,1975,4.00114
aus,1976,4.65363
aus,1977,5.002
aus,1978,6.38856
aus,1979,6.87643
aus,1980,7.32511
aus,1981,9.3026
aus,1982,9.74112
aus,1983,9.47336
aus,1984,10.57451
aus,1985,9.6114
aus,1986,10.99431
aus,1987,10.63616
aus,1988,10.64254
aus,1989,10.28542
aus,1990,9.30668
aus,1991,6.88148
aus,1992,7.31056
aus,1993,7.53204
aus,1994,7.29741
aus,1995,8.62996
aus,1996,7.02017
aus,1997,6.25743
aus,1998,6.63217
aus,1999,7.858
aus,2000,7.74073
aus,2001,7.70116
aus,2002,13.95474
aus,2003,13.31725
aus,2004,13.54831
aus,2005,10.42405
aus,2006,9.76509
aus,2007,13.10772
aus,2008,14.38045
aus,2009,16.15188
aus,2010,17.64687
aus,2011,19.29722
aus,2012,19.34307
aus,2013,20.45261
aus,2014,21.90974
aus,2015,20.79548
aut,1960,8.29556
aut,1961,7.92404
aut,1962,7.924
aut,1963,8.07798
aut,1964,7.35324
aut,1965,6.12301
aut,1966,7.281
aut,1967,6.44894
aut,1968,6.81648
aut,1969,10.18779
aut,1970,12.41874
aut,1971,16.25062
aut,1972,15.10458
aut,1973,14.31945
aut,1974,13.71052
aut,1975,13.01062
aut,1976,15.89826
aut,1977,15.02357
aut,1978,14.36155
aut,1979,11.95363
aut,1980,9.19231
aut,1981,7.95342
aut,1982,9.8094
aut,1983,8.15067
aut,1984,11.24259
aut,1985,11.35065
aut,1986,11.58333
aut,1987,11.39913
aut,1988,11.86525
aut,1989,13.29875
aut,1990,15.66253
aut,1991,14.88013
aut,1992,13.29222
aut,1993,13.21757
aut,1994,16.58575
aut,1995,16.15136
aut,1996,17.55516
aut,1997,15.20338
aut,1998,15.85942
aut,1999,15.50504
aut,2000,13.11254
aut,2001,14.32197
aut,2002,15.32797
aut,2003,19.21614
aut,2004,17.68096
aut,2005,20.20407
aut,2006,17.12905
aut,2007,15.71281
aut,2008,17.32709
aut,2009,18.6124
aut,2010,21.12492
aut,2011,19.97366
aut,2012,14.13331
aut,2013,10.30209
aut,2014,8.77207
aut,2015,12.6014
aze,1990,58.4226
aze,1991,54.55864
aze,1992,33.15792
aze,1993,26.94872
aze,1994,18.31996
aze,1995,18.58132
aze,1996,18.58138
aze,1997,18.53172
aze,1998,19.74108
aze,1999,19.55876
aze,2000,19.84598
aze,2001,59.38851
aze,2002,58.22683
aze,2003,52.706
aze,2004,59.05997
aze,2005,61.17086
aze,2006,64.84537
aze,2007,70.90676
aze,2008,81.73543
aze,2009,85.12296
aze,2010,81.45377
aze,2011,85.14832
aze,2012,89.89038
aze,2013,92.9648
aze,2014,93.86121
aze,2015,86.08231
bel,1960,0.27719
bel,1961,0.31817
bel,1962,0.21089
bel,1963,0.12226
bel,1964,0.12165
bel,1965,0.13531
bel,1966,0.15895
bel,1967,1.4267
bel,1968,0.80121
bel,1969,4.94085
bel,1970,13.28506
bel,1971,18.57568
bel,1972,20.76632
bel,1973,23.70307
bel,1974,25.71962
bel,1975,21.96825
bel,1976,19.56157
bel,1977,16.04045
bel,1978,13.25976
bel,1979,14.01406
bel,1980,11.24108
bel,1981,9.8
bel,1982,4.72008
bel,1983,7.12179
bel,1984,5.20209
bel,1985,4.23577
bel,1986,1.68862
bel,1987,3.3597
bel,1988,3.94943
bel,1989,8.03565
bel,1990,7.68935
bel,1991,8.73205
bel,1992,9.33763
bel,1993,9.72198
bel,1994,11.59922
bel,1995,13.84869
bel,1996,14.65304
bel,1997,14.81743
bel,1998,18.31983
bel,1999,23.06816
bel,2000,19.30219
bel,2001,20.07174
bel,2002,22.07588
bel,2003,25.86015
bel,2004,25.46086
bel,2005,26.65881
bel,2006,27.29407
bel,2007,29.00329
bel,2008,29.48686
bel,2009,32.63702
bel,2010,33.48502
bel,2011,28.57753
bel,2012,28.84797
bel,2013,25.46614
bel,2014,27.01743
bel,2015,32.80612
ben,1973,0
ben,1974,0
ben,1975,0
ben,1976,0
ben,1977,0
ben,1978,0
ben,1979,0
ben,1980,0
ben,1981,0
ben,1982,0
ben,1983,0
ben,1984,0
ben,1985,0
ben,1986,0
ben,1987,0
ben,1988,0
ben,1989,0
ben,1990,0
ben,1991,0
ben,1992,0
ben,1993,0
ben,1994,0
ben,1995,0
ben,1996,0
ben,1997,0
ben,1998,0
ben,1999,0
ben,2000,0
ben,2001,0
ben,2002,0
ben,2003,0
ben,2004,0
ben,2005,0
ben,2006,0
ben,2007,0
ben,2008,0
ben,2009,0
ben,2010,0
ben,2011,0
ben,2012,0
ben,2013,0
ben,2014,0
ben,2015,0
bgd,1971,39.90291
bgd,1972,39.90291
bgd,1973,34.68661
bgd,1974,48.35378
bgd,1975,40.56546
bgd,1976,39.28773
bgd,1977,46.53568
bgd,1978,43.35286
bgd,1979,45.62864
bgd,1980,48.61878
bgd,1981,50.45079
bgd,1982,57.90514
bgd,1983,62.30702
bgd,1984,58.85023
bgd,1985,64.2447
bgd,1986,63.16667
bgd,1987,75.69357
bgd,1988,77.58752
bgd,1989,78.87561
bgd,1990,84.26022
bgd,1991,88.10157
bgd,1992,86.59771
bgd,1993,86.60656
bgd,1994,84.63818
bgd,1995,88.02517
bgd,1996,87.10127
bgd,1997,84.50835
bgd,1998,84.58314
bgd,1999,84.96886
bgd,2000,88.78321
bgd,2001,87.55175
bgd,2002,89.24725
bgd,2003,89.4582
bgd,2004,91.10319
bgd,2005,90.78156
bgd,2006,90.97558
bgd,2007,89.89518
bgd,2008,89.81238
bgd,2009,91.61578
bgd,2010,92.69674
bgd,2011,86.66002
bgd,2012,84.13574
bgd,2013,83.14947
bgd,2014,82.01092
bgd,2015,80.7036
bgr,1971,0
bgr,1972,0
bgr,1973,0
bgr,1974,0
bgr,1975,0
bgr,1976,0
bgr,1977,0
bgr,1978,0
bgr,1979,0
bgr,1980,0
bgr,1981,0
bgr,1982,0
bgr,1983,0
bgr,1984,0
bgr,1985,7.82331
bgr,1986,5.60019
bgr,1987,6.44078
bgr,1988,19.32432
bgr,1989,18.67894
bgr,1990,7.56508
bgr,1991,7.06035
bgr,1992,7.76748
bgr,1993,8.00063
bgr,1994,6.70286
bgr,1995,7.68145
bgr,1996,6.98333
bgr,1997,4.72068
bgr,1998,4.85259
bgr,1999,5.28683
bgr,2000,4.70403
bgr,2001,4.38278
bgr,2002,3.6496
bgr,2003,4.16273
bgr,2004,3.60643
bgr,2005,3.93205
bgr,2006,4.74485
bgr,2007,5.44053
bgr,2008,5.29338
bgr,2009,4.62707
bgr,2010,4.27451
bgr,2011,4.15209
bgr,2012,5.05807
bgr,2013,5.43082
bgr,2014,4.56454
bgr,2015,3.82422
bhr,1971,100
bhr,1972,100
bhr,1973,100
bhr,1974,100
bhr,1975,100
bhr,1976,100
bhr,1977,100
bhr,1978,100
bhr,1979,100
bhr,1980,100
bhr,1981,100
bhr,1982,100
bhr,1983,100
bhr,1984,100
bhr,1985,100
bhr,1986,100
bhr,1987,100
bhr,1988,100
bhr,1989,100
bhr,1990,100
bhr,1991,100
bhr,1992,100
bhr,1993,100
bhr,1994,100
bhr,1995,100
bhr,1996,100
bhr,1997,100
bhr,1998,100
bhr,1999,100
bhr,2000,100
bhr,2001,100
bhr,2002,100
bhr,2003,100
bhr,2004,100
bhr,2005,100
bhr,2006,97.55727
bhr,2007,98.83555
bhr,2008,99.97809
bhr,2009,100
bhr,2010,100
bhr,2011,100
bhr,2012,100
bhr,2013,99.97299
bhr,2014,99.97431
bhr,2015,99.9684
bih,1990,0
bih,1991,0
bih,1992,0
bih,1993,0
bih,1994,0
bih,1995,0
bih,1996,0
bih,1997,0
bih,1998,0
bih,1999,0
bih,2000,0
bih,2001,0
bih,2002,0
bih,2003,0
bih,2004,0
bih,2005,0
bih,2006,0
bih,2007,0
bih,2008,0
bih,2009,0.41486
bih,2010,0.31535
bih,2011,0.32068
bih,2012,0.36927
bih,2013,0.21775
bih,2014,0.18564
bih,2015,0.19195
blr,1990,52.1353
blr,1991,51.87815
blr,1992,68.97992
blr,1993,71.95001
blr,1994,72.00688
blr,1995,71.83161
blr,1996,80.38183
blr,1997,86.51802
blr,1998,86.638
blr,1999,87.84885
blr,2000,93.32976
blr,2001,94.07094
blr,2002,94.75355
blr,2003,95.80125
blr,2004,95.02403
blr,2005,96.8315
blr,2006,94.97344
blr,2007,99.03861
blr,2008,96.88998
blr,2009,81.70266
blr,2010,97.14572
blr,2011,98.25776
blr,2012,96.71418
blr,2013,98.41305
blr,2014,98.00489
blr,2015,97.86691
bol,1971,2.88462
bol,1972,3.44219
bol,1973,4.35525
bol,1974,5.89159
bol,1975,7.57238
bol,1976,8.98329
bol,1977,13.58491
bol,1978,15.1656
bol,1979,18.11196
bol,1980,19.64175
bol,1981,20.14428
bol,1982,20.29412
bol,1983,21.68469
bol,1984,20.95344
bol,1985,23.47973
bol,1986,26.93145
bol,1987,31.99129
bol,1988,32.35747
bol,1989,36.78435
bol,1990,38.94418
bol,1991,38.18102
bol,1992,40.42289
bol,1993,39.68314
bol,1994,49.82295
bol,1995,54.45512
bol,1996,52.96479
bol,1997,52.39055
bol,1998,54.79784
bol,1999,50.73435
bol,2000,47.70619
bol,2001,43.96985
bol,2002,44.83748
bol,2003,51.56971
bol,2004,50.03316
bol,2005,57.43464
bol,2006,56.4717
bol,2007,56.53994
bol,2008,56.93657
bol,2009,58.81392
bol,2010,64.11391
bol,2011,64.21053
bol,2012,65.67028
bol,2013,65.98884
bol,2014,69.99429
bol,2015,66.34615
bra,1971,0
bra,1972,0
bra,1973,0
bra,1974,0
bra,1975,0
bra,1976,0
bra,1977,0
bra,1978,0
bra,1979,0
bra,1980,0
bra,1981,0
bra,1982,0
bra,1983,0
bra,1984,0
bra,1985,0
