geo,time,bn_res_incl_cd
abw,1986,51284916.20112
abw,1987,12905027.93296
abw,1988,-391061.45251
abw,1989,21508379.88827
abw,1990,11675977.65363
abw,1991,22849162.01117
abw,1992,22569832.40223
abw,1993,33407821.22905
abw,1994,-3184357.5419
abw,1995,42737430.1676
abw,1996,-26089385.47486
abw,1997,-18435754.18994
abw,1998,51284916.20112
abw,1999,2849162.01117
abw,2000,-14972067.03911
abw,2001,82793296.08939
abw,2002,40223463.68715
abw,2003,-36368715.0838
abw,2004,1564245.81006
abw,2005,-22178770.94972
abw,2006,55139664.80447
abw,2007,43184357.5419
abw,2008,225307262.56983
abw,2009,34189944.13408
abw,2010,-10558659.21788
abw,2011,-36256983.24022
abw,2012,66312849.16201
abw,2013,-43128491.62011
abw,2014,9217877.09497
abw,2015,145586592.17877
abw,2016,97986033.51955
abw,2017,-28810614.52514
abw,2018,71667597.76536
abw,2019,-36468156.42458
abw,2020,188374860.3352
afg,1979,1253419.76855
afg,1980,-65550704.61251
afg,1981,-32083667.62737
afg,1982,-7967660.03784
afg,1983,-59300556.61459
afg,1984,70177084.94824
afg,1985,26013474.62825
afg,1986,-18726810.90308
afg,1987,10794321.20503
afg,1988,-25631021.15491
afg,1989,-20078557.55492
afg,2008,1377511878.04595
afg,2009,920342775.65031
afg,2010,1016877189.1518
afg,2011,1055621138.06383
afg,2012,688202322.60443
afg,2013,281071551.41639
afg,2014,374118210.43809
afg,2015,-259017824.81139
afg,2016,657209296.35005
afg,2017,600509455.11278
afg,2018,207843889.05358
afg,2019,96781510.99034
afg,2020,499584742.94535
ago,1985,-6000000
ago,1986,-259000000
ago,1987,-332000000
ago,1988,-925000000
ago,1989,-930000000
ago,1990,-1208893872.46123
ago,1991,-1499886564.91831
ago,1992,-1164720000
ago,1993,-1319887600.02276
ago,1994,-1027693498.76679
ago,1995,-1239260538.18843
ago,1996,2761026638.0312
ago,1997,-604263662.69196
ago,1998,-1111973165.08488
ago,1999,-42934074.28908
ago,2000,317847277.51166
ago,2001,-785593379.48808
ago,2002,-770141900.34838
ago,2003,-5756583.66795
ago,2004,1956693038.62207
ago,2005,1437689164.22983
ago,2006,6973399469.05975
ago,2007,3104979591.13699
ago,2008,7183503715.35803
ago,2009,-5326383283.15636
ago,2010,5558086304.38929
ago,2011,8448917670.1662
ago,2012,3981174408.03166
ago,2013,33091311.40443
ago,2014,-3430095247.55253
ago,2015,-2693890749.83477
ago,2016,526109716.60445
ago,2017,-4873535654.67814
ago,2018,-1515475183.9383
ago,2019,472055569.28598
ago,2020,-4428395980.51747
alb,1980,3400000
alb,1981,26200000
alb,1982,-13500000
alb,1983,-41200000
alb,1984,-12000000
alb,1985,-17600000
alb,1986,-1400000
alb,1987,11600000
alb,1988,134200000
alb,1989,324900000
alb,1990,-238000000
alb,1991,-224000000
alb,1992,-35510749.74218
alb,1993,48717954.4048
alb,1994,6767162.10884
alb,1995,20589072.9287
alb,1996,55900488.46834
alb,1997,39523205.54902
alb,1998,52434321.93102
alb,1999,107092163.06003
alb,2000,119893129.16132
alb,2001,146676540.97973
alb,2002,35608947.77851
alb,2003,98138508.72147
alb,2004,286082616.88102
alb,2005,147780091.6207
alb,2006,269227854.07451
alb,2007,19666832.02677
alb,2008,277310269.98219
alb,2009,-28331955.42709
alb,2010,250020160.71575
alb,2011,-24524879.64152
alb,2012,106170767.8291
alb,2013,146770503.45393
alb,2014,66314343.33717
alb,2015,576420370.16587
alb,2016,-108936777.28472
alb,2017,111171225.00218
alb,2018,426180794.48886
alb,2019,-68253363.35961
alb,2020,554338304.10841
arg,1976,-121172303.24936
arg,1977,1865339151.6681
arg,1978,1798195075.07056
arg,1979,4109717305.93224
arg,1980,-2703340969.05016
arg,1981,-3493175441.19269
arg,1982,-4725993665.12697
arg,1983,-5274353983.0462
arg,1984,-2292631830.92379
arg,1985,-845760915.98555
arg,1986,-2147123648.39702
arg,1987,-4246895847.45313
arg,1988,-1368004571.41514
arg,1989,-9637314815.34451
arg,1990,-617368508.04902
arg,1991,-806358640.11307
arg,1992,1893776855.62617
arg,1993,11122138697.3889
arg,1994,-674804196.92621
arg,1995,-2311330132.45115
arg,1996,3257679921.6301
arg,1997,3330546468.77524
arg,1998,4090230254.97002
arg,1999,2012645912.31601
arg,2000,-1176457760.40026
arg,2001,-21404933904.0299
arg,2002,-13402458585.0922
arg,2003,-9077357027.0564
arg,2004,-6993391088.60057
arg,2005,7653448111.03271
arg,2006,13123934860.7097
arg,2007,13090568797.1051
arg,2008,18831755.17364
arg,2009,1334413432.70693
arg,2010,4156732697.47914
arg,2011,-6106834854.05212
arg,2012,-3304123015.57476
arg,2013,-11823878353.1238
arg,2014,1194519835.79408
arg,2015,-4905102921.02097
arg,2016,14324709800.7109
arg,2017,14532078459.0391
arg,2018,-17064791864.2668
arg,2019,-37574995265.3496
arg,2020,-6912917524.90573
arm,1993,44553079.77634
arm,1994,-3266029.83814
arm,1995,29522740.14745
arm,1996,-45458425.65407
arm,1997,50022216.42513
arm,1998,603013.4839
arm,1999,4789784.7305
arm,2000,16911989.40356
arm,2001,16717205.55582
arm,2002,69882651.58037
arm,2003,70881596.81306
arm,2004,56199723.73558
arm,2005,238670581.0912
arm,2006,301051429.12254
arm,2007,563194343.11875
arm,2008,-194589140.88396
arm,2009,159582971.89818
arm,2010,-266857715.86435
arm,2011,8623873.56738
arm,2012,-891448.61065
arm,2013,661682046.253
arm,2014,-545003831.77398
arm,2015,341162797.08686
arm,2016,446805454.63218
arm,2017,79047197.63435
arm,2018,30634752.83895
arm,2019,664997569.85578
arm,2020,-518635498.89835
atg,1977,-4462962.96296
atg,1978,770370.37037
atg,1979,4959259.25926
atg,1980,-3814814.81481
atg,1981,-1881481.48148
atg,1982,-3195404.57995
atg,1983,-6100000
atg,1984,-400000
atg,1985,-2900000
atg,1986,10144444.44444
atg,1987,-2485185.18519
atg,1988,2622222.22222
atg,1989,40740.74074
atg,1990,-592592.59259
atg,1991,5259259.25926
atg,1992,17981481.48148
atg,1993,-11844931.62819
atg,1994,8075288.98954
atg,1995,13589190.96441
atg,1996,-11259001.59728
atg,1997,2955811.13967
atg,1998,8885459.76821
atg,1999,10387017.14074
atg,2000,-6161673.51481
atg,2001,15997302.42663
atg,2002,7727943.38576
atg,2003,26151001.19818
atg,2004,6420553.35887
atg,2005,7236016.15927
atg,2006,15361682.05589
atg,2007,368499.71091
atg,2008,-5825782.09527
atg,2009,-10109345.87353
atg,2010,-19911096.96238
atg,2011,-42673.40735
atg,2012,-14395696.64681
atg,2013,12470964.06737
atg,2014,112456350.23557
atg,2015,77548197.03192
atg,2016,-4604095.73481
atg,2017,6911020.06685
atg,2018,23590300.41246
atg,2019,-49610953.44666
atg,2020,-57344734.52522
aus,1989,600660909.12306
aus,1990,1740259727.48361
aus,1991,-324280511.35507
aus,1992,-4726149879.70085
aus,1993,-41559804.29214
aus,1994,-959833840.84772
aus,1995,395946681.16446
aus,1996,2471470051.69018
aus,1997,2873246875.93736
aus,1998,-2040031869.2805
aus,1999,6705487009.03035
aus,2000,-1364727992.70446
aus,2001,1095681814.29711
aus,2002,122652204.7031
aus,2003,6877695294.03897
aus,2004,1165917143.96884
aus,2005,7254250529.89022
aus,2006,9722732788.39242
aus,2007,-35146509942.1927
aus,2008,3691241260.0673
aus,2009,8549234289.55311
aus,2010,429957791.60107
aus,2011,4546171498.24162
aus,2012,2535523859.75924
aus,2013,5507376949.9587
aus,2014,3644006482.54132
aus,2015,-2345772739.79442
aus,2016,7854443320.66182
aus,2017,8735418216.32782
aus,2018,-11082782427.2956
aus,2019,3025659846.03987
aus,2020,-16213909393.2762
aut,2005,-750734991.33788
aut,2006,-873856752.51137
aut,2007,2525645452.37217
aut,2008,-837476130.85279
aut,2009,-1053804164.88628
aut,2010,1445048886.7081
aut,2011,992083717.98559
aut,2012,1243471715.23464
aut,2013,525522398.76234
aut,2014,2891314631.84839
aut,2015,-363231367.50949
aut,2016,534419743.34877
aut,2017,-3497680858.27828
aut,2018,2620758657.9815
aut,2019,-206071045.81526
aut,2020,1739967693.89875
aut,2021,4861185160.4091
aze,1995,57809321.90623
aze,1996,-85047198.9617
aze,1997,139165499.72974
aze,1998,-59239129.29594
aze,1999,132890028.50224
aze,2000,325587886.70314
aze,2001,73374965.10535
aze,2002,34210516.14314
aze,2003,123822595.0288
aze,2004,316979201.06325
aze,2005,160501406.54198
aze,2006,1342587793.41034
aze,2007,1781322446.25681
aze,2008,2459504299.46435
aze,2009,-962986222.23961
aze,2010,1370028919.28642
aze,2011,4185529225.38605
aze,2012,1105832066.89394
aze,2013,2232675908.06232
aze,2014,213520808.65059
aze,2015,-8428845766.93753
aze,2016,-992410843.61267
aze,2017,1294781737.06938
aze,2018,318675623.94651
aze,2019,642373814.33208
aze,2020,75627854.99544
bdi,1985,15853704.59171
bdi,1986,28508990.23252
bdi,1987,-2648297.39635
bdi,1988,7122120.594
bdi,1989,37979849.83147
bdi,1990,-3226484.33518
bdi,1991,32575073.64441
bdi,1992,25530059.1528
bdi,1993,16031787.63005
bdi,1994,35157451.88443
bdi,1995,36675074.50679
bdi,1996,-35332514.17287
bdi,1997,-80693088.89107
bdi,1998,-124606829.07767
bdi,1999,-92214735.80884
bdi,2000,-144821098.04812
bdi,2001,-143500302.04476
bdi,2002,-149938583.03705
bdi,2003,-196131557.8807
bdi,2004,-190336930.73969
bdi,2005,-292745233.26535
bdi,2006,-289341762.42797
bdi,2007,50974315.95339
bdi,2008,88054112.53545
bdi,2009,81580892.56986
bdi,2010,-9319972.5801
bdi,2011,-35206688.71963
bdi,2012,27575443.00669
bdi,2013,14699038.96671
bdi,2014,-2345906.2907
bdi,2015,-160907132.79779
bdi,2016,-18954359.51662
bdi,2017,24469949.70276
bdi,2018,-11594734.42439
bel,2002,-35251332.10396
bel,2003,-1726536622.73943
bel,2004,-722956911.44621
bel,2005,-2174985727.43645
bel,2006,154977964.44937
bel,2007,1225328799.74597
bel,2008,-1319660196.68526
bel,2009,6969879679.3664
bel,2010,820363790.70027
bel,2011,1498216713.21493
bel,2012,668325655.85803
bel,2013,-471812505.62523
bel,2014,-1356504920.30662
bel,2015,-1074868079.48946
bel,2016,-1011795232.14286
bel,2017,1232746048.21636
bel,2018,859775276.78862
bel,2019,55223619.26095
bel,2020,1029053094.76795
bel,2021,9686190789.68186
ben,1974,461146.02217
ben,1975,-19854147.8055
ben,1976,-2803884.76539
ben,1977,-3898779.95961
ben,1978,-19200843.09548
ben,1979,-1485337.05361
ben,1980,-20350807.09869
ben,1981,33228753.61205
ben,1982,-48079747.03266
ben,1983,-37430276.97955
ben,1984,-23340054.54345
ben,1985,-29451137.26736
ben,1986,-79249688.62558
ben,1987,-52275668.27315
ben,1988,-159867135.25656
ben,1989,-202257099.22127
ben,1990,-99557269.61648
ben,1991,-265339712.12319
ben,1992,-65021747.43527
ben,1993,-156130229.78869
ben,1994,18079446.2619
ben,1995,-253834595.27675
ben,1996,-148959536.56418
ben,1997,-99969890.07269
ben,1998,-86702102.4277
ben,1999,-88774551.46152
ben,2000,-20321991.62639
ben,2001,-68800321.61246
ben,2002,-261783355.02502
ben,2003,-100234208.78038
ben,2004,-299300091.04326
ben,2005,-51634026.01891
ben,2006,-1117068686.13185
ben,2007,-177542022.12251
ben,2008,-148887022.154
ben,2009,-423251960.59599
ben,2010,-294432496.89757
ben,2011,-531817790.95593
ben,2012,-394844095.97266
ben,2013,-52731019.24673
ben,2014,106114616.42293
ben,2015,79565511.33243
ben,2016,-564894687.64241
ben,2017,444307544.20019
ben,2018,234779044.75203
ben,2019,26745824.77672
ben,2020,14585802.64681
bfa,2005,-465725605.81719
bfa,2006,-68354320.82949
bfa,2007,-130676409.40583
bfa,2008,-557846889.64856
bfa,2009,-362807736.83164
bfa,2010,-734160216.06114
bfa,2011,-102359565.32902
bfa,2012,-18564909.0387
bfa,2013,-424577454.48844
bfa,2014,-282931020.15873
bfa,2015,13636236.79989
