global,time,ne_con_prvt_kd_zg
world,1971,4.56934
world,1972,5.9417
world,1973,5.45195
world,1974,1.28595
world,1975,2.41263
world,1976,4.93968
world,1977,3.69536
world,1978,4.03033
world,1979,3.71723
world,1980,1.75966
world,1981,1.6149
world,1982,1.45992
world,1983,3.21607
world,1984,3.5977
world,1985,3.63642
world,1986,3.66896
world,1987,3.39172
world,1988,4.19661
world,1989,3.26425
world,1990,3.25687
world,1991,1.55809
world,1992,2.84763
world,1993,2.0628
world,1994,3.14072
world,1995,2.83209
world,1996,3.73947
world,1997,3.33877
world,1998,3.14063
world,1999,3.94246
world,2000,4.30038
world,2001,2.8447
world,2002,2.64352
world,2003,2.8366
world,2004,3.78449
world,2005,3.93703
world,2006,3.51178
world,2007,4.19666
world,2008,1.70243
world,2009,-0.08213
world,2010,3.23293
world,2011,3.14788
world,2012,2.42852
world,2013,2.75119
world,2014,2.85233
world,2015,2.93892
world,2016,2.9436
world,2017,3.44432
world,2018,3.3347
world,2019,2.53099
world,2020,-5.02186
