geo,time,si_rmt_cost_ib_zs
afg,2016,8.52317
afg,2017,9.8786
afg,2018,9.22503
afg,2019,9.71966
afg,2020,9.89368
ago,2011,17.88319
ago,2012,20.33902
ago,2013,18.59
ago,2014,19.55328
ago,2015,16.5917
ago,2016,16.48609
ago,2017,18.70361
ago,2018,19.37169
ago,2019,19.52031
ago,2020,22.03599
alb,2011,7.87997
alb,2012,7.36649
alb,2013,8.49
alb,2014,8.11439
alb,2015,7.89524
alb,2016,8.38489
alb,2017,8.38417
alb,2018,8.39968
alb,2019,9.15905
alb,2020,8.58957
arm,2011,1.83175
arm,2012,1.71852
arm,2013,1.75
arm,2014,1.28849
arm,2015,1.47932
arm,2016,3.24201
arm,2017,3.97019
arm,2018,5.65546
arm,2019,5.01624
arm,2020,5.09813
aze,2011,2.34321
aze,2012,2.0873
aze,2013,1.78
aze,2014,1.49175
aze,2015,1.12776
aze,2016,1.34117
aze,2017,1.04195
aze,2018,1.31911
aze,2019,1
aze,2020,0.99667
ben,2016,10.06926
ben,2017,18.29975
ben,2018,12.28135
ben,2019,9.56004
ben,2020,17.35026
bgd,2011,3.97212
bgd,2012,4.35981
bgd,2013,4.78
bgd,2014,4.4944
bgd,2015,4.16417
bgd,2016,4.12394
bgd,2017,4.42196
bgd,2018,4.92761
bgd,2019,4.11708
bgd,2020,4.57092
bgr,2011,9.09691
bgr,2012,9.74439
bgr,2013,12.04
bgr,2014,10.76241
bgr,2015,9.16486
bgr,2016,8.86858
bgr,2017,8.17683
bgr,2018,8.58702
bgr,2019,8.24258
bgr,2020,7.58932
bih,2011,13.92934
bih,2012,10.4172
bih,2013,12.35
bih,2014,8.27121
bih,2015,7.2807
bih,2016,9.2699
bih,2017,6.49763
bih,2018,6.89608
bih,2019,7.56883
bih,2020,7.26668
blr,2011,2.40397
blr,2012,2.23254
blr,2013,2.1
blr,2014,1.62257
blr,2015,1.36226
blr,2016,1.38924
blr,2017,1.33965
blr,2018,1.55095
blr,2019,1.75
blr,2020,1.598
bol,2011,11.51758
bol,2012,5.54578
bol,2013,3.88
bol,2014,2.91491
bol,2015,7.10998
bol,2016,5.52671
bol,2017,4.09501
bol,2018,5.91575
bol,2019,5.40902
bol,2020,5.98062
bra,2011,13.41872
bra,2012,12.99323
bra,2013,11.94
bra,2014,7.65889
bra,2015,7.00663
bra,2016,6.81088
bra,2017,6.33048
bra,2018,7.0563
bra,2019,7.63284
bra,2020,6.89653
bwa,2011,19.57251
bwa,2012,22.69164
bwa,2013,18.31
bwa,2014,22.14349
bwa,2015,19.71307
bwa,2016,19.23098
bwa,2017,19.14607
bwa,2018,18.1662
bwa,2019,18.43146
bwa,2020,20.72766
chn,2011,11.92306
chn,2012,12.01151
chn,2013,11.99
chn,2014,10.48884
chn,2015,10.17998
chn,2016,10.24066
chn,2017,9.99808
chn,2018,7.98817
chn,2019,9.04422
chn,2020,8.43351
civ,2011,12.02899
