global,time,sh_sta_pois_p5_fe
world,2000,1.0725
world,2001,1.08518
world,2002,1.07749
world,2003,1.06524
world,2004,1.07763
world,2005,1.05127
world,2006,1.05851
world,2007,1.04804
world,2008,1.06894
world,2009,1.01766
world,2010,1.01767
world,2011,0.99115
world,2012,0.96358
world,2013,0.93563
world,2014,0.90942
world,2015,0.87967
world,2016,0.87561
world,2017,0.86809
world,2018,0.83753
world,2019,0.82434
