global,time,ag_con_fert_pt_zs
world,1961,90.63196
world,1962,94.04627
world,1963,92.74222
world,1964,90.8147
world,1965,89.03853
world,1966,91.5998
world,1967,91.99089
world,1968,93.72535
world,1969,93.65685
world,1970,95.68022
world,1971,95.47095
world,1972,95.75931
world,1973,97.24897
world,1974,90.00595
world,1975,99.28746
world,1976,98.17011
world,1977,97.87172
world,1978,97.36531
world,1979,95.77643
world,1980,95.32513
world,1981,100.17165
world,1982,99.76544
world,1983,96.89708
world,1984,95.81966
world,1985,97.54006
world,1986,94.82112
world,1987,93.16481
world,1988,94.01172
world,1989,96.06358
world,1990,97.04672
world,1991,97.47086
world,1992,88.85581
world,1993,88.45512
world,1994,88.31387
world,1995,88.34239
world,1996,89.00433
world,1997,92.29868
world,1998,92.36297
world,1999,93.46243
world,2000,92.57368
world,2001,92.52847
world,2002,94.97736
world,2003,94.91598
world,2004,94.18495
world,2005,93.56161
world,2006,94.98448
world,2007,93.7247
world,2008,94.15738
world,2009,98.28189
world,2010,91.25381
world,2011,94.11688
world,2012,93.58125
world,2013,93.99923
world,2014,92.56194
world,2015,88.62322
world,2016,90.59523
world,2017,91.33932
world,2018,90.37083
