global,time,tm_tax_mrch_sr_zs
world,1988,5.69714
world,1989,5.88461
world,1990,4.59707
world,1991,3.46097
world,1992,1.30506
world,1993,0.94673
world,1994,1.12984
world,1995,0.97771
world,1996,3.50583
world,1997,1.67242
world,1998,0.97901
world,1999,8.25411
world,2000,1.6257
world,2001,0.65832
world,2002,0.61942
world,2003,0.47928
world,2004,0.51692
world,2005,0.35794
world,2006,0.40268
world,2007,0.43661
world,2008,0.38298
world,2009,0.38145
world,2010,0.35198
world,2011,1.75337
world,2012,0.35342
world,2013,1.88579
world,2014,0.09299
world,2015,0.65759
world,2016,0.53538
world,2017,0.35523
