geo,time,dc_dac_irll_cd
afg,1988,109999.9994
afg,1990,50000.00075
afg,1993,100000.00149
afg,1994,70000.0003
afg,1995,230000.00417
afg,1996,300000.01192
afg,1997,550000.01192
afg,1998,310000.00238
afg,1999,419999.98689
afg,2000,540000.02146
afg,2001,4599999.90463
afg,2002,6570000.17166
afg,2003,5250000
afg,2004,4550000.19073
afg,2005,3130000.11444
afg,2006,4590000.15259
afg,2007,7400000.09537
afg,2008,6309999.94278
afg,2009,7110000.13351
afg,2010,9119999.88556
afg,2011,9100000.38147
afg,2012,7179999.82834
afg,2013,4860000.13351
afg,2014,3359999.8951
afg,2015,2759999.99046
afg,2016,2619999.88556
afg,2017,1690000.05722
afg,2018,2329999.92371
afg,2019,1860000.01431
ago,1990,79999.99821
ago,1991,90000.00358
ago,1993,1169999.95708
ago,1994,1129999.99523
ago,1995,600000.02384
ago,1996,800000.01192
ago,1997,1460000.03815
ago,1998,620000.00477
ago,1999,1659999.96662
ago,2000,1669999.95708
ago,2001,1929999.94755
ago,2002,3230000.01907
ago,2003,6510000.22888
ago,2004,4090000.15259
ago,2005,3549999.95232
ago,2006,2900000.09537
ago,2007,3009999.99046
ago,2008,3460000.03815
ago,2009,2410000.08583
ago,2010,1169999.95708
ago,2011,1139999.98569
ago,2012,569999.99285
ago,2013,740000.00954
ago,2014,600000.02384
ago,2015,680000.00715
ago,2016,560000.00238
ago,2017,460000.00834
ago,2018,500000
ago,2019,479999.98927
alb,1994,90000.00358
alb,1995,9999.99978
alb,1996,109999.9994
alb,1997,140000.0006
alb,1998,180000.00715
alb,1999,239999.99464
alb,2000,519999.98093
alb,2001,59999.99866
alb,2002,289999.99166
alb,2003,419999.98689
alb,2004,639999.98569
alb,2005,699999.98808
alb,2006,1000000
alb,2007,920000.01669
alb,2008,920000.01669
alb,2009,740000.00954
alb,2010,70000.0003
alb,2011,9999.99978
alb,2012,70000.0003
alb,2013,70000.0003
alb,2017,19999.99955
alb,2019,360000.01431
arg,1979,9999.99978
arg,1980,9999.99978
arg,1981,9999.99978
arg,1982,9999.99978
arg,1992,9999.99978
arg,1994,9999.99978
arg,1995,39999.99911
arg,1996,19999.99955
arg,1997,200000.00298
arg,1998,159999.99642
arg,1999,150000.00596
arg,2000,140000.0006
arg,2002,219999.99881
arg,2003,150000.00596
arg,2004,159999.99642
arg,2005,170000.00179
arg,2006,230000.00417
arg,2007,490000.00954
arg,2008,330000.01311
arg,2009,300000.01192
arg,2010,310000.00238
arg,2011,259999.99046
arg,2012,50000.00075
arg,2013,140000.0006
arg,2014,379999.99523
arg,2016,140000.0006
arg,2017,9999.99978
arg,2018,9999.99978
arg,2019,0
arm,1995,19999.99955
arm,1996,19999.99955
arm,2002,79999.99821
arm,2003,119999.99732
arm,2004,59999.99866
arm,2005,200000.00298
arm,2006,250000
arm,2007,39999.99911
arm,2008,29999.99933
arm,2012,29999.99933
arm,2019,39999.99911
aze,1995,9999.99978
aze,1996,9999.99978
aze,1997,9999.99978
aze,2003,50000.00075
aze,2004,230000.00417
aze,2005,19999.99955
aze,2008,70000.0003
aze,2010,9999.99978
aze,2012,9999.99978
bdi,1979,9999.99978
bdi,1980,129999.99523
bdi,1981,29999.99933
bdi,1982,90000.00358
bdi,1983,100000.00149
bdi,1984,209999.99344
bdi,1985,270000.01073
bdi,1986,239999.99464
bdi,1987,180000.00715
bdi,1988,119999.99732
bdi,1989,170000.00179
bdi,1990,90000.00358
bdi,1991,19999.99955
bdi,1992,109999.9994
bdi,1993,239999.99464
bdi,1994,219999.99881
bdi,1995,189999.99762
bdi,1996,2470000.02861
bdi,1997,639999.98569
bdi,1998,1309999.94278
bdi,1999,930000.00715
bdi,2000,1009999.99046
bdi,2001,1340000.03338
bdi,2002,1240000.00954
bdi,2003,1149999.97616
bdi,2004,2880000.11444
bdi,2005,1960000.03815
bdi,2006,3700000.04768
bdi,2007,5889999.86649
bdi,2008,1490000.00954
bdi,2009,2299999.95232
bdi,2010,1590000.03338
bdi,2011,1669999.95708
bdi,2012,1340000.03338
bdi,2013,1190000.05722
bdi,2014,1200000.04768
bdi,2015,1549999.95232
bdi,2016,1789999.96185
bdi,2017,1600000.02384
bdi,2018,1809999.94278
bdi,2019,2150000.09537
ben,1994,9999.99978
ben,1995,59999.99866
ben,1996,70000.0003
ben,1997,59999.99866
ben,1998,79999.99821
ben,1999,19999.99955
ben,2000,59999.99866
ben,2001,59999.99866
ben,2004,9999.99978
ben,2005,29999.99933
ben,2006,109999.9994
ben,2007,90000.00358
ben,2008,59999.99866
ben,2009,39999.99911
ben,2010,119999.99732
ben,2011,259999.99046
ben,2012,159999.99642
ben,2013,159999.99642
ben,2014,150000.00596
ben,2015,29999.99933
ben,2016,19999.99955
ben,2017,50000.00075
ben,2018,109999.9994
bfa,1981,19999.99955
bfa,1991,90000.00358
bfa,1992,9999.99978
bfa,1993,9999.99978
bfa,1994,19999.99955
bfa,1995,79999.99821
bfa,1996,170000.00179
bfa,1997,310000.00238
bfa,1998,270000.01073
bfa,1999,300000.01192
bfa,2000,259999.99046
bfa,2001,209999.99344
bfa,2002,230000.00417
bfa,2003,330000.01311
bfa,2004,159999.99642
bfa,2006,79999.99821
bfa,2007,1059999.94278
bfa,2008,709999.97854
bfa,2009,899999.97616
bfa,2010,19999.99955
bfa,2011,70000.0003
bfa,2012,769999.98093
bfa,2013,1039999.96185
bfa,2014,409999.99642
bfa,2015,239999.99464
bfa,2016,400000.00596
bfa,2017,349999.99404
bfa,2018,540000.02146
bfa,2019,660000.02623
bgd,1975,19999.99955
bgd,1976,19999.99955
bgd,1977,39999.99911
bgd,1978,50000.00075
bgd,1979,59999.99866
bgd,1980,29999.99933
bgd,1981,59999.99866
bgd,1982,59999.99866
bgd,1983,50000.00075
bgd,1984,79999.99821
bgd,1985,59999.99866
bgd,1986,119999.99732
bgd,1987,170000.00179
bgd,1988,419999.98689
bgd,1989,150000.00596
bgd,1990,79999.99821
bgd,1991,560000.00238
bgd,1992,109999.9994
bgd,1993,330000.01311
bgd,1994,300000.01192
bgd,1995,1580000.04292
bgd,1996,959999.97854
bgd,1997,1120000.00477
bgd,1998,1190000.05722
bgd,1999,870000.00477
bgd,2000,1149999.97616
bgd,2001,589999.97377
bgd,2002,1590000.03338
bgd,2003,1289999.96185
bgd,2004,1769999.98093
bgd,2005,1580000.04292
bgd,2006,2220000.02861
bgd,2007,6159999.84741
bgd,2008,3190000.05722
bgd,2009,2339999.91417
bgd,2010,2240000.00954
bgd,2011,2309999.94278
bgd,2012,1769999.98093
bgd,2013,1620000.00477
bgd,2014,1690000.05722
bgd,2015,1309999.94278
bgd,2016,1299999.95232
bgd,2017,2190000.05722
bgd,2018,2660000.08583
bgd,2019,2539999.96185
bgr,1996,159999.99642
bgr,1997,9999.99978
bgr,2000,50000.00075
bgr,2001,19999.99955
bgr,2002,90000.00358
bgr,2003,19999.99955
bih,1996,5909999.84741
bih,1997,2289999.96185
bih,1998,180000.00715
bih,1999,239999.99464
bih,2000,2180000.06676
bih,2001,1539999.96185
bih,2002,1549999.95232
bih,2003,1049999.95232
bih,2004,740000.00954
bih,2005,1460000.03815
bih,2006,1759999.99046
bih,2007,1220000.02861
bih,2008,1330000.04292
bih,2009,289999.99166
bih,2010,59999.99866
bih,2011,340000.00358
bih,2012,150000.00596
bih,2013,29999.99933
bih,2016,9999.99978
bih,2017,9999.99978
bih,2018,39999.99911
blr,1995,239999.99464
blr,1996,29999.99933
blr,2001,39999.99911
blr,2002,59999.99866
blr,2003,129999.99523
blr,2004,70000.0003
blr,2005,29999.99933
blr,2006,270000.01073
blr,2007,180000.00715
blr,2008,639999.98569
blr,2009,529999.97139
blr,2010,29999.99933
blr,2011,389999.98569
blr,2012,39999.99911
blr,2018,9999.99978
blr,2019,9999.99978
blz,1995,170000.00179
blz,1996,90000.00358
blz,1997,90000.00358
blz,1998,209999.99344
blz,1999,140000.0006
blz,2000,259999.99046
blz,2002,230000.00417
blz,2003,389999.98569
blz,2004,300000.01192
blz,2005,300000.01192
blz,2006,310000.00238
blz,2007,280000.00119
blz,2008,289999.99166
blz,2009,280000.00119
bol,1987,29999.99933
bol,1988,9999.99978
bol,1989,19999.99955
bol,1992,39999.99911
bol,1994,9999.99978
bol,1995,29999.99933
bol,1996,59999.99866
bol,1997,79999.99821
bol,1998,50000.00075
bol,1999,39999.99911
bol,2000,50000.00075
bol,2001,29999.99933
bol,2002,389999.98569
bol,2003,140000.0006
bol,2004,150000.00596
bol,2005,119999.99732
bol,2006,540000.02146
bol,2007,1250000
bol,2008,1210000.03815
bol,2009,1169999.95708
bol,2010,829999.98331
bol,2011,1250000
bol,2012,400000.00596
bol,2013,709999.97854
bol,2014,259999.99046
bol,2015,280000.00119
bol,2016,360000.01431
bol,2017,360000.01431
bol,2018,219999.99881
bol,2019,39999.99911
bra,1974,9999.99978
bra,1983,9999.99978
bra,1984,9999.99978
bra,1985,9999.99978
bra,1986,19999.99955
bra,1987,29999.99933
bra,1988,19999.99955
bra,1989,9999.99978
bra,1990,19999.99955
bra,1991,19999.99955
bra,1992,70000.0003
bra,1993,29999.99933
bra,1994,140000.0006
bra,1995,469999.99881
bra,1996,759999.99046
bra,1997,899999.97616
bra,1998,839999.97377
bra,1999,1240000.00954
bra,2000,899999.97616
bra,2001,1480000.01907
bra,2002,1649999.97616
bra,2003,1039999.96185
bra,2004,1149999.97616
bra,2005,1340000.03338
bra,2006,1559999.94278
bra,2007,1440000.05722
bra,2008,2019999.98093
bra,2009,1259999.99046
bra,2010,819999.99285
bra,2011,850000.02384
bra,2012,980000.01907
bra,2013,529999.97139
bra,2014,550000.01192
bra,2015,280000.00119
bra,2016,400000.00596
bra,2017,230000.00417
bra,2018,419999.98689
bra,2019,439999.99762
btn,1986,19999.99955
btn,1987,9999.99978
btn,1988,59999.99866
btn,1989,39999.99911
btn,1990,50000.00075
btn,1992,50000.00075
btn,1993,9999.99978
btn,1995,9999.99978
btn,1999,9999.99978
btn,2000,19999.99955
bwa,1976,9999.99978
bwa,1977,9999.99978
bwa,1978,9999.99978
bwa,1979,50000.00075
bwa,1981,9999.99978
bwa,1982,9999.99978
bwa,1983,9999.99978
bwa,1986,100000.00149
bwa,1987,70000.0003
bwa,1991,19999.99955
bwa,1992,9999.99978
bwa,1993,39999.99911
bwa,1994,129999.99523
bwa,1995,170000.00179
bwa,1996,180000.00715
bwa,1997,90000.00358
bwa,1998,100000.00149
bwa,1999,289999.99166
bwa,2000,29999.99933
bwa,2002,29999.99933
bwa,2003,59999.99866
bwa,2004,29999.99933
bwa,2005,79999.99821
bwa,2006,239999.99464
bwa,2007,140000.0006
bwa,2008,230000.00417
bwa,2009,19999.99955
bwa,2010,19999.99955
bwa,2011,39999.99911
bwa,2015,79999.99821
bwa,2016,119999.99732
bwa,2019,180000.00715
caf,1995,9999.99978
caf,1996,19999.99955
caf,1997,39999.99911
caf,1998,29999.99933
caf,2000,19999.99955
caf,2005,500000
caf,2006,1690000.05722
caf,2007,4860000.13351
caf,2008,5050000.19073
caf,2009,3819999.93324
caf,2010,3329999.92371
caf,2011,3480000.01907
