geo,time,sl_emp_self_fe_zs
afg,1991,98.55
afg,1992,98.55
afg,1993,98.59
afg,1994,98.64
afg,1995,98.65
afg,1996,98.67
afg,1997,98.69
afg,1998,98.71
afg,1999,98.73
afg,2000,98.76
afg,2001,98.8
afg,2002,98.72
afg,2003,98.64
afg,2004,98.6
afg,2005,98.53
afg,2006,98.47
afg,2007,98.37
afg,2008,98.3
afg,2009,97.95
afg,2010,97.55
afg,2011,97.13
afg,2012,96.58
afg,2013,95.91
afg,2014,95.2
afg,2015,94.43
afg,2016,93.53
afg,2017,92.45
afg,2018,92.13
afg,2019,91.8
ago,1991,82.51
ago,1992,81.76
ago,1993,81.58
ago,1994,80.24
ago,1995,80.34
ago,1996,80.02
ago,1997,80.3
ago,1998,80.43
ago,1999,78.15
ago,2000,77.66
ago,2001,77.92
ago,2002,78.4
ago,2003,78.36
ago,2004,77.52
ago,2005,77.31
ago,2006,78.26
ago,2007,78.54
ago,2008,79.31
ago,2009,82.83
ago,2010,82.86
ago,2011,83.52
ago,2012,83.83
ago,2013,84.72
ago,2014,85.65
ago,2015,86.39
ago,2016,86.56
ago,2017,86.93
ago,2018,87.28
ago,2019,87.32
alb,1991,59.26
alb,1992,61.44
alb,1993,61.07
alb,1994,60.66
alb,1995,59.63
alb,1996,59.19
alb,1997,63.15
alb,1998,62.67
alb,1999,61.27
alb,2000,60.65
alb,2001,59.39
alb,2002,59.44
alb,2003,59.06
alb,2004,58.78
alb,2005,59.31
alb,2006,58.32
alb,2007,58.07
alb,2008,67.22
alb,2009,65.24
alb,2010,63.05
alb,2011,65.28
alb,2012,68.02
alb,2013,62.92
alb,2014,58.73
alb,2015,57.29
alb,2016,56.74
alb,2017,54.93
alb,2018,52.98
alb,2019,52.13
are,1991,1.13
are,1992,1.13
are,1993,1.13
are,1994,1.13
are,1995,1.13
are,1996,1.13
are,1997,1.13
are,1998,1.13
are,1999,1.14
are,2000,1.15
are,2001,1.15
are,2002,1.15
are,2003,1.15
are,2004,1.17
are,2005,1.26
are,2006,1.14
are,2007,1.02
are,2008,0.94
are,2009,0.96
are,2010,1.01
are,2011,1.09
are,2012,1.14
are,2013,1.19
are,2014,1.24
are,2015,1.25
are,2016,1.31
are,2017,2.5
are,2018,3.74
are,2019,5.62
arg,1991,28.61
arg,1992,27.51
arg,1993,28.74
arg,1994,27.9
arg,1995,25.13
arg,1996,25.7
arg,1997,24.99
arg,1998,24.52
arg,1999,24.15
arg,2000,23.61
arg,2001,23.9
arg,2002,21.92
arg,2003,21.23
arg,2004,21.04
arg,2005,20.57
arg,2006,19.8
arg,2007,19.11
arg,2008,19.22
arg,2009,19.88
arg,2010,19.37
arg,2011,18.71
arg,2012,18.74
arg,2013,19.13
arg,2014,19.49
arg,2015,20.05
arg,2016,20.83
arg,2017,21.45
arg,2018,22.57
arg,2019,23.4
arm,1991,43.45
arm,1992,45.13
arm,1993,46.55
arm,1994,48.54
arm,1995,49.71
arm,1996,51.01
arm,1997,52.12
arm,1998,52.51
arm,1999,53.31
arm,2000,54.31
arm,2001,54.34
arm,2002,54.37
arm,2003,53.88
arm,2004,53.02
arm,2005,52.2
arm,2006,50.89
arm,2007,49.17
arm,2008,47.58
arm,2009,47.36
arm,2010,49.84
arm,2011,48.58
arm,2012,48.47
arm,2013,48.18
arm,2014,45.55
arm,2015,42.89
arm,2016,40.96
arm,2017,39.11
arm,2018,31.85
arm,2019,29.52
aus,1991,15.38
aus,1992,15.33
aus,1993,15.62
aus,1994,15.52
aus,1995,15.26
aus,1996,15.07
aus,1997,15.58
aus,1998,14.91
aus,1999,14.39
aus,2000,14.56
aus,2001,14.67
aus,2002,14.78
aus,2003,14.36
aus,2004,14.08
aus,2005,14.31
aus,2006,13.6
aus,2007,13.24
aus,2008,13.39
aus,2009,13.08
aus,2010,13.28
aus,2011,12.95
aus,2012,12.67
aus,2013,12.22
aus,2014,12.57
aus,2015,12.57
aus,2016,12.59
aus,2017,12.44
aus,2018,11.98
aus,2019,12.33
aut,1991,15.15
aut,1992,14.91
aut,1993,14.72
aut,1994,14.33
aut,1995,14.09
aut,1996,14.28
aut,1997,13.3
aut,1998,13.11
aut,1999,13.1
aut,2000,12.51
aut,2001,12.26
aut,2002,12.11
aut,2003,11.51
aut,2004,9.86
aut,2005,10.39
aut,2006,10.53
aut,2007,11.46
aut,2008,11.09
aut,2009,11.14
aut,2010,11.2
aut,2011,10.67
aut,2012,10.47
aut,2013,10.54
aut,2014,10.51
aut,2015,10.38
aut,2016,10.04
aut,2017,9.84
aut,2018,9.42
aut,2019,9.47
aze,1991,56.1
aze,1992,57.53
aze,1993,58.85
aze,1994,60.33
aze,1995,62.12
aze,1996,64.15
aze,1997,65.98
aze,1998,67.55
aze,1999,68.89
aze,2000,69.8
aze,2001,70.35
aze,2002,70.86
aze,2003,71.33
aze,2004,71.58
aze,2005,71.96
aze,2006,71.95
aze,2007,71.7
aze,2008,71.47
aze,2009,71.13
aze,2010,71.65
aze,2011,71.43
aze,2012,71.05
aze,2013,70.84
aze,2014,71.33
aze,2015,72.53
aze,2016,72.71
aze,2017,72.95
aze,2018,73.07
aze,2019,72.78
bdi,1991,78.75
bdi,1992,79.22
bdi,1993,79.7
bdi,1994,79.86
bdi,1995,81.13
bdi,1996,82.61
bdi,1997,82.8
bdi,1998,82.98
bdi,1999,83.37
bdi,2000,83.49
bdi,2001,83.91
bdi,2002,84.14
bdi,2003,84.52
bdi,2004,86.11
bdi,2005,85.62
bdi,2006,86.2
bdi,2007,86.32
bdi,2008,86.94
bdi,2009,86.69
bdi,2010,87.34
bdi,2011,87.66
bdi,2012,87.57
bdi,2013,87.76
bdi,2014,87.97
bdi,2015,88.5
bdi,2016,88.75
bdi,2017,89.46
bdi,2018,89.96
bdi,2019,90.43
bel,1991,15.34
bel,1992,16.4
bel,1993,15.96
bel,1994,15.34
bel,1995,16.37
bel,1996,15.84
bel,1997,15.18
bel,1998,14.74
bel,1999,16.01
bel,2000,13.77
bel,2001,13.02
bel,2002,13.47
bel,2003,12.74
bel,2004,11.66
bel,2005,12.25
bel,2006,11.79
bel,2007,11.53
bel,2008,10.75
bel,2009,11.27
bel,2010,10.78
bel,2011,10.47
bel,2012,10.48
bel,2013,10.7
bel,2014,10.85
