geo,time,sh_sta_stnt_zs
afg,1997,53.2
afg,2004,59.3
afg,2013,40.4
afg,2018,38.2
ago,1996,61.1
ago,2007,29.2
ago,2015,37.6
alb,1997,20.4
alb,2000,39.2
alb,2005,26.7
alb,2009,23.2
alb,2017,11.3
arg,1994,7.1
arg,1996,16.9
arg,2005,8.2
arg,2019,7.9
arm,1998,15.1
arm,2000,17.3
arm,2005,17.9
arm,2010,20.9
arm,2016,9.4
aus,1995,0
aus,2007,2
aze,1996,28
aze,2000,24.2
aze,2001,18
aze,2006,26.5
aze,2011,16.4
aze,2013,17.8
bdi,1987,56.2
bdi,2000,64
bdi,2005,57.7
bdi,2010,57.6
bdi,2016,55.9
bdi,2018,56.6
bdi,2019,54
bel,2014,1.6
ben,1996,39.1
ben,2001,36.2
ben,2008,37.4
ben,2014,34
ben,2018,32.2
bfa,1993,38.7
bfa,1999,41.4
bfa,2009,35.1
bfa,2010,34.7
bfa,2011,34.6
bfa,2012,32.8
bfa,2013,31.3
bfa,2014,29
bfa,2015,30.1
bfa,2016,26.8
bfa,2017,21.1
bfa,2018,24.9
bfa,2019,23.8
bgd,1986,70.9
bgd,1990,63.4
bgd,1991,73.6
bgd,1992,71.5
bgd,1993,69.2
bgd,1994,67.3
bgd,1995,65.8
bgd,1996,63.8
bgd,1997,59.6
bgd,1998,59.3
bgd,1999,59.9
bgd,2000,51.1
bgd,2001,53.2
bgd,2002,51.4
bgd,2003,47.8
bgd,2004,50.5
bgd,2005,45.9
bgd,2006,45.1
bgd,2007,43.2
bgd,2011,41.3
bgd,2013,38.7
bgd,2014,36.2
bgd,2018,30.9
bgd,2019,28
bgr,2004,8.8
bgr,2007,9.2
bgr,2014,7
bhr,1989,13.9
bhr,1995,13.6
bih,2000,12.1
bih,2006,11.8
bih,2012,8.9
blr,2005,4.5
blz,2006,22
blz,2011,19.3
blz,2015,15
bol,1989,44
bol,1994,37.1
bol,1998,33.2
bol,2003,32.4
bol,2008,27.1
bol,2012,18.2
bol,2016,16.1
bra,1989,19.8
bra,1996,13
bra,2007,7
brb,2012,7.7
brn,2009,19.7
btn,1987,60.9
btn,1999,47.7
btn,2008,34.9
btn,2010,33.5
bwa,1996,35.1
bwa,2000,29.1
bwa,2007,28.9
caf,1994,41.5
caf,2000,44.4
caf,2006,43.6
caf,2010,40.7
caf,2012,39.7
caf,2014,38
caf,2018,37.5
caf,2019,40.2
chl,1986,13.5
chl,1994,4.2
chl,1995,3.9
chl,1996,3.7
chl,1998,3.3
chl,1999,3.1
chl,2001,2.8
chl,2002,2.5
chl,2003,2.5
chl,2004,2.4
chl,2006,2.2
chl,2007,2.1
chl,2008,2
chl,2013,1.8
chl,2014,1.8
chn,1987,38.3
chn,1990,32.3
chn,1992,38
chn,1995,31.2
chn,1998,19.8
chn,2000,17.8
chn,2002,21.8
chn,2005,11.7
chn,2008,9.8
chn,2009,9
chn,2010,9.4
chn,2013,8.1
chn,2017,4.8
civ,1986,19.6
civ,1994,34.2
civ,1998,31.2
civ,2007,39
civ,2012,29.9
civ,2016,21.6
cmr,1991,31.6
cmr,1998,38.2
cmr,2004,35.6
cmr,2006,37.6
cmr,2011,32.6
cmr,2014,31.7
cmr,2018,28.9
cod,1995,51
cod,2001,44.4
cod,2007,45.8
cod,2010,43.4
cod,2013,42.7
cod,2017,41.8
cog,1987,30.1
cog,2005,31.2
cog,2011,24.4
cog,2014,21.2
col,1986,26.6
col,1989,21.8
col,1995,19.6
col,2000,18.2
col,2005,16
col,2010,12.6
col,2016,12.7
com,1992,38.5
com,1996,40
com,2000,46.9
com,2012,31.1
cpv,1985,26.8
cpv,1994,21.4
cri,1996,8.2
cri,2008,5.6
cri,2018,9
cub,2000,7
cub,2019,7.1
cze,1991,3.1
cze,2001,2.7
deu,2004,1.3
deu,2016,1.7
dji,1989,28
dji,1996,31.7
dji,2002,27.1
dji,2012,33.5
dom,1986,20.4
dom,1991,21.1
dom,1996,13.5
dom,2000,7.7
dom,2002,11.6
dom,2006,8.4
dom,2007,10.1
dom,2013,7.1
dza,1987,16.9
dza,1992,22.9
dza,1995,22.5
dza,2000,23.6
dza,2002,24
dza,2006,15.4
dza,2012,11.7
dza,2019,9.8
ecu,1986,40.2
ecu,1999,27.9
ecu,2004,29.2
ecu,2006,25.9
ecu,2012,25.4
ecu,2014,23.9
ecu,2019,23
egy,1988,34
egy,1991,34.9
egy,1992,31.1
egy,1995,34.8
egy,1998,26.3
egy,2000,24.4
egy,2003,20.2
egy,2005,23.9
egy,2008,30.7
egy,2014,22.3
eri,1993,69.6
eri,1995,47.8
eri,2002,43
eri,2010,52.5
est,2014,1.2
eth,1992,66.9
eth,2000,57.4
eth,2005,50
eth,2011,44.4
eth,2014,40.4
eth,2016,38.3
eth,2019,36.8
fji,1993,4.3
fji,2004,7.5
gab,2000,25.9
gab,2012,17
geo,1999,16.1
geo,2005,14.6
geo,2009,11.8
geo,2018,5.8
gha,1988,42.6
gha,1993,41.2
gha,1997,34.7
gha,1998,30.6
gha,2003,35.5
gha,2006,27.9
gha,2008,28.4
gha,2011,22.8
gha,2014,18.8
gha,2017,17.5
gin,1994,35.3
gin,1999,31.1
gin,2005,39.3
gin,2007,34
gin,2012,31.1
gin,2016,32.4
gin,2018,30.3
gmb,1996,36.1
gmb,2000,24.1
gmb,2006,27.7
gmb,2010,23.4
gmb,2012,21.1
gmb,2013,24.6
gmb,2018,13.6
gmb,2020,17.5
gnb,2000,33.8
gnb,2010,32
gnb,2012,26.4
gnb,2014,27.6
gnb,2019,28.1
gnq,1997,38.7
gnq,2000,42.7
gnq,2004,35
gnq,2011,26.2
grc,2003,1.5
gtm,1987,66.2
gtm,1995,55.4
gtm,1999,53.1
gtm,2000,51
gtm,2002,54.8
gtm,2009,51.5
gtm,2015,46.7
guy,1993,14.7
guy,1997,14
guy,2000,13.9
guy,2006,17.9
guy,2009,19.3
guy,2014,11.3
hnd,1987,43.3
hnd,1991,42.7
hnd,1994,45.7
hnd,1996,38.6
hnd,2001,35.5
hnd,2006,29.8
hnd,2012,22.6
hti,1990,40.1
hti,1994,37.1
hti,2000,28.8
hti,2006,29.6
hti,2012,22
hti,2017,21.9
idn,1996,48.1
idn,2000,42.4
idn,2001,41.6
idn,2004,28.6
idn,2007,40.1
idn,2010,39.2
