geo,time,se_sec_tcaq_ma_zs
ecu,2000,82.76514
ecu,2001,85.30074
ecu,2002,60.94807
ecu,2003,64.10215
ecu,2004,63.34319
ecu,2005,63.71702
ecu,2006,63.97576
ecu,2007,64.37551
ecu,2019,69.69726
ecu,2020,69.93732
egy,2016,63.24786
egy,2018,79.85817
egy,2019,81.20916
eri,1999,55.24093
eri,2000,59.94575
eri,2001,61.21187
eri,2002,48.17228
eri,2003,47.04351
eri,2004,48.26822
eri,2005,49.02641
eri,2006,47.103
eri,2007,48.9188
eri,2009,63.4562
eri,2010,67.15477
eri,2011,70.1982
eri,2012,76.97166
eri,2013,82.49305
esp,2001,100
esp,2002,100
esp,2003,100
esp,2004,100
esp,2005,100
esp,2006,100
esp,2007,100
esp,2008,100
esp,2009,100
esp,2010,100
esp,2011,100
esp,2012,100
esp,2013,100
esp,2014,100
esp,2015,100
esp,2016,100
esp,2017,100
esp,2018,100
esp,2019,100
eth,2008,63.43239
fji,2007,96.07027
fji,2011,100
fji,2012,100
geo,2000,48.81122
geo,2009,92.34435
gha,1999,69.87884
gha,2000,69.54515
gha,2001,69.89803
gha,2002,70.68253
gha,2006,77.37095
gha,2007,68.50429
gha,2008,64.76628
gha,2009,65.83635
gha,2010,66.72149
gha,2011,66.72052
gha,2013,69.51945
gha,2014,69.14226
gha,2015,70.78533
gha,2016,72.47423
gha,2017,73.47704
gha,2018,74.78407
gib,1999,100
gib,2000,100
gib,2001,100
gib,2008,88.57143
gib,2009,94.70199
gib,2016,80.85106
gib,2017,96.15385
gib,2020,7.69231
gin,2008,90.62563
gin,2010,59.32626
gin,2011,61.40638
gin,2012,49.68231
gin,2013,61.81312
gin,2014,48.13853
gin,2015,47.40783
gin,2016,50.33252
gmb,2013,90.30354
gmb,2014,93.91804
gmb,2015,91.96161
gmb,2017,95.4187
gmb,2018,100
gmb,2019,95.83204
gnq,2005,25.5144
grd,2003,34.30657
grd,2008,40.2439
grd,2010,48.57143
grd,2011,32.48175
grd,2013,35.71429
grd,2014,39.86014
grd,2015,36.56716
grd,2016,37.83784
grd,2017,39.1635
grd,2018,46.4
guy,2003,54.29799
guy,2005,45.74022
guy,2008,50.17921
guy,2009,51.10294
guy,2010,49.45878
guy,2011,53.84615
guy,2012,55.62672
hkg,2001,85.20607
hkg,2002,87.33959
hkg,2003,88.29716
hkg,2004,90.84252
hkg,2005,92.45205
hkg,2007,93.92782
hkg,2008,93.7207
hkg,2009,93.00418
hkg,2010,94.02758
hkg,2011,94.41755
hkg,2012,93.32617
hkg,2013,94.63892
hkg,2014,95.75609
hkg,2015,96.2168
hkg,2016,96.64089
hkg,2017,96.83265
hkg,2018,96.59274
hkg,2019,95.61672
hkg,2020,95.05178
hnd,2004,59.16854
hrv,1999,100
hrv,2000,100
hrv,2001,100
hrv,2002,100
hrv,2003,100
ind,2017,74.88246
ind,2019,74.72829
ind,2020,79.43724
irn,2013,100
irn,2014,100
irn,2016,97.05535
irn,2017,97.24334
irq,2000,100
irq,2004,100
jam,2013,83.39548
jam,2014,76.9645
jam,2015,78.82202
jam,2016,100
jam,2017,100
jam,2018,100
jam,2019,100
jam,2020,100
jor,2014,100
jor,2017,100
jor,2018,100
jor,2019,100
jor,2020,100
kaz,2015,100
kaz,2016,100
kaz,2017,100
kaz,2018,100
kaz,2019,100
kaz,2020,100
ken,2008,98.02753
kgz,2003,70.57944
kgz,2004,71.96471
kgz,2005,74.26774
kgz,2006,76.37198
kgz,2007,77.70919
kgz,2008,79.3914
kgz,2011,66.32325
kgz,2012,66.56765
kgz,2013,79.73745
kgz,2015,78.04376
kgz,2016,15.13651
kgz,2017,16.17202
khm,2002,98.91895
kir,2005,65.07042
kir,2006,51.06383
kir,2007,58.61027
kir,2008,59.65418
kir,2010,66.36086
kir,2011,63.0363
kir,2012,48.18182
kna,2002,41.31737
kna,2003,44.60432
kna,2004,35.67251
kna,2005,47.46835
kna,2009,44.02516
kna,2010,37.70492
kna,2011,55.08982
kna,2012,49.40476
kna,2014,45.67901
kna,2015,53.50318
kna,2016,55.2795
kwt,1999,100
kwt,2000,100
kwt,2001,100
kwt,2004,100
lao,1999,97.07048
lao,2000,97.23943
lao,2001,94.96489
lao,2002,95.95016
lao,2003,97.85027
lao,2004,95.95776
lao,2005,89.46166
lao,2006,94.64894
lao,2007,91.67518
lao,2017,95.64151
lao,2019,97.94921
lao,2020,99.45082
lbr,2014,54.49898
lbr,2015,61.77827
lca,2001,53.28185
lca,2005,52.38095
lca,2006,53.4202
lca,2010,51.65563
lca,2011,60.06601
lca,2012,60.19737
lca,2015,63.63636
lka,2017,80.61072
lka,2018,77.18405
lso,1999,85.50186
lso,2000,85.49811
lso,2001,87.14107
lso,2005,80.23331
lso,2006,84.57888
lso,2007,73.8573
lso,2015,100
lso,2016,86.0262
lva,2010,100
lva,2011,100
lva,2012,100
lva,2013,100
lva,2014,100
lva,2015,100
lva,2016,100
lva,2017,100
lva,2018,100
lva,2019,100
mac,1999,49.83819
mac,2000,52.26917
mac,2001,49.43182
mac,2002,47.01987
mac,2003,49.86877
mac,2004,51.10594
mac,2005,52.97483
mac,2006,54.96614
mac,2007,57.03125
mac,2008,58.4563
mac,2009,59.31478
mac,2010,60.12397
mac,2011,63.05182
mac,2012,66.76471
mac,2013,69.9714
mac,2014,77.40741
mac,2015,85.74109
mac,2016,87.56757
mac,2017,89.1748
mac,2018,89.77778
mac,2019,91.41825
mac,2020,91.37778
mar,2017,100
mar,2018,100
mar,2019,100
mar,2020,100
mco,2020,85.43689
mda,2016,96.78227
mda,2017,96.06186
mda,2018,95.8676
mda,2019,100
mda,2020,100
mdg,2014,19.40836
mdg,2017,18.98167
mdg,2018,17.72487
mdv,1998,74.50271
mdv,2002,79.40403
mdv,2010,94.99523
mdv,2011,98.73345
mdv,2012,98.1759
mdv,2013,99.22441
mdv,2014,90.94747
mdv,2015,92.2865
mdv,2016,94.03489
mdv,2017,96.90722
mdv,2018,98.78721
mdv,2019,98.42137
mex,2013,92.88266
mex,2014,93.97014
mex,2015,94.49464
mex,2016,94.98333
mex,2017,95.21386
mex,2018,95.12841
mhl,2020,55.93952
mli,2008,80.05056
mmr,1999,72.55927
mmr,2000,72.74889
mmr,2001,66.13885
mmr,2002,68.44782
mmr,2004,71.20939
mmr,2006,95.71926
mmr,2007,99.12066
mmr,2008,98.38378
mmr,2009,90.95209
mmr,2010,98.89916
mmr,2017,85.88888
mmr,2018,87.8557
mng,1999,100
mng,2000,100
mng,2001,100
mng,2002,100
mng,2003,100
mng,2004,100
mng,2005,100
mng,2006,100
mng,2010,95.53084
mng,2014,100
mng,2016,100
mng,2017,97.39381
mng,2018,85.73429
mng,2019,84.66723
moz,2006,62.66358
moz,2007,60.08929
moz,2008,63.52526
moz,2009,71.30474
moz,2010,74.33152
moz,2011,78.65581
moz,2012,83.36515
moz,2013,86.28307
moz,2014,88.38162
moz,2015,84.66059
moz,2020,97.2478
mrt,2004,100
mrt,2006,100
mrt,2014,86.36745
mrt,2017,98.67662
mrt,2019,94.68695
mus,2013,45.24254
mus,2014,30.79032
mus,2015,27.74382
mus,2017,60.18764
mus,2018,58.7522
mus,2019,50.63932
mus,2021,57.70137
mwi,2007,44.71734
mwi,2008,49.94292
mwi,2010,54.03184
mwi,2011,53.81734
mwi,2013,60.67724
mys,2006,99.49157
mys,2007,99.92219
mys,2008,97.45075
mys,2009,96.31678
mys,2010,95.91778
mys,2011,98.06726
mys,2012,99.12616
mys,2013,98.23115
mys,2014,99.06978
mys,2015,99.23235
mys,2016,98.58184
mys,2017,98.44473
mys,2018,92.75438
mys,2019,87.28528
ner,2003,28.08642
ner,2004,29.98084
ner,2006,21.02697
ner,2010,16.56615
nga,2003,75.70175
nga,2006,65.67477
nga,2010,45.9051
nga,2018,66.86364
nic,1999,38.64035
nic,2000,38.82638
nic,2001,37.46941
nic,2004,38.39442
nic,2005,44.06629
nic,2006,45.84434
nic,2007,56.88967
nic,2008,51.6138
nic,2010,44.67768
npl,2008,57.90844
npl,2010,64.74209
npl,2011,68.83939
npl,2013,80.08941
npl,2014,80.51591
npl,2015,82.31535
npl,2016,85.19155
npl,2019,84.93106
npl,2020,84.95993
nru,2007,42.85714
omn,1999,99.95372
omn,2000,100
omn,2001,100
omn,2017,100
omn,2018,100
omn,2019,100
omn,2020,100
pak,2011,89.29067
pak,2012,97.00831
pak,2013,99.20143
pak,2014,98.30004
pak,2015,95.88657
pak,2016,85.76651
pak,2017,81.90235
pan,1999,73.62672
pan,2000,78.85553
pan,2001,91.33303
pan,2002,76.34154
pan,2004,78.97243
pan,2005,78.54176
pan,2006,87.63589
pan,2007,88.61429
pan,2008,89.26775
pan,2009,88.22773
pan,2010,86.9791
pan,2011,86.7602
pan,2014,95.2101
phl,2014,100
phl,2015,100
phl,2016,100
phl,2017,100
phl,2018,100
phl,2019,100
png,1998,100
png,2012,100
pol,2018,100
pol,2019,100
pri,2014,93.99681
pri,2015,94.40079
pri,2016,84.02688
pry,2012,78.41654
pse,2007,100
pse,2008,100
pse,2009,100
pse,2010,100
pse,2011,100
pse,2012,100
pse,2013,100
pse,2014,100
pse,2015,100
pse,2016,100
pse,2017,100
pse,2018,100
pse,2019,100
pse,2020,100
qat,2006,72.37955
qat,2008,52.77594
qat,2011,72.49071
qat,2015,100
qat,2016,100
qat,2017,100
qat,2018,100
qat,2019,100
qat,2020,100
rwa,2007,59.12822
rwa,2011,87.198
rwa,2012,88.2735
rwa,2013,92.60274
rwa,2015,53.59423
rwa,2016,60.52767
rwa,2017,60.2816
rwa,2018,61.84338
rwa,2019,64.98506
sau,2013,100
sau,2014,100
sau,2015,100
sau,2016,100
sau,2017,100
sau,2018,100
sau,2019,100
sau,2020,100
sen,2011,37.29713
sen,2012,40.0617
sen,2013,54.7858
sen,2014,59.65825
sen,2015,68.05876
sen,2020,71.26147
sgp,2007,99.91005
sgp,2008,99.26108
sgp,2009,99.43515
sgp,2016,98.9987
sgp,2017,98.99792
sgp,2018,99.32092
sgp,2019,99.05568
slb,2010,70.64128
slb,2011,70.63698
slb,2012,68.84512
slb,2013,75.13062
slb,2015,75.4717
slb,2016,80.17728
slb,2017,84.14901
slb,2018,88.03659
sle,2011,58.65781
sle,2012,60.12221
sle,2013,62.62471
sle,2015,69.0354
slv,2003,87.12707
slv,2004,86.98734
slv,2005,87.04708
slv,2007,86.9536
slv,2008,85.11481
slv,2011,89.16516
slv,2015,90.35574
slv,2016,91.23293
slv,2017,90.78541
slv,2018,90.48397
srb,2007,100
srb,2011,33.60308
stp,2010,22.69231
stp,2011,43.45114
stp,2012,33.33333
stp,2014,33.09222
stp,2015,25.92068
stp,2016,41.65457
swz,1998,99.40315
swz,2002,73.34315
swz,2003,91.19879
swz,2004,99.37206
swz,2005,98.28571
swz,2006,99.28571
swz,2009,79.89503
swz,2010,75.91788
swz,2011,76.24677
swz,2012,78.26087
swz,2013,77.66566
swz,2015,74.5
syc,1998,85.38462
syc,1999,81.25
syc,2000,79.77941
syc,2001,86.99187
syc,2003,81.18467
syc,2012,82.00837
syc,2013,82.97872
syc,2014,85.78199
syc,2015,98.83268
syc,2016,87.14859
syc,2017,89.91935
syc,2018,100
syc,2019,88.31169
syc,2020,92.30769
tca,1999,100
tca,2000,51.02041
tca,2003,98.24561
tca,2017,95.4023
tca,2018,94.87179
tcd,2016,44.01073
tha,2015,100
tha,2017,100
tha,2018,100
tha,2019,100
tha,2020,100
ton,1998,45.3125
ton,2013,61.14519
ton,2014,54.88889
ton,2015,59.04139
tun,2017,100
tun,2018,100
tun,2020,100
tuv,2016,42.37288
tuv,2018,66.66667
tuv,2019,64.86486
tuv,2020,66.66667
uga,2010,88.35334
uga,2012,95.25102
uga,2013,85.79711
uga,2014,84.21139
uga,2015,77.63155
uga,2016,95.17544
uga,2017,83.5044
ukr,2018,98.07628
ukr,2020,98.85467
uzb,2006,100
uzb,2007,100
uzb,2008,100
uzb,2009,100
uzb,2010,100
uzb,2011,100
uzb,2017,97.03414
uzb,2018,96.71312
uzb,2019,98.39606
uzb,2020,97.71589
vct,2000,53.14286
vct,2001,62.42775
vct,2002,65.29412
vct,2003,55.86592
vct,2004,58.33333
vct,2007,30.59361
vct,2008,50.45045
vct,2009,36.87783
vct,2010,63.37449
vct,2011,55.55556
vct,2012,53.44828
vct,2013,49.40239
vct,2014,46.75325
vct,2015,55.26316
vct,2016,51.75439
vct,2017,56.57895
vct,2018,54.66667
vct,2019,57.65766
vgb,1999,57.69231
vgb,2003,62.71186
vgb,2015,100
vgb,2018,100
vgb,2019,59.79381
vgb,2020,58.69565
vut,2010,65.19824
vut,2011,61.33056
vut,2012,62.15213
vut,2014,68.39465
vut,2015,67.80822
vut,2016,96.0739
vut,2017,82.58621
zmb,2010,86.66119
zmb,2012,88.80853
zmb,2013,90.35749
zmb,2014,91.62617
zmb,2015,91.74405
zmb,2016,92.30519
zwe,2012,67.81803
zwe,2013,71.16158
zwe,2014,72.65105
zwe,2015,74.47536
zwe,2016,77.97713
zwe,2017,81.42982
zwe,2018,83.12593
zwe,2019,84.28971
