geo,time,sh_dth_1014
afg,1990,3158
afg,1991,3151
afg,1992,3186
afg,1993,3224
afg,1994,3232
afg,1995,3190
afg,1996,3084
afg,1997,2954
afg,1998,3623
afg,1999,2766
afg,2000,2736
afg,2001,2725
afg,2002,2744
afg,2003,2789
afg,2004,2851
afg,2005,2926
afg,2006,3037
afg,2007,3163
afg,2008,3284
afg,2009,3354
afg,2010,3376
afg,2011,3326
afg,2012,3228
afg,2013,3074
afg,2014,2890
afg,2015,2724
afg,2016,2594
afg,2017,2500
afg,2018,2425
afg,2019,2373
afg,2020,2483
ago,1990,5552
ago,1991,4892
ago,1992,5981
ago,1993,5264
ago,1994,5466
ago,1995,5655
ago,1996,5822
ago,1997,5979
ago,1998,6121
ago,1999,6247
ago,2000,6334
ago,2001,6379
ago,2002,6396
ago,2003,6386
ago,2004,6341
ago,2005,6275
ago,2006,6167
ago,2007,6061
ago,2008,5947
ago,2009,5836
ago,2010,5735
ago,2011,5633
ago,2012,5541
ago,2013,5476
ago,2014,5437
ago,2015,5426
ago,2016,5446
ago,2017,5488
ago,2018,5529
ago,2019,5565
ago,2020,5602
alb,1990,172
alb,1991,163
alb,1992,154
alb,1993,145
alb,1994,138
alb,1995,133
alb,1996,127
alb,1997,146
alb,1998,122
alb,1999,121
alb,2000,119
alb,2001,117
alb,2002,113
alb,2003,109
alb,2004,105
alb,2005,100
alb,2006,95
alb,2007,89
alb,2008,84
alb,2009,80
alb,2010,75
alb,2011,69
alb,2012,63
alb,2013,58
alb,2014,53
alb,2015,49
alb,2016,45
alb,2017,42
alb,2018,38
alb,2019,36
alb,2020,33
and,1990,1
and,1991,1
and,1992,1
and,1993,1
and,1994,1
and,1995,1
and,1996,1
and,1997,1
and,1998,1
and,1999,1
and,2000,1
and,2001,1
and,2002,1
and,2003,1
and,2004,1
and,2005,1
and,2006,1
and,2007,1
and,2008,1
and,2009,1
and,2010,1
and,2011,0
and,2012,0
and,2013,0
and,2014,0
and,2015,0
and,2016,0
and,2017,0
and,2018,0
and,2019,0
and,2020,0
are,1990,54
are,1991,54
are,1992,55
are,1993,56
are,1994,58
are,1995,59
are,1996,60
are,1997,60
are,1998,61
are,1999,64
are,2000,67
are,2001,65
are,2002,62
are,2003,60
are,2004,60
are,2005,61
are,2006,60
are,2007,60
are,2008,62
are,2009,64
are,2010,66
are,2011,66
are,2012,64
are,2013,62
are,2014,62
are,2015,63
are,2016,65
are,2017,65
are,2018,66
are,2019,68
are,2020,69
arg,1990,1171
arg,1991,1165
arg,1992,1148
arg,1993,1119
arg,1994,1085
arg,1995,1059
arg,1996,1043
arg,1997,1038
arg,1998,1037
arg,1999,1034
arg,2000,1029
arg,2001,1022
arg,2002,1018
arg,2003,1024
arg,2004,1040
arg,2005,1057
arg,2006,1068
arg,2007,1067
arg,2008,1052
arg,2009,1023
arg,2010,988
arg,2011,951
arg,2012,917
arg,2013,892
arg,2014,874
arg,2015,858
arg,2016,841
arg,2017,821
arg,2018,798
arg,2019,773
arg,2020,749
arm,1990,97
arm,1991,90
arm,1992,83
arm,1993,77
arm,1994,72
arm,1995,68
arm,1996,65
arm,1997,63
arm,1998,61
arm,1999,60
arm,2000,58
arm,2001,56
arm,2002,53
arm,2003,51
arm,2004,48
arm,2005,46
arm,2006,44
arm,2007,41
arm,2008,39
arm,2009,36
arm,2010,35
arm,2011,34
arm,2012,34
arm,2013,34
arm,2014,34
arm,2015,34
arm,2016,35
arm,2017,36
arm,2018,36
arm,2019,37
arm,2020,38
atg,1990,2
atg,1991,2
atg,1992,2
atg,1993,2
atg,1994,2
