geo,time,ny_gdp_mktp_kn
abw,1986,1275000000
abw,1987,1480000000
abw,1988,1756000000
abw,1989,1969000000
abw,1990,2047000000
abw,1991,2210000000
abw,1992,2340000000
abw,1993,2511000000
abw,1994,2717000000
abw,1995,2786205900
abw,1996,2819244400
abw,1997,3017913000
abw,1998,3078029400
abw,1999,3116136700
abw,2000,3353480000
abw,2001,3253839500
abw,2002,3147320300
abw,2003,3209497100
abw,2004,3463418500
abw,2005,3505476500
abw,2006,3542305300
abw,2007,3606074800
abw,2008,3602803800
abw,2009,3223797900
abw,2010,3105000000
abw,2011,3212000000
abw,2012,3168000000
abw,2013,3301000000
abw,2014,3310903000
abw,2015,3499624500
abw,2016,3573116600
abw,2017,3644578900
afg,2002,451798704100
afg,2003,491702820800
afg,2004,498656078800
afg,2005,554653734400
afg,2006,584368771600
afg,2007,665165465300
afg,2008,691273102200
afg,2009,839140071400
afg,2010,959661073000
afg,2011,963752633900
afg,2012,1086653136600
afg,2013,1147513804100
afg,2014,1178778315300
afg,2015,1195886097800
afg,2016,1222916881100
afg,2017,1255287530100
afg,2018,1270215762500
afg,2019,1319901565700
afg,2020,1288869351100
ago,1980,413870934694.66803
ago,1981,395660608521.51898
ago,1982,395660608521.51898
ago,1983,412278359730.80798
ago,1984,437015070237.89801
ago,1985,452310595465.414
ago,1986,465427610616.10693
ago,1987,484429850042.37695
ago,1988,514120024985.49493
ago,1989,514334009255.52802
ago,1990,496588978372.87097
ago,1991,501511959400
ago,1992,472232283300
ago,1993,358974843500
ago,1994,363782821300
ago,1995,418350244600
ago,1996,475013148600
ago,1997,509566922500
ago,1998,533471453100
ago,1999,545109078000
ago,2000,561760112000
ago,2001,585387734200
ago,2002,665384986900
ago,2003,685279000000
ago,2004,760336661600
ago,2005,874607014600
ago,2006,975603861700
ago,2007,1112286140700
ago,2008,1236485549800
ago,2009,1247103407200
ago,2010,1302025000000
ago,2011,1347231000000
ago,2012,1462314000000
ago,2013,1534765000000
ago,2014,1608781000000
ago,2015,1623961000000
ago,2016,1582062000000
ago,2017,1579733000000
ago,2018,1548081000000
ago,2019,1538411000000
ago,2020,1455337000000
alb,1980,553263917791.96399
alb,1981,585052444710.55798
alb,1982,602303282382.79297
alb,1983,608958361802.08105
alb,1984,601336659378.15503
alb,1985,612044324281.271
alb,1986,646546751199.69397
alb,1987,641452980109.14282
alb,1988,632344093424.552
alb,1989,694544929836.172
alb,1990,628037806539.64795
alb,1991,452173770298.89203
alb,1992,419675539892.78094
alb,1993,459794052531.60693
alb,1994,497970139307.25098
alb,1995,564311381100.23096
alb,1996,615663713640.53601
alb,1997,548433334093.23199
alb,1998,596856837236.87195
alb,1999,673796480148.67395
alb,2000,720599843004.84705
alb,2001,780361440841.91296
alb,2002,815762726121.255
alb,2003,860863289815.64783
alb,2004,908337041408.23901
alb,2005,958535599855.60193
alb,2006,1015114688073.21997
alb,2007,1075851634319
alb,2008,1156540952597.91992
alb,2009,1195334682624.97998
alb,2010,1239645000000
alb,2011,1271199000000
alb,2012,1289214976305.98999
alb,2013,1302133136501.66992
alb,2014,1325238823032.52002
alb,2015,1354642246286.53003
alb,2016,1399548375088.92993
alb,2017,1452762386885.43994
alb,2018,1511154132594.5
alb,2019,1543091165986.40991
alb,2020,1482055770000
and,1970,763613110.15781
and,1971,799117037.20527
and,1972,864243025.91125
and,1973,931554310.53805
and,1974,983896388.46448
and,1975,989231130.3591
and,1976,1021913220.33361
and,1977,1050920999.31275
and,1978,1066295975.41315
and,1979,1066739098.11231
and,1980,1090300459.06624
and,1981,1088856088.85949
and,1982,1102428256.58829
and,1983,1121942541.0892
and,1984,1141965700.32949
and,1985,1168475669.31333
and,1986,1206489942.73731
and,1987,1273415413.8362
and,1988,1338287348.93926
and,1989,1402886937.5566
and,1990,1455935530.1099
and,1991,1493003700
and,1992,1506876900
and,1993,1491333700
and,1994,1526874900
