global,time,sh_dyn_ncom_ma_zs
world,2000,27.26526
world,2001,26.88199
world,2002,26.64065
world,2003,26.3946
world,2004,25.89818
world,2005,25.61115
world,2006,25.12027
world,2007,24.88581
world,2008,24.78439
world,2009,24.57038
world,2010,24.4209
world,2011,24.12069
world,2012,23.79376
world,2013,23.23892
world,2014,22.8236
world,2015,22.72538
world,2016,22.60722
world,2017,22.1966
world,2018,21.94727
world,2019,21.73599
