geo,time,ny_gnp_mktp_cn
abw,1986,712679516.64025
abw,1987,847008399.36608
abw,1988,1037098256.73534
abw,1989,1224394809.82567
abw,1990,1355247939.77813
abw,1991,1547228300
abw,1992,1698349100
abw,1993,1906533700
abw,1994,2193982000
abw,1995,2336450000
abw,1996,2438230000
abw,1997,2700680000
abw,1998,2970530000
abw,1999,3007410000
abw,2000,3310480000
abw,2001,3334500000
abw,2002,3232100000
abw,2003,3522400000
abw,2004,3856000000
abw,2005,3315200000
abw,2006,4150500000
abw,2007,3992300000
abw,2008,4705100000
abw,2009,4314000000
abw,2010,4027900000
abw,2011,4122000000
abw,2012,4329200000
abw,2013,4588251000
abw,2014,4811520000
abw,2015,5080300000
abw,2016,5098710000
abw,2017,5229949600
abw,2018,5354936706.40279
afg,1960,24699998200
afg,1961,25200001000
afg,1962,25100001300
afg,1963,34500001800
afg,1964,36700000300
afg,1965,46200000500
afg,1966,64299999200
afg,1967,76899999700
afg,1968,63099998200
afg,1969,64699998200
afg,1970,80299999200
afg,1971,84099899400
afg,1972,73399902200
afg,1973,79699902500
afg,1974,99100000300
afg,1975,108800000000
afg,1976,117500002300
afg,1977,135799996400
afg,1978,151699996700
afg,1979,165000003600
afg,1980,163899998200
afg,1981,175799992300
afg,2009,609947867500
afg,2010,727510372000
afg,2011,849420078100
afg,2012,1030414200400
afg,2013,1142783046500
afg,2014,1176333342300
afg,2015,1233810567500
afg,2016,1235103461500
afg,2017,1302376236700
afg,2018,1341487780600
afg,2019,1492958477300
afg,2020,1561802328800
ago,1985,200
ago,1986,200
ago,1987,200
ago,1988,200
ago,1989,300
ago,1990,300
ago,1991,700
ago,1992,1600
ago,1993,16500
ago,1994,296900
ago,1995,12935300
ago,1996,647138700
ago,1997,1541582100
ago,1998,2175245400
ago,1999,13342067400
ago,2000,74789350900
ago,2001,162678698500
ago,2002,594228080700
ago,2003,1200133641400
ago,2004,1759672995800
ago,2005,2871023202800
ago,2006,3713258699200
ago,2007,4423442923800
ago,2008,5614079386200
ago,2009,5036073453700
ago,2010,6958422609800
ago,2011,9590025881900
ago,2012,11230006316400
ago,2013,12239466901900
ago,2014,13453892400600
ago,2015,13241027555600
ago,2016,15686493400300
ago,2017,19016994383000
ago,2018,23647996403200
ago,2019,29879558000000
ago,2020,30909075668800
alb,1984,15963416000
alb,1985,16288702000
alb,1986,16779410000
alb,1987,16649570000
alb,1988,16411490000
alb,1989,18023920000
alb,1990,16213230000
alb,1991,15521170000
alb,1992,46300679200
alb,1993,124436178800
alb,1994,179287642000
alb,1995,225844931000
alb,1996,341849720000
alb,1997,338707870000
alb,1998,396415160000
alb,1999,453988540000
alb,2000,516269720000
alb,2001,581549200000
alb,2002,625814820000
alb,2003,695923340000
alb,2004,755036990000
alb,2005,820345110000
alb,2006,898459590000
alb,2007,992472990000
alb,2008,1086130870000
alb,2009,1125750670000
alb,2010,1227260200000
alb,2011,1300960940000
alb,2012,1322883480000
alb,2013,1373333910000
alb,2014,1408096790000
alb,2015,1451306570000
alb,2016,1496392960000
alb,2017,1554431350000
alb,2018,1634739770000
alb,2019,1669585100000
alb,2020,1590353473600
are,2000,401879000000
are,2001,398012000000
are,2002,406683000000
are,2003,456462000000
are,2004,545485000000
are,2005,673917651100
are,2006,833123000000
are,2007,977947000000
are,2008,1172550526300
are,2009,940753000000
are,2010,1063936000000
are,2011,1288318000000
are,2012,1376784000000
are,2013,1434370000000
are,2014,1482941000000
are,2015,1321651000000
are,2016,1318948000000
are,2017,1426336223900
are,2018,1555814747600
are,2019,1539824142312.83008
are,2020,1316245540104.90991
arg,1960,0.13491
arg,1961,0.17112
arg,1962,0.21865
arg,1963,0.26003
arg,1964,0.36877
arg,1965,0.49433
arg,1966,0.62572
arg,1967,0.80336
arg,1968,0.91156
arg,1969,1.08628
arg,1970,1.15506
arg,1971,1.68173
arg,1972,2.73596
arg,1973,4.745
arg,1974,6.54119
arg,1975,19.6648
arg,1976,102.37
arg,1977,281.69601
arg,1978,704.14099
arg,1979,1914.67004
arg,1980,3806.69995
arg,1981,7300
arg,1982,20540
arg,1983,103270
arg,1984,749968
arg,1985,5020350
arg,1986,9533000
arg,1987,22248000
arg,1988,106230000
arg,1989,2972389888
arg,1990,65897799680
arg,1991,175307997200
arg,1992,222419992600
arg,1993,233509919200
arg,1994,253743263100
arg,1995,253362890700
arg,1996,266647700700
arg,1997,286641204400
arg,1998,291542201400
arg,1999,276059280100
arg,2000,276655968900
arg,2001,260969968100
arg,2002,296714255600
arg,2003,360780185800
arg,2004,431210511500
arg,2005,516340752300
arg,2006,692130989100
arg,2007,873287886000
arg,2008,1120920074400
arg,2009,1209256189200
arg,2010,1604656772200
arg,2011,2117072290500
arg,2012,2571462167200
arg,2013,3268457226500
arg,2014,4478043629500
arg,2015,5841938128900
arg,2016,8048080603900
arg,2017,10388970996600
arg,2018,14220366200500
arg,2019,20938962692500
arg,2020,26761508389400
arm,1990,48460000
arm,1991,79600000
arm,1992,259180000
arm,1993,4213845100
arm,1994,186493212900
arm,1995,536313057200
arm,1996,679729031700
arm,1997,852023637800
arm,1998,985057348600
arm,1999,1016848605600
arm,2000,1063155371300
arm,2001,1211180074400
arm,2002,1409699284600
arm,2003,1678396229300
arm,2004,1987083906100
arm,2005,2337167329600
arm,2006,2781845184100
arm,2007,3319440668600
arm,2008,3779738214900
arm,2009,3271990327800
arm,2010,3631444282300
arm,2011,3912073330600
arm,2012,4436421190500
arm,2013,4835227015900
arm,2014,5045826278100
arm,2015,5248376995500
arm,2016,5185085269900
arm,2017,5760166166140.84961
arm,2018,6113811776174.75
arm,2019,6629327860522.7998
arm,2020,6085760793589.25977
asm,1973,75600000
asm,1974,77000000
asm,1975,67700000
asm,1976,68500000
asm,1977,79200000
asm,1978,84700000
asm,1979,105600000
asm,1980,127200000
asm,1981,139300000
asm,1982,151100000
asm,1983,166000000
asm,1984,178200000
asm,1985,189700000
atg,1977,208701235
atg,1978,236194222
atg,1979,289655943
atg,1980,351623772
atg,1981,393772683
atg,1982,433807053
atg,1983,489089051
atg,1984,561526685
atg,1985,643204597
atg,1986,686898380
atg,1987,802482127
atg,1988,990931865
atg,1989,1061945929
atg,1990,1118190000
atg,1991,1213670000
atg,1992,1267960000
atg,1993,1383040000
atg,1994,1519750000
atg,1995,1486140000
atg,1996,1640280000
atg,1997,1777850000
atg,1998,1908420000
atg,1999,2005438000
atg,2000,2110999000
atg,2001,2094372000
atg,2002,2086923900
atg,2003,2207790000
atg,2004,2361539600
atg,2005,2648491400
atg,2006,2999483000
atg,2007,3402248000
atg,2008,3534263100
atg,2009,3179275200
atg,2010,3026645100
atg,2011,2976944200
atg,2012,3132868900
atg,2013,3085527900
atg,2014,3210241900
atg,2015,3381692100
atg,2016,3616604100
atg,2017,3750915700
atg,2018,4125581800
atg,2019,4269990200
atg,2020,3633101900
aus,1960,16642000000
aus,1961,17555000000
aus,1962,17840000000
aus,1963,19177000000
aus,1964,21248000000
aus,1965,23261000000
aus,1966,24330000000
aus,1967,26990000000
aus,1968,28938000000
aus,1969,32276000000
aus,1970,36489000000
aus,1971,39928000000
aus,1972,44357000000
aus,1973,49851000000
aus,1974,60154000000
aus,1975,71408000000
aus,1976,83347000000
aus,1977,95527000000
aus,1978,103792000000
aus,1979,117306000000
aus,1980,133206000000
aus,1981,151851000000
aus,1982,172508000000
aus,1983,187961000000
aus,1984,211122000000
aus,1985,232035000000
aus,1986,256009000000
aus,1987,280943000000
aus,1988,318333000000
aus,1989,358004000000
aus,1990,390357000000
aus,1991,398389000000
aus,1992,406687000000
aus,1993,432146000000
aus,1994,456115000000
aus,1995,478433000000
aus,1996,509942000000
aus,1997,537571000000
aus,1998,570278000000
aus,1999,601533000000
aus,2000,642630000000
aus,2001,686594000000
aus,2002,735076000000
aus,2003,779931000000
aus,2004,838818000000
aus,2005,890321000000
aus,2006,959624000000
aus,2007,1039217000000
aus,2008,1130444000000
aus,2009,1216273000000
aus,2010,1252309000000
aus,2011,1361034000000
aus,2012,1454200000000
aus,2013,1498245000000
aus,2014,1556822000000
aus,2015,1590229000000
aus,2016,1618746000000
aus,2017,1711574000000
aus,2018,1785279000000
aus,2019,1883941000000
aus,2020,1940365000000
aut,1960,12371337216
aut,1961,13720662016
aut,1962,14554514432
aut,1963,15714327552
aut,1964,17207681024
aut,1965,18754099200
aut,1966,20433893376
aut,1967,21709682688
aut,1968,23288920064
aut,1969,25454002176
aut,1970,29180746000
aut,1971,32599774000
aut,1972,37213627000
aut,1973,42149013000
aut,1974,48041977000
aut,1975,50922514000
aut,1976,56167103000
aut,1977,62037505000
aut,1978,65578233000
aut,1979,71960713000
aut,1980,77234799000
aut,1981,82121643000
aut,1982,88388734000
aut,1983,94382785000
aut,1984,99009287000
aut,1985,104514451000
aut,1986,109747302000
aut,1987,113966727000
aut,1988,119975402000
aut,1989,128463262000
aut,1990,138173632000
aut,1991,147353588000
aut,1992,156174635000
aut,1993,161373779000
aut,1994,169215880000
aut,1995,175929400000
aut,1996,182438200000
aut,1997,187850300000
aut,1998,195153100000
aut,1999,200620700000
aut,2000,211746300000
aut,2001,217509500000
aut,2002,225419300000
aut,2003,231279500000
aut,2004,242014300000
aut,2005,253537000000
aut,2006,268450000000
aut,2007,283691700000
aut,2008,296212200000
aut,2009,287919200000
aut,2010,298371800000
aut,2011,311174300000
aut,2012,318974800000
aut,2013,324783900000
aut,2014,333585200000
aut,2015,340879500000
aut,2016,357581000000
aut,2017,365898500000
aut,2018,381651200000
aut,2019,396081400000
aut,2020,378893700000
aze,1993,31500000
aze,1994,375000000
aze,1995,2130400000
aze,1996,2724700000
aze,1997,3151000000
aze,1998,3452300000
aze,1999,3929000000
aze,2000,4633500000
aze,2001,5180800000
aze,2002,5873900000
aze,2003,6899200000
aze,2004,8025500000
aze,2005,11094200000
aze,2006,16502000000
aze,2007,24215700000
aze,2008,36012500000
aze,2009,32973500000
aze,2010,39922200000
aze,2011,48519100000
aze,2012,51644700000
aze,2013,55288400000
aze,2014,57322400000
aze,2015,52641200000
aze,2016,56794000000
aze,2017,67678600000
aze,2018,76251000000
aze,2019,78741500000
aze,2020,72005600000
bdi,1960,9694600200
bdi,1961,10040999900
bdi,1962,10560600100
bdi,1963,11513900000
bdi,1964,12899300400
bdi,1965,13287300000
bdi,1966,13654200000
bdi,1967,14610000000
bdi,1968,14847000000
bdi,1969,15590000000
bdi,1970,20587300000
bdi,1971,21329600000
bdi,1972,20598100000
bdi,1973,23686300000
bdi,1974,26481500000
bdi,1975,32471900000
bdi,1976,37704200000
bdi,1977,48346800000
bdi,1978,53618900000
bdi,1979,69510300000
bdi,1980,82963200000
bdi,1981,86953200000
bdi,1982,90500000000
bdi,1983,99790700000
bdi,1984,116611700000
bdi,1985,136573300000
bdi,1986,134844000000
bdi,1987,136293000000
bdi,1988,148744000000
bdi,1989,173946700000
bdi,1990,191328100000
bdi,1991,209856900000
bdi,1992,222754996100
bdi,1993,225517151000
bdi,1994,230846810700
bdi,1995,246765466800
bdi,1996,258889242800
bdi,1997,338395625000
bdi,1998,396483543900
bdi,1999,449029230300
bdi,2000,637638774100
bdi,2001,717818608000
bdi,2002,755497575100
bdi,2003,830107579300
bdi,2004,977559857000
bdi,2005,1189100034000
bdi,2006,1300847584700
bdi,2007,1460847968900
bdi,2008,1906040529400
bdi,2009,2170595954200
bdi,2010,2487747000000
bdi,2011,2797534000000
bdi,2012,3356410000000
bdi,2013,3815300000000
bdi,2014,4174499000000
bdi,2015,4877193000000
bdi,2016,4895701000000
bdi,2017,5476768000000
bdi,2018,5425363500000
bdi,2019,5572883163100
bdi,2020,6271513822400
bel,1960,14635200512
bel,1961,15525971968
bel,1962,16578953216
bel,1963,17795770368
bel,1964,19901181952
bel,1965,21692700672
bel,1966,23296983040
bel,1967,24977586176
bel,1968,26715252736
bel,1969,29621094400
bel,1970,33577810000
bel,1971,36738691000
bel,1972,41140522000
bel,1973,46667599000
bel,1974,54730257000
bel,1975,60562851000
bel,1976,68853585000
bel,1977,74263334000
bel,1978,79660048000
bel,1979,84804980000
bel,1980,91988419000
bel,1981,96523192000
bel,1982,103955672000
bel,1983,110076416000
bel,1984,119181414000
bel,1985,127131082000
bel,1986,133180921000
bel,1987,138975295000
bel,1988,148670469000
bel,1989,160722183000
bel,1990,170634242000
bel,1991,179438938000
bel,1992,188378143000
bel,1993,195925323000
bel,1994,208082350000
bel,1995,215111300000
bel,1996,219271000000
bel,1997,229554700000
bel,1998,238273400000
bel,1999,247952100000
bel,2000,262983700000
bel,2001,269279500000
bel,2002,277978200000
bel,2003,286569500000
bel,2004,300941200000
bel,2005,313910900000
bel,2006,329827600000
bel,2007,348398700000
bel,2008,360298400000
bel,2009,352915900000
bel,2010,368713800000
bel,2011,376569300000
bel,2012,395135800000
bel,2013,402558600000
bel,2014,411459400000
bel,2015,422598800000
bel,2016,434210600000
bel,2017,449130000000
bel,2018,464101100000
bel,2019,482755000000
bel,2020,461728900000
ben,1960,55287144400
ben,1961,57621942300
ben,1962,57751588900
ben,1963,62032384000
ben,1964,65923657700
ben,1965,70849241100
ben,1966,74397630500
ben,1967,75232485400
ben,1968,80439492600
ben,1969,85331599400
ben,1970,91524743200
ben,1971,91410186200
ben,1972,102885703700
ben,1973,112419971100
ben,1974,134061629500
ben,1975,144783409200
ben,1976,166884999200
ben,1977,184222859300
ben,1978,209666670600
ben,1979,252592275400
ben,1980,296288288700
ben,1981,349968433200
ben,1982,414628347900
ben,1983,412331835400
ben,1984,446366089200
ben,1985,460230725000
ben,1986,453696066200
ben,1987,460966653700
ben,1988,475200774600
ben,1989,467072164000
ben,1990,523029553800
ben,1991,551687767600
ben,1992,573221889100
ben,1993,632790629900
ben,1994,867753103200
ben,1995,1060875827900
ben,1996,1184292585900
ben,1997,1306533142400
ben,1998,1440486934100
ben,1999,2255741000000
ben,2000,2491192000000
ben,2001,2674448000000
ben,2002,2890058000000
ben,2003,3079881000000
ben,2004,3244818000000
ben,2005,3453484000000
ben,2006,3659002000000
ben,2007,3886757000000
ben,2008,4360266000000
ben,2009,4564432000000
ben,2010,4691545000000
ben,2011,5031898440000
ben,2012,5654219200000
ben,2013,6148471710000
ben,2014,6529098000000
ben,2015,6678116000000
ben,2016,6944334500000
ben,2017,7293872000000
ben,2018,7835110000000
ben,2019,8348178399500
ben,2020,8915157938500
bfa,1960,82114535400
bfa,1961,86684090400
bfa,1962,95080292400
bfa,1963,97385513000
bfa,1964,101382004700
bfa,1965,102751355900
bfa,1966,106178699100
bfa,1967,110462882800
bfa,1968,113594388700
bfa,1969,123923254400
bfa,1970,126704377900
bfa,1971,132696052900
bfa,1972,145493463400
bfa,1973,150346633100
bfa,1974,180258781200
bfa,1975,198861176300
bfa,1976,231071140600
bfa,1977,272959152100
bfa,1978,330469262300
bfa,1979,369980681200
bfa,1980,406636995300
bfa,1981,479887213800
bfa,1982,573151134700
bfa,1983,605968764200
bfa,1984,635741355300
bfa,1985,694916911400
bfa,1986,703313855100
bfa,1987,709577296400
bfa,1988,775281162500
bfa,1989,830597975000
bfa,1990,842374999000
bfa,1991,881818019300
bfa,1992,885318984700
bfa,1993,900700515300
bfa,1994,1044354930200
bfa,1995,1182722149900
bfa,1996,1326685896700
bfa,1997,1427349553400
