global,time,ic_reg_cost_pc_ma_zs
world,2003,104.86269
world,2004,93.65625
world,2005,84.61534
world,2006,80.44072
world,2007,71.13294
world,2008,56.85497
world,2009,47.15698
world,2010,45.28779
world,2011,40.17356
world,2012,35.75562
world,2013,32.83704
world,2014,28.87619
world,2015,28.14789
world,2016,26.98105
world,2017,26.44368
world,2018,23.99791
world,2019,19.77382
