geo,time,sl_uem_basc_ma_zs
afg,2014,6.14
afg,2017,10.86
afg,2020,9.97
ago,2004,25.05
ago,2009,6.54
ago,2011,11.36
ago,2014,13.4
alb,2007,15.52
alb,2008,12.17
alb,2009,10.82
alb,2010,11.84
alb,2011,14
alb,2012,14.7
alb,2013,17.34
alb,2014,18.59
alb,2015,15.49
alb,2016,14.96
alb,2017,14.31
alb,2018,5.48
alb,2019,3.14
are,1995,1.71
are,2005,2.45
are,2017,0.61
are,2018,0.97
arg,2002,23.31
arg,2003,15.32
arg,2004,12.74
arg,2005,11.55
arg,2006,9.52
arg,2008,7.7
arg,2009,9.35
arg,2010,7.96
arg,2011,7.72
arg,2012,7.15
arg,2013,7.12
arg,2014,7.75
arg,2017,9.53
arg,2018,9.99
arg,2019,11.47
arg,2020,13.66
arm,2007,23.55
arm,2008,31.43
arm,2009,15.39
arm,2010,17.24
arm,2011,18.86
arm,2012,17.2
arm,2013,17.52
arm,2014,9.23
arm,2015,18.71
arm,2016,15.94
arm,2017,19.8
arm,2018,25.2
arm,2019,24.04
arm,2020,26.06
aus,1995,13.99
aus,1997,13.73
aus,1998,12.93
aus,2000,10.81
aus,2001,11.22
aus,2002,11.33
aus,2003,10.37
aus,2004,9.57
aus,2005,9.23
aus,2006,8.62
aus,2007,9.42
aus,2008,9.88
aus,2009,10.53
aus,2010,9.37
aus,2011,8.37
aus,2012,9
aus,2013,9.01
aus,2014,9.71
aus,2015,10.58
aus,2016,9.92
aus,2017,10.7
aut,1994,5.28
aut,1998,10.01
aut,1999,8.28
aut,2000,8.91
aut,2001,7.19
aut,2002,8.99
aut,2003,10.26
aut,2004,11.4
aut,2005,11.64
aut,2006,10.84
aut,2007,9.55
aut,2008,8.38
aut,2009,11.94
aut,2010,10.53
aut,2011,9.83
aut,2012,10.79
aut,2013,11.42
aut,2014,12.85
aut,2015,12.68
aut,2016,14.49
aut,2017,14.81
aut,2018,13.11
aut,2019,12.38
aut,2020,13.81
aze,2007,20.74
aze,2008,38.14
aze,2009,12.18
aze,2010,8.97
aze,2011,11.45
aze,2012,12.08
aze,2014,11.68
aze,2015,11.57
aze,2016,11.83
aze,2017,11.01
aze,2018,11.09
aze,2020,18.04
bdi,2014,2.89
bel,1998,11.98
bel,1999,11.58
bel,2000,8.09
bel,2001,10.1
bel,2002,9.58
bel,2003,11.12
bel,2004,10.59
bel,2005,10.83
