geo,time,sp_dyn_amrt_fe
abw,1960,181.484
abw,1961,175.849
abw,1962,170.213
abw,1963,166.562
abw,1964,162.911
abw,1965,159.26
abw,1966,155.609
abw,1967,151.957
abw,1968,146.205
abw,1969,140.452
abw,1970,134.7
abw,1971,128.947
abw,1972,123.195
abw,1973,119.658
abw,1974,116.121
abw,1975,112.585
abw,1976,109.048
abw,1977,105.511
abw,1978,103.74
abw,1979,101.969
abw,1980,100.199
abw,1981,98.428
abw,1982,96.657
abw,1983,95.556
abw,1984,94.456
abw,1985,93.355
abw,1986,92.255
abw,1987,91.154
abw,1988,90.796
abw,1989,90.437
abw,1990,90.078
abw,1991,89.72
abw,1992,89.361
abw,1993,89.007
abw,1994,88.653
abw,1995,88.299
abw,1996,87.944
abw,1997,87.59
abw,1998,87.256
abw,1999,86.923
abw,2000,86.589
abw,2001,86.255
abw,2002,85.921
abw,2003,84.721
abw,2004,83.521
abw,2005,82.322
abw,2006,81.122
abw,2007,79.922
abw,2008,78.855
abw,2009,77.789
abw,2010,76.722
abw,2011,75.655
abw,2012,74.589
abw,2013,73.561
abw,2014,72.534
abw,2015,71.506
abw,2016,70.479
abw,2017,69.451
abw,2018,68.514
abw,2019,67.577
abw,2020,66.641
afg,1960,551.122
afg,1961,545.51
afg,1962,539.898
afg,1963,534.645
afg,1964,529.392
afg,1965,524.139
afg,1966,518.886
afg,1967,513.633
afg,1968,508.259
afg,1969,502.885
afg,1970,497.512
afg,1971,492.138
afg,1972,486.764
afg,1973,480.737
afg,1974,474.71
afg,1975,468.683
afg,1976,462.656
afg,1977,456.629
afg,1978,449.341
afg,1979,442.054
afg,1980,434.766
afg,1981,427.478
afg,1982,420.19
afg,1983,410.705
afg,1984,401.22
afg,1985,391.735
afg,1986,382.25
afg,1987,372.765
afg,1988,364.512
afg,1989,356.259
afg,1990,348.006
afg,1991,339.752
afg,1992,331.499
afg,1993,326.243
afg,1994,320.987
afg,1995,315.731
afg,1996,310.475
afg,1997,305.218
afg,1998,299.408
afg,1999,293.597
afg,2000,287.786
afg,2001,281.975
afg,2002,276.164
afg,2003,269.54
afg,2004,262.917
afg,2005,256.293
afg,2006,249.669
afg,2007,243.045
afg,2008,238.354
afg,2009,233.662
afg,2010,228.971
afg,2011,224.28
afg,2012,219.588
afg,2013,215.307
afg,2014,211.026
afg,2015,206.746
afg,2016,202.465
afg,2017,198.184
afg,2018,192.532
afg,2019,188.839
afg,2020,185.146
ago,1960,498.232
ago,1961,494.482
ago,1962,490.731
ago,1963,486.126
ago,1964,481.521
ago,1965,476.916
ago,1966,472.311
ago,1967,467.705
ago,1968,463.195
ago,1969,458.685
ago,1970,454.175
ago,1971,449.665
ago,1972,445.154
ago,1973,440.734
ago,1974,436.313
ago,1975,431.892
ago,1976,427.472
ago,1977,423.051
ago,1978,420.438
ago,1979,417.826
ago,1980,415.213
ago,1981,412.6
ago,1982,409.988
ago,1983,408.481
ago,1984,406.975
ago,1985,405.468
ago,1986,403.962
ago,1987,402.455
ago,1988,400.316
ago,1989,398.178
ago,1990,396.039
ago,1991,393.9
ago,1992,391.762
ago,1993,386.523
ago,1994,381.283
ago,1995,376.044
ago,1996,370.805
ago,1997,365.566
ago,1998,355.259
ago,1999,344.953
ago,2000,334.646
ago,2001,324.339
ago,2002,314.033
ago,2003,303.361
ago,2004,292.69
ago,2005,282.019
ago,2006,271.347
ago,2007,260.676
ago,2008,251.656
ago,2009,242.637
ago,2010,233.617
ago,2011,224.597
ago,2012,215.577
ago,2013,212.458
ago,2014,209.339
ago,2015,206.219
ago,2016,203.1
ago,2017,199.981
ago,2018,220.291
ago,2019,216.821
ago,2020,213.35
alb,1960,151.058
alb,1961,139.856
alb,1962,128.654
alb,1963,129.676
alb,1964,130.698
alb,1965,131.72
alb,1966,132.743
alb,1967,133.765
alb,1968,131.93
alb,1969,130.095
alb,1970,128.26
alb,1971,126.425
alb,1972,124.59
alb,1973,121.461
alb,1974,118.332
alb,1975,115.203
alb,1976,112.075
alb,1977,108.946
alb,1978,105.126
alb,1979,101.307
alb,1980,97.488
alb,1981,93.668
alb,1982,89.849
alb,1983,86.023
alb,1984,82.196
alb,1985,78.37
alb,1986,74.543
alb,1987,70.717
alb,1988,71.986
alb,1989,73.255
alb,1990,74.524
alb,1991,75.793
alb,1992,77.062
alb,1993,76.007
alb,1994,74.951
alb,1995,73.895
alb,1996,72.839
alb,1997,71.783
alb,1998,69.539
alb,1999,67.295
alb,2000,65.051
alb,2001,62.807
alb,2002,60.562
alb,2003,60.346
alb,2004,60.13
alb,2005,59.914
alb,2006,59.697
alb,2007,59.481
alb,2008,58.217
alb,2009,56.953
alb,2010,55.689
alb,2011,54.425
alb,2012,53.161
alb,2013,52.505
alb,2014,51.85
alb,2015,51.195
alb,2016,50.539
alb,2017,49.884
alb,2018,49.486
alb,2019,49.088
alb,2020,48.69
are,1960,253.996
are,1961,246.851
are,1962,239.707
are,1963,233.785
are,1964,227.863
are,1965,221.942
are,1966,216.02
are,1967,210.098
are,1968,205.107
are,1969,200.116
are,1970,195.125
are,1971,190.133
are,1972,185.142
are,1973,180.838
are,1974,176.533
are,1975,172.228
are,1976,167.924
are,1977,163.619
are,1978,159.811
are,1979,156.004
are,1980,152.196
are,1981,148.388
are,1982,144.58
are,1983,141.139
are,1984,137.698
are,1985,134.257
are,1986,130.816
are,1987,127.376
are,1988,124.189
are,1989,121.002
are,1990,117.816
are,1991,114.629
are,1992,111.442
are,1993,108.278
are,1994,105.115
are,1995,101.951
are,1996,98.787
are,1997,95.623
are,1998,92.397
are,1999,89.17
are,2000,85.943
are,2001,82.717
are,2002,79.49
are,2003,76.507
are,2004,73.524
are,2005,70.541
are,2006,67.557
are,2007,64.574
are,2008,63.499
are,2009,62.424
are,2010,61.349
are,2011,60.274
are,2012,59.199
are,2013,58.346
are,2014,57.493
are,2015,56.639
are,2016,55.786
are,2017,54.933
are,2018,44.863
are,2019,44.23
are,2020,43.596
arg,1960,156.231
arg,1961,151.879
arg,1962,147.528
arg,1963,146.321
arg,1964,145.115
arg,1965,143.908
arg,1966,142.701
arg,1967,141.495
arg,1968,139.873
arg,1969,138.251
arg,1970,136.629
arg,1971,135.007
arg,1972,133.385
arg,1973,131.791
arg,1974,130.198
arg,1975,128.604
arg,1976,127.011
arg,1977,125.417
arg,1978,123.385
arg,1979,121.353
arg,1980,119.321
arg,1981,117.289
arg,1982,115.256
arg,1983,114.298
arg,1984,113.34
arg,1985,112.381
arg,1986,111.423
arg,1987,110.465
arg,1988,109.675
arg,1989,108.885
arg,1990,108.095
arg,1991,107.306
arg,1992,106.516
arg,1993,105.338
arg,1994,104.16
arg,1995,102.982
arg,1996,101.803
arg,1997,100.625
arg,1998,99.515
arg,1999,98.406
arg,2000,97.296
arg,2001,96.186
arg,2002,95.076
arg,2003,94.03
arg,2004,92.985
arg,2005,91.939
arg,2006,90.894
arg,2007,89.848
arg,2008,88.863
arg,2009,87.878
arg,2010,86.893
arg,2011,85.908
arg,2012,84.923
arg,2013,83.995
arg,2014,83.067
arg,2015,82.139
arg,2016,81.211
arg,2017,80.283
arg,2018,79.483
arg,2019,78.682
arg,2020,77.882
arm,1960,136.917
arm,1961,131.925
arm,1962,126.933
arm,1963,123.152
arm,1964,119.371
arm,1965,115.59
arm,1966,111.809
arm,1967,108.028
arm,1968,105.752
arm,1969,103.476
arm,1970,101.2
arm,1971,98.924
arm,1972,96.648
arm,1973,97.422
arm,1974,98.195
arm,1975,98.969
arm,1976,99.742
arm,1977,100.516
arm,1978,100.61
arm,1979,100.705
arm,1980,100.799
arm,1981,100.894
arm,1982,100.988
arm,1983,108.642
arm,1984,116.295
arm,1985,123.949
arm,1986,131.602
arm,1987,139.256
arm,1988,136.312
arm,1989,133.369
