global,time,sh_xpd_ehex_pp_cd
world,2000,2.16455
world,2001,2.31929
world,2002,2.56008
world,2003,2.86544
world,2004,4.02418
world,2005,4.15014
world,2006,4.44242
world,2007,4.73312
world,2008,4.91698
world,2009,5.44577
world,2010,5.67263
world,2011,6.06475
world,2012,5.9278
world,2013,6.33312
world,2014,6.60676
world,2015,6.07444
world,2016,6.03448
world,2017,6.04348
world,2018,6.00474
world,2019,6.42356
