global,time,vc_ihr_psrc_fe_p5
world,1990,2.59619
world,1991,2.68177
world,1992,2.77353
world,1993,2.87197
world,1994,2.8486
world,1995,2.82051
world,1996,2.74221
world,1997,2.67269
world,1998,2.67209
world,1999,2.62279
world,2000,2.65445
world,2001,2.69107
world,2002,2.65601
world,2003,2.58142
world,2004,2.56304
world,2005,2.44732
world,2006,2.37507
world,2007,2.35605
world,2008,2.27894
world,2009,2.4506
world,2010,2.38916
world,2011,2.37613
world,2012,2.36854
world,2013,2.31472
world,2014,2.30603
world,2015,2.19366
world,2016,2.22715
world,2017,2.17093
world,2018,2.17284
