global,time,se_pre_durs
world,1999,3
world,2000,3
world,2001,3
world,2002,3
world,2003,3
world,2004,3
world,2005,3
world,2006,3
world,2007,3
world,2008,3
world,2009,3
world,2010,3
world,2011,3
world,2012,3
world,2013,4
world,2014,4
world,2015,4
world,2016,4
world,2017,4
world,2018,4
world,2019,4
world,2020,4
