global,time,eg_use_comm_fo_zs
world,1960,94.13455
world,1961,94.09572
world,1962,94.21763
world,1963,94.42414
world,1964,94.5374
world,1965,94.5238
world,1966,94.43048
world,1967,94.56635
world,1968,94.56558
world,1969,94.63802
world,1970,94.54807
world,1971,84.45072
world,1972,84.33546
world,1973,84.77312
world,1974,84.14968
world,1975,83.40229
world,1976,83.80504
world,1977,83.45717
world,1978,83.27091
world,1979,83.34838
world,1980,82.69029
world,1981,81.67315
world,1982,80.98839
world,1983,80.31096
world,1984,79.76757
world,1985,79.05676
world,1986,78.75818
world,1987,78.71931
world,1988,78.747
world,1989,78.72607
world,1990,80.76167
world,1991,80.30421
world,1992,80.08244
world,1993,79.98313
world,1994,79.79298
world,1995,79.81737
world,1996,79.83419
world,1997,79.97707
world,1998,79.75976
world,1999,79.72722
world,2000,79.78385
world,2001,80.03831
world,2002,80.05704
world,2003,80.55352
world,2004,80.65154
world,2005,80.72448
world,2006,80.83571
world,2007,81.19416
world,2008,81.05486
world,2009,80.61347
world,2010,80.77813
world,2011,81.23056
world,2012,81.16535
world,2013,80.94273
world,2014,80.91141
world,2015,79.6763
