global,time,sh_xpd_ghed_gd_zs
world,2000,4.95772
world,2001,5.17888
world,2002,5.37309
world,2003,5.50888
world,2004,5.50265
world,2005,5.45062
world,2006,5.41309
world,2007,5.3449
world,2008,5.42928
world,2009,5.92016
world,2010,5.71116
world,2011,5.70854
world,2012,5.67932
world,2013,5.65219
world,2014,5.73492
world,2015,5.87914
world,2016,5.93159
world,2017,5.85405
world,2018,5.83042
world,2019,5.89563
