geo,time,dc_dac_svnl_cd
afg,2008,150000.00596
afg,2009,140000.0006
afg,2010,509999.99046
afg,2011,620000.00477
afg,2012,439999.99762
afg,2013,310000.00238
afg,2014,159999.99642
afg,2015,119999.99732
afg,2016,79999.99821
afg,2017,70000.0003
afg,2018,59999.99866
afg,2019,70000.0003
alb,2008,159999.99642
alb,2009,629999.99523
alb,2010,230000.00417
alb,2011,230000.00417
alb,2012,620000.00477
alb,2013,259999.99046
alb,2014,389999.98569
alb,2015,70000.0003
alb,2016,649999.97616
alb,2017,180000.00715
alb,2018,100000.00149
alb,2019,319999.99285
arg,2008,310000.00238
arg,2009,19999.99955
arg,2010,59999.99866
arm,2017,0
arm,2018,0
arm,2019,0
aze,2017,0
aze,2018,0
aze,2019,129999.99523
bdi,2008,79999.99821
bdi,2009,90000.00358
bdi,2010,29999.99933
bdi,2011,50000.00075
bdi,2012,29999.99933
bdi,2013,39999.99911
bdi,2014,39999.99911
bdi,2015,70000.0003
bdi,2016,100000.00149
bdi,2017,70000.0003
bfa,2008,19999.99955
bfa,2009,29999.99933
bfa,2010,39999.99911
bfa,2011,50000.00075
bgd,2016,9999.99978
bgd,2017,29999.99933
bgd,2018,0
bih,2008,1600000.02384
bih,2009,1690000.05722
bih,2010,1509999.99046
bih,2011,1490000.00954
bih,2012,829999.98331
bih,2013,1070000.05245
bih,2014,3210000.03815
bih,2015,3660000.08583
bih,2016,3470000.02861
bih,2017,4809999.94278
bih,2018,4579999.92371
bih,2019,5650000.09537
blr,2008,50000.00075
blr,2009,9999.99978
blr,2010,59999.99866
blr,2012,19999.99955
blr,2013,19999.99955
blr,2014,19999.99955
blr,2015,19999.99955
blr,2016,29999.99933
blr,2017,19999.99955
blr,2018,19999.99955
blr,2019,29999.99933
bra,2008,29999.99933
bra,2009,9999.99978
bra,2011,9999.99978
caf,2014,39999.99911
chn,2008,439999.99762
chn,2009,70000.0003
chn,2010,29999.99933
chn,2011,9999.99978
chn,2012,19999.99955
chn,2013,9999.99978
chn,2014,9999.99978
chn,2015,9999.99978
chn,2017,0
chn,2018,0
chn,2019,9999.99978
cmr,2008,9999.99978
cmr,2009,29999.99933
cod,2008,209999.99344
cod,2010,39999.99911
cod,2018,70000.0003
cod,2019,29999.99933
cog,2009,39999.99911
col,2010,109999.9994
col,2016,39999.99911
col,2017,0
cpv,2009,39999.99911
cpv,2011,29999.99933
cpv,2012,850000.02384
cpv,2013,829999.98331
cpv,2014,19999.99955
cpv,2015,9999.99978
cpv,2016,59999.99866
cpv,2017,70000.0003
cpv,2018,70000.0003
cpv,2019,9999.99978
cri,2011,19999.99955
cub,2008,59999.99866
dma,2012,9999.99978
dza,2008,39999.99911
dza,2009,19999.99955
ecu,2016,29999.99933
egy,2008,9999.99978
egy,2010,39999.99911
egy,2011,29999.99933
egy,2012,39999.99911
egy,2013,9999.99978
egy,2014,29999.99933
egy,2015,50000.00075
egy,2016,39999.99911
egy,2017,9999.99978
egy,2018,159999.99642
egy,2019,19999.99955
eri,2009,9999.99978
eth,2010,29999.99933
eth,2011,59999.99866
eth,2012,9999.99978
fsm,2011,19999.99955
geo,2008,189999.99762
geo,2009,119999.99732
geo,2010,119999.99732
geo,2011,109999.9994
geo,2012,109999.9994
geo,2013,9999.99978
geo,2015,0
geo,2018,90000.00358
geo,2019,250000
gha,2008,9999.99978
gha,2009,19999.99955
gin,2009,19999.99955
gmb,2018,9999.99978
gmb,2019,19999.99955
guy,2013,9999.99978
hrv,2008,4280000.20981
hrv,2009,3730000.01907
hrv,2010,3430000.06676
hti,2010,419999.98689
hti,2011,379999.99523
hti,2012,50000.00075
hti,2013,59999.99866
hti,2014,39999.99911
hti,2015,39999.99911
hti,2016,59999.99866
idn,2018,59999.99866
ind,2008,59999.99866
ind,2009,9999.99978
ind,2012,29999.99933
ind,2013,9999.99978
ind,2016,0
ind,2017,0
ind,2018,0
irn,2008,310000.00238
irn,2009,129999.99523
irn,2012,9999.99978
irq,2008,159999.99642
irq,2009,119999.99732
irq,2010,29999.99933
irq,2011,39999.99911
irq,2012,9999.99978
irq,2015,29999.99933
irq,2016,29999.99933
irq,2017,29999.99933
irq,2018,39999.99911
irq,2019,29999.99933
jam,2011,9999.99978
jor,2009,9999.99978
jor,2014,19999.99955
jor,2015,19999.99955
jor,2016,29999.99933
jor,2017,180000.00715
jor,2018,200000.00298
jor,2019,159999.99642
kaz,2015,0
kaz,2016,0
kaz,2017,109999.9994
ken,2010,119999.99732
ken,2011,29999.99933
ken,2012,19999.99955
ken,2015,70000.0003
ken,2017,29999.99933
kgz,2008,9999.99978
kgz,2009,9999.99978
kgz,2010,19999.99955
kgz,2015,0
kgz,2017,0
kgz,2018,0
kos,2009,1950000.04768
kos,2010,920000.01669
